reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.01,0
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.025,0
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.05,0
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.1,0
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.15,2.2088985889858885
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.2,6
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.25,9
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.3,12
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.35,14
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.4,16
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.45,18
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.5,20
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.55,22
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.6,24
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.65,26.02057370573707
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.7,28.922536225362208
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.75,31.463982139821404
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.8,35
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.85,40.39823148231483
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.9,52.79701897018974
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.95,94.70866508665057
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.975,129.91738742387443
2023-09-23,1,wk inc hosp,2023-09-30,01,quantile,0.99,145.0964320643206
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.01,0
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.025,0
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.05,0
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.1,0
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.15,0
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.2,1
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.25,2
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.3,3
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.35,3
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.4,4
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.45,4.481328813288137
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.5,5
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.55,6
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.6,6
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.65,7
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.7,8
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.75,8.484882348823497
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.8,9.9969819698197
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.85,11
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.9,15.354008540085395
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.95,22.777479774797744
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.975,28.39418594185943
2023-09-23,1,wk inc hosp,2023-09-30,02,quantile,0.99,32.46631616316162
