location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
Oregon,2018-10-27,43,2018-19,2018,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2018-10-27,43,2018-19,2018,7030607,1827957.82,13,0.7,Crude Rate
Utah,2018-10-27,43,2018-19,2018,3376238,1215445.68,1,0.1,Crude Rate
California,2018-11-03,44,2018-19,2018,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2018-11-03,44,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-11-03,44,2018-19,2018,3621089,869061.36,2,0.2,Crude Rate
Georgia,2018-11-03,44,2018-19,2018,10855454,4233627.0600000005,25,0.6,Crude Rate
Maryland,2018-11-03,44,2018-19,2018,6133130,2821239.8000000003,6,0.2,Crude Rate
Michigan,2018-11-03,44,2018-19,2018,10032075,1304169.75,8,0.6,Crude Rate
Minnesota,2018-11-03,44,2018-19,2018,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2018-11-03,44,2018-19,2018,2100079,672025.28,0,0,Crude Rate
New York,2018-11-03,44,2018-19,2018,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2018-11-03,44,2018-19,2018,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2018-11-03,44,2018-19,2018,7030607,1827957.82,11,0.6,Crude Rate
Utah,2018-11-03,44,2018-19,2018,3376238,1215445.68,0,0,Crude Rate
California,2018-11-10,45,2018-19,2018,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2018-11-10,45,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-11-10,45,2018-19,2018,3621089,869061.36,3,0.4,Crude Rate
Georgia,2018-11-10,45,2018-19,2018,10855454,4233627.0600000005,47,1.1,Crude Rate
Maryland,2018-11-10,45,2018-19,2018,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2018-11-10,45,2018-19,2018,10032075,1304169.75,10,0.8,Crude Rate
Minnesota,2018-11-10,45,2018-19,2018,5716548,3144101.4000000004,19,0.6,Crude Rate
New Mexico,2018-11-10,45,2018-19,2018,2100079,672025.28,0,0,Crude Rate
New York,2018-11-10,45,2018-19,2018,19657190,1769147.0999999999,12,0.7,Crude Rate
Oregon,2018-11-10,45,2018-19,2018,4238665,1822625.95,4,0.2,Crude Rate
Tennessee,2018-11-10,45,2018-19,2018,7030607,1827957.82,18,1,Crude Rate
Utah,2018-11-10,45,2018-19,2018,3376238,1215445.68,1,0.1,Crude Rate
California,2018-11-17,46,2018-19,2018,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2018-11-17,46,2018-19,2018,5803748,2843836.52,3,0.1,Crude Rate
Connecticut,2018-11-17,46,2018-19,2018,3621089,869061.36,3,0.4,Crude Rate
Georgia,2018-11-17,46,2018-19,2018,10855454,4233627.0600000005,55,1.3,Crude Rate
Maryland,2018-11-17,46,2018-19,2018,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2018-11-17,46,2018-19,2018,10032075,1304169.75,8,0.6,Crude Rate
Minnesota,2018-11-17,46,2018-19,2018,5716548,3144101.4000000004,22,0.7,Crude Rate
New Mexico,2018-11-17,46,2018-19,2018,2100079,672025.28,1,0.1,Crude Rate
New York,2018-11-17,46,2018-19,2018,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2018-11-17,46,2018-19,2018,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2018-11-17,46,2018-19,2018,7030607,1827957.82,20,1.1,Crude Rate
Utah,2018-11-17,46,2018-19,2018,3376238,1215445.68,2,0.2,Crude Rate
California,2018-11-24,47,2018-19,2018,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2018-11-24,47,2018-19,2018,5803748,2843836.52,3,0.1,Crude Rate
Connecticut,2018-11-24,47,2018-19,2018,3621089,869061.36,5,0.6,Crude Rate
Georgia,2018-11-24,47,2018-19,2018,10855454,4233627.0600000005,42,1,Crude Rate
Maryland,2018-11-24,47,2018-19,2018,6133130,2821239.8000000003,11,0.4,Crude Rate
