"","State","percentage_participation","location_name"
"1","CA",9,"California"
"2","CO",49,"Colorado"
"3","CT",24,"Connecticut"
"4","GA",39,"Georgia"
"5","MD",46,"Maryland"
"6","MI",13,"Michigan"
"7","MN",55,"Minnesota"
"8","NM",32,"New Mexico"
"9","NY",9,"New York"
"10","OR",43,"Oregon"
"11","TN",26,"Tennessee"
"12","UT",36,"Utah"
