reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2024-03-23,inc hosp,1,2024-03-30,Alabama,quantile,0.025,31,63.3564
2024-03-23,inc hosp,1,2024-03-30,Alabama,quantile,0.25,49,63.3564
2024-03-23,inc hosp,1,2024-03-30,Alabama,quantile,0.5,61,63.3564
2024-03-23,inc hosp,1,2024-03-30,Alabama,quantile,0.75,75,63.3564
2024-03-23,inc hosp,1,2024-03-30,Alabama,quantile,0.975,111,63.3564
2024-03-23,inc hosp,2,2024-04-06,Alabama,quantile,0.025,26,64.7686
2024-03-23,inc hosp,2,2024-04-06,Alabama,quantile,0.25,45,64.7686
2024-03-23,inc hosp,2,2024-04-06,Alabama,quantile,0.5,60,64.7686
2024-03-23,inc hosp,2,2024-04-06,Alabama,quantile,0.75,80,64.7686
2024-03-23,inc hosp,2,2024-04-06,Alabama,quantile,0.975,133,64.7686
2024-03-23,inc hosp,3,2024-04-13,Alabama,quantile,0.025,22,65.7284
2024-03-23,inc hosp,3,2024-04-13,Alabama,quantile,0.25,42,65.7284
2024-03-23,inc hosp,3,2024-04-13,Alabama,quantile,0.5,59,65.7284
2024-03-23,inc hosp,3,2024-04-13,Alabama,quantile,0.75,81,65.7284
2024-03-23,inc hosp,3,2024-04-13,Alabama,quantile,0.975,152,65.7284
2024-03-23,inc hosp,4,2024-04-20,Alabama,quantile,0.025,19,65.516
2024-03-23,inc hosp,4,2024-04-20,Alabama,quantile,0.25,39,65.516
2024-03-23,inc hosp,4,2024-04-20,Alabama,quantile,0.5,57,65.516
2024-03-23,inc hosp,4,2024-04-20,Alabama,quantile,0.75,82,65.516
2024-03-23,inc hosp,4,2024-04-20,Alabama,quantile,0.975,163,65.516
2024-03-23,inc hosp,1,2024-03-30,Alaska,quantile,0.025,2,9.9678
2024-03-23,inc hosp,1,2024-03-30,Alaska,quantile,0.25,6,9.9678
2024-03-23,inc hosp,1,2024-03-30,Alaska,quantile,0.5,9,9.9678
2024-03-23,inc hosp,1,2024-03-30,Alaska,quantile,0.75,13,9.9678
2024-03-23,inc hosp,1,2024-03-30,Alaska,quantile,0.975,26,9.9678
2024-03-23,inc hosp,2,2024-04-06,Alaska,quantile,0.025,1,10.5542
2024-03-23,inc hosp,2,2024-04-06,Alaska,quantile,0.25,5,10.5542
2024-03-23,inc hosp,2,2024-04-06,Alaska,quantile,0.5,9,10.5542
2024-03-23,inc hosp,2,2024-04-06,Alaska,quantile,0.75,14,10.5542
2024-03-23,inc hosp,2,2024-04-06,Alaska,quantile,0.975,31,10.5542
2024-03-23,inc hosp,3,2024-04-13,Alaska,quantile,0.025,1,11.0562
2024-03-23,inc hosp,3,2024-04-13,Alaska,quantile,0.25,5,11.0562
2024-03-23,inc hosp,3,2024-04-13,Alaska,quantile,0.5,8,11.0562
2024-03-23,inc hosp,3,2024-04-13,Alaska,quantile,0.75,14,11.0562
2024-03-23,inc hosp,3,2024-04-13,Alaska,quantile,0.975,37,11.0562
2024-03-23,inc hosp,4,2024-04-20,Alaska,quantile,0.025,1,10.942
2024-03-23,inc hosp,4,2024-04-20,Alaska,quantile,0.25,4,10.942
2024-03-23,inc hosp,4,2024-04-20,Alaska,quantile,0.5,8,10.942
2024-03-23,inc hosp,4,2024-04-20,Alaska,quantile,0.75,14,10.942
2024-03-23,inc hosp,4,2024-04-20,Alaska,quantile,0.975,39,10.942
2024-03-23,inc hosp,1,2024-03-30,Arizona,quantile,0.025,59,111.9434
2024-03-23,inc hosp,1,2024-03-30,Arizona,quantile,0.25,89,111.9434
2024-03-23,inc hosp,1,2024-03-30,Arizona,quantile,0.5,107,111.9434
2024-03-23,inc hosp,1,2024-03-30,Arizona,quantile,0.75,130,111.9434
2024-03-23,inc hosp,1,2024-03-30,Arizona,quantile,0.975,190,111.9434
2024-03-23,inc hosp,2,2024-04-06,Arizona,quantile,0.025,48,113.2108
2024-03-23,inc hosp,2,2024-04-06,Arizona,quantile,0.25,81,113.2108
2024-03-23,inc hosp,2,2024-04-06,Arizona,quantile,0.5,106,113.2108
2024-03-23,inc hosp,2,2024-04-06,Arizona,quantile,0.75,135,113.2108
2024-03-23,inc hosp,2,2024-04-06,Arizona,quantile,0.975,223,113.2108
2024-03-23,inc hosp,3,2024-04-13,Arizona,quantile,0.025,41,112.9662
2024-03-23,inc hosp,3,2024-04-13,Arizona,quantile,0.25,75,112.9662
2024-03-23,inc hosp,3,2024-04-13,Arizona,quantile,0.5,102,112.9662
2024-03-23,inc hosp,3,2024-04-13,Arizona,quantile,0.75,139,112.9662
2024-03-23,inc hosp,3,2024-04-13,Arizona,quantile,0.975,247,112.9662
2024-03-23,inc hosp,4,2024-04-20,Arizona,quantile,0.025,36,111.1686
2024-03-23,inc hosp,4,2024-04-20,Arizona,quantile,0.25,69,111.1686
2024-03-23,inc hosp,4,2024-04-20,Arizona,quantile,0.5,98,111.1686
2024-03-23,inc hosp,4,2024-04-20,Arizona,quantile,0.75,139,111.1686
2024-03-23,inc hosp,4,2024-04-20,Arizona,quantile,0.975,264,111.1686
2024-03-23,inc hosp,1,2024-03-30,Arkansas,quantile,0.025,60,109.9238
2024-03-23,inc hosp,1,2024-03-30,Arkansas,quantile,0.25,88,109.9238
2024-03-23,inc hosp,1,2024-03-30,Arkansas,quantile,0.5,106,109.9238
2024-03-23,inc hosp,1,2024-03-30,Arkansas,quantile,0.75,128,109.9238
2024-03-23,inc hosp,1,2024-03-30,Arkansas,quantile,0.975,179,109.9238
2024-03-23,inc hosp,2,2024-04-06,Arkansas,quantile,0.025,47,107.0192
2024-03-23,inc hosp,2,2024-04-06,Arkansas,quantile,0.25,78,107.0192
2024-03-23,inc hosp,2,2024-04-06,Arkansas,quantile,0.5,100,107.0192
2024-03-23,inc hosp,2,2024-04-06,Arkansas,quantile,0.75,128,107.0192
2024-03-23,inc hosp,2,2024-04-06,Arkansas,quantile,0.975,205,107.0192
2024-03-23,inc hosp,3,2024-04-13,Arkansas,quantile,0.025,38,101.2882
2024-03-23,inc hosp,3,2024-04-13,Arkansas,quantile,0.25,69,101.2882
2024-03-23,inc hosp,3,2024-04-13,Arkansas,quantile,0.5,92,101.2882
2024-03-23,inc hosp,3,2024-04-13,Arkansas,quantile,0.75,123,101.2882
2024-03-23,inc hosp,3,2024-04-13,Arkansas,quantile,0.975,209,101.2882
2024-03-23,inc hosp,4,2024-04-20,Arkansas,quantile,0.025,32,95.9124
2024-03-23,inc hosp,4,2024-04-20,Arkansas,quantile,0.25,62,95.9124
2024-03-23,inc hosp,4,2024-04-20,Arkansas,quantile,0.5,85,95.9124
2024-03-23,inc hosp,4,2024-04-20,Arkansas,quantile,0.75,119,95.9124
2024-03-23,inc hosp,4,2024-04-20,Arkansas,quantile,0.975,220,95.9124
2024-03-23,inc hosp,1,2024-03-30,California,quantile,0.025,93,181.124
2024-03-23,inc hosp,1,2024-03-30,California,quantile,0.25,141,181.124
2024-03-23,inc hosp,1,2024-03-30,California,quantile,0.5,172,181.124
2024-03-23,inc hosp,1,2024-03-30,California,quantile,0.75,213,181.124
2024-03-23,inc hosp,1,2024-03-30,California,quantile,0.975,313,181.124
2024-03-23,inc hosp,2,2024-04-06,California,quantile,0.025,77,184.1616
2024-03-23,inc hosp,2,2024-04-06,California,quantile,0.25,129,184.1616
2024-03-23,inc hosp,2,2024-04-06,California,quantile,0.5,171,184.1616
2024-03-23,inc hosp,2,2024-04-06,California,quantile,0.75,223,184.1616
2024-03-23,inc hosp,2,2024-04-06,California,quantile,0.975,374,184.1616
2024-03-23,inc hosp,3,2024-04-13,California,quantile,0.025,63,184.9106
2024-03-23,inc hosp,3,2024-04-13,California,quantile,0.25,118,184.9106
2024-03-23,inc hosp,3,2024-04-13,California,quantile,0.5,164,184.9106
2024-03-23,inc hosp,3,2024-04-13,California,quantile,0.75,229,184.9106
2024-03-23,inc hosp,3,2024-04-13,California,quantile,0.975,417,184.9106
2024-03-23,inc hosp,4,2024-04-20,California,quantile,0.025,55,182.9022
2024-03-23,inc hosp,4,2024-04-20,California,quantile,0.25,108,182.9022
2024-03-23,inc hosp,4,2024-04-20,California,quantile,0.5,157,182.9022
2024-03-23,inc hosp,4,2024-04-20,California,quantile,0.75,227,182.9022
2024-03-23,inc hosp,4,2024-04-20,California,quantile,0.975,453,182.9022
2024-03-23,inc hosp,1,2024-03-30,Colorado,quantile,0.025,49,89.1848
2024-03-23,inc hosp,1,2024-03-30,Colorado,quantile,0.25,71,89.1848
2024-03-23,inc hosp,1,2024-03-30,Colorado,quantile,0.5,86,89.1848
2024-03-23,inc hosp,1,2024-03-30,Colorado,quantile,0.75,103,89.1848
2024-03-23,inc hosp,1,2024-03-30,Colorado,quantile,0.975,146,89.1848
2024-03-23,inc hosp,2,2024-04-06,Colorado,quantile,0.025,39,87.051
2024-03-23,inc hosp,2,2024-04-06,Colorado,quantile,0.25,64,87.051
2024-03-23,inc hosp,2,2024-04-06,Colorado,quantile,0.5,83,87.051
2024-03-23,inc hosp,2,2024-04-06,Colorado,quantile,0.75,105,87.051
2024-03-23,inc hosp,2,2024-04-06,Colorado,quantile,0.975,160,87.051
2024-03-23,inc hosp,3,2024-04-13,Colorado,quantile,0.025,32,83.0974
2024-03-23,inc hosp,3,2024-04-13,Colorado,quantile,0.25,57,83.0974
2024-03-23,inc hosp,3,2024-04-13,Colorado,quantile,0.5,77,83.0974
2024-03-23,inc hosp,3,2024-04-13,Colorado,quantile,0.75,103,83.0974
2024-03-23,inc hosp,3,2024-04-13,Colorado,quantile,0.975,170,83.0974
2024-03-23,inc hosp,4,2024-04-20,Colorado,quantile,0.025,26,78.1896
2024-03-23,inc hosp,4,2024-04-20,Colorado,quantile,0.25,51,78.1896
2024-03-23,inc hosp,4,2024-04-20,Colorado,quantile,0.5,71,78.1896
