reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2024-01-20,inc hosp,1,2024-01-27,Alabama,quantile,0.025,77,146.7054
2024-01-20,inc hosp,1,2024-01-27,Alabama,quantile,0.25,115,146.7054
2024-01-20,inc hosp,1,2024-01-27,Alabama,quantile,0.5,141,146.7054
2024-01-20,inc hosp,1,2024-01-27,Alabama,quantile,0.75,171,146.7054
2024-01-20,inc hosp,1,2024-01-27,Alabama,quantile,0.975,254,146.7054
2024-01-20,inc hosp,2,2024-02-03,Alabama,quantile,0.025,53,131.028
2024-01-20,inc hosp,2,2024-02-03,Alabama,quantile,0.25,92,131.028
2024-01-20,inc hosp,2,2024-02-03,Alabama,quantile,0.5,122,131.028
2024-01-20,inc hosp,2,2024-02-03,Alabama,quantile,0.75,160,131.028
2024-01-20,inc hosp,2,2024-02-03,Alabama,quantile,0.975,263,131.028
2024-01-20,inc hosp,3,2024-02-10,Alabama,quantile,0.025,41,123.5228
2024-01-20,inc hosp,3,2024-02-10,Alabama,quantile,0.25,80,123.5228
2024-01-20,inc hosp,3,2024-02-10,Alabama,quantile,0.5,111,123.5228
2024-01-20,inc hosp,3,2024-02-10,Alabama,quantile,0.75,153,123.5228
2024-01-20,inc hosp,3,2024-02-10,Alabama,quantile,0.975,278,123.5228
2024-01-20,inc hosp,4,2024-02-17,Alabama,quantile,0.025,35,120.1572
2024-01-20,inc hosp,4,2024-02-17,Alabama,quantile,0.25,72,120.1572
2024-01-20,inc hosp,4,2024-02-17,Alabama,quantile,0.5,105,120.1572
2024-01-20,inc hosp,4,2024-02-17,Alabama,quantile,0.75,150,120.1572
2024-01-20,inc hosp,4,2024-02-17,Alabama,quantile,0.975,295,120.1572
2024-01-20,inc hosp,1,2024-01-27,Alaska,quantile,0.025,1,7.4954
2024-01-20,inc hosp,1,2024-01-27,Alaska,quantile,0.25,4,7.4954
2024-01-20,inc hosp,1,2024-01-27,Alaska,quantile,0.5,6,7.4954
2024-01-20,inc hosp,1,2024-01-27,Alaska,quantile,0.75,10,7.4954
2024-01-20,inc hosp,1,2024-01-27,Alaska,quantile,0.975,20,7.4954
2024-01-20,inc hosp,2,2024-02-03,Alaska,quantile,0.025,0,7.4264
2024-01-20,inc hosp,2,2024-02-03,Alaska,quantile,0.25,3,7.4264
2024-01-20,inc hosp,2,2024-02-03,Alaska,quantile,0.5,6,7.4264
2024-01-20,inc hosp,2,2024-02-03,Alaska,quantile,0.75,10,7.4264
2024-01-20,inc hosp,2,2024-02-03,Alaska,quantile,0.975,23,7.4264
2024-01-20,inc hosp,3,2024-02-10,Alaska,quantile,0.025,0,7.738
2024-01-20,inc hosp,3,2024-02-10,Alaska,quantile,0.25,3,7.738
2024-01-20,inc hosp,3,2024-02-10,Alaska,quantile,0.5,6,7.738
2024-01-20,inc hosp,3,2024-02-10,Alaska,quantile,0.75,10,7.738
2024-01-20,inc hosp,3,2024-02-10,Alaska,quantile,0.975,28,7.738
2024-01-20,inc hosp,4,2024-02-17,Alaska,quantile,0.025,0,8.311
2024-01-20,inc hosp,4,2024-02-17,Alaska,quantile,0.25,3,8.311
2024-01-20,inc hosp,4,2024-02-17,Alaska,quantile,0.5,6,8.311
2024-01-20,inc hosp,4,2024-02-17,Alaska,quantile,0.75,11,8.311
2024-01-20,inc hosp,4,2024-02-17,Alaska,quantile,0.975,33,8.311
2024-01-20,inc hosp,1,2024-01-27,Arizona,quantile,0.025,298,542.3962
2024-01-20,inc hosp,1,2024-01-27,Arizona,quantile,0.25,433,542.3962
2024-01-20,inc hosp,1,2024-01-27,Arizona,quantile,0.5,522,542.3962
2024-01-20,inc hosp,1,2024-01-27,Arizona,quantile,0.75,635,542.3962
