reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.01,0
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.025,0
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.05,82.13516185161858
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.1,253.01098710987068
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.15,307.1570200702007
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.2,340.65810458104585
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.25,364.3959489594896
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.3,383.38649986499865
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.35,399.40070500705
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.4,413
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.45,425.1135201352014
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.5,437
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.55,448.6982809828098
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.6,461
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.65,474.6244667446674
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.7,490
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.75,509.4628721287213
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.8,533.6609886098861
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.85,567.280713807138
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.9,620.6437794377945
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.95,825.1856653566495
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.975,1064.1668189181885
2024-02-24,1,wk inc hosp,2024-03-02,01,quantile,0.99,1150.661955119549
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.01,0
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.025,8.007538325383255
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.05,15
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.1,22
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.15,26
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.2,29
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.25,32
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.3,34
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.35,36
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.4,38
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.45,40
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.5,42
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.55,44
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.6,46
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.65,48
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.7,50
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.75,52
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.8,55
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.85,58
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.9,62
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.95,69.08579985799852
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.975,76.079796797968
2024-02-24,1,wk inc hosp,2024-03-02,02,quantile,0.99,84.01397733977328
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.01,0
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.025,0
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.05,0
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.1,97.47889678896792
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.15,154.27797377973775
2024-02-24,1,wk inc hosp,2024-03-02,04,quantile,0.2,192.95129851298518
