reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.05,22.919215192152002
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.1,158.12871928719292
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.15,211.91074610746102
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.2,245.9446494464945
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.25,269.77054270542703
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.3,289.14315543155425
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.35,304.96288362883627
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.4,318.189577895779
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.45,330.45563405634056
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.5,342
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.55,353.9187831878319
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.6,366
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.65,379.7562235622356
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.7,395
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.75,414.2643551435515
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.8,437.6649806498065
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.85,471.32314373143726
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.9,528.4669336693366
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.95,737.6646161461591
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.975,973.9322878228791
2024-02-10,1,wk inc hosp,2024-02-17,01,quantile,0.99,1056.9384222842216
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.01,12.741067410674109
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.025,20.836371613716143
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.05,27.965817658176586
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.1,35
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.15,38.77179371793717
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.2,42
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.25,45
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.3,47
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.35,49
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.4,51
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.45,53
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.5,55
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.55,57
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.6,59
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.65,61
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.7,63
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.75,65
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.8,68
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.85,71
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.9,75
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.95,82.10872108721087
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.975,89.26706417064172
2024-02-10,1,wk inc hosp,2024-02-17,02,quantile,0.99,97.08604716047152
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.05,26.278359283592863
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.1,170.58595085950859
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.15,229.43894788947887
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.2,268.8930069300693
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.25,298.8028980289803
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.3,322.38561785617856
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.35,341.23044280442804
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.4,357.6522725227253
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.45,373.75942309423095
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.5,389
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.55,403.5089460894609
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.6,419.6612006120061
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.65,436
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.7,455.33789937899377
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.75,479.89532895328955
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.8,509.6945909459096
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.85,550.4779497794977
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.9,609.9942129421295
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.95,834.6807218072177
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.975,1003.0734384843847
2024-02-10,1,wk inc hosp,2024-02-17,04,quantile,0.99,1122.5347223472231
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.05,7.760867608676094
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.1,91.93844838448385
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.15,119.69801998019983
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.2,135.70863108631087
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.25,148.5451129511295
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.3,159.280046800468
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.35,168.91009810098103
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.4,177.6278642786428
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.45,186
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.5,194
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.55,202
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.6,210.5624156241562
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.65,219.09533345333455
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.7,228.8074430744307
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.75,239.63043380433805
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.8,252.05203852038522
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.85,268.6467914679147
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.9,297.41676716767194
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.95,472.9105706057051
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.975,569.4341800918006
2024-02-10,1,wk inc hosp,2024-02-17,05,quantile,0.99,612.0042201422012
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.05,484.60850508505064
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.1,1462.5894428944289
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.15,1701.9400144001438
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.2,1840.911808118081
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.25,1941.1480964809646
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.3,2027.6763477634772
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.35,2105.779929799298
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.4,2176.4465214652146
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.45,2242.623337233372
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.5,2305
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.55,2366.29892898929
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.6,2431.525272252722
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.65,2503.49853298533
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.7,2583.669129691297
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.75,2669.8886463864633
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.8,2768.0339573395736
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.85,2909.993204932049
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.9,3155.054684546845
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.95,4206.788592385919
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.975,5368.198060480604
2024-02-10,1,wk inc hosp,2024-02-17,06,quantile,0.99,5991.182634326339
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.05,9.882031320313223
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.1,106.37749077490773
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.15,145.86789217892172
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.2,171.8861488614886
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.25,192.06950319503193
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.3,208.9164071640716
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.35,222.95949959499592
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.4,235.0846548465484
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.45,246.95949959499592
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.5,257
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.55,267.67121771217717
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.6,278.9594995949959
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.65,290.9594995949959
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.7,304.3856448564485
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.75,321.43780937809373
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.8,342.4617946179461
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.85,369.5809648096481
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.9,410.8259112591126
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.95,548.6314103141027
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.975,706.7373436234346
2024-02-10,1,wk inc hosp,2024-02-17,08,quantile,0.99,898.297564575645
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.01,0
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.025,0
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.05,47.361079110791124
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.1,137.3238952389524
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.15,172.79675996759968
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.2,200.3744037440375
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.25,217.33451084510847
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.3,230
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.35,240.3088650886509
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.4,249.02122221222214
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.45,257
2024-02-10,1,wk inc hosp,2024-02-17,09,quantile,0.5,265
