reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.01,0
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.025,0
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.05,94.70759157591586
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.1,289.0344793447935
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.15,346.26586715867154
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.2,381.32066720667206
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.25,406.59819098190985
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.3,425.4290762907629
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.35,441.1746587465875
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.4,454.83832238322395
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.45,467
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.5,478
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.55,489.65013200132
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.6,501.76463564635645
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.65,515.0855008550085
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.7,530.5783697836978
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.75,549.920431704317
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.8,575.4530165301653
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.85,610.6643641436415
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.9,667.9825848258484
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.95,887.191566915669
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.975,1110.0424954249538
2024-01-20,1,wk inc hosp,2024-01-27,01,quantile,0.99,1192.0953040530387
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.01,0
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.025,2.7802740527405283
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.05,9.553886538865386
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.1,16.769951699516984
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.15,20.66793117931179
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.2,24
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.25,27
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.3,29
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.35,31
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.4,33
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.45,35
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.5,37
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.55,39
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.6,41
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.65,43
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.7,45
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.75,47
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.8,50
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.85,53.15702757027569
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.9,57
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.95,64.39178591785911
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.975,71.3760995109951
2024-01-20,1,wk inc hosp,2024-01-27,02,quantile,0.99,79.4087891878918
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.01,0
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.025,0
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.05,123.91177961779621
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.1,353.10448204482054
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.15,413.8737557375574
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.2,454.7579215792158
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.25,485.7723502235022
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.3,509.55090450904504
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.35,529.0946209462094
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.4,545.1986559865599
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.45,561.5731482314823
2024-01-20,1,wk inc hosp,2024-01-27,04,quantile,0.5,576
