reference_date,target,target_end_date,horizon,location_number,location,output_type,output_type_id,value
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.01,11
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.025,11
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.05,22
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.1,33
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.15,33
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.2,44
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.25,44
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.3,56
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.35,56
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.4,67
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.45,67
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.5,78
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.55,78
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.6,89
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.65,100
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.7,100
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.75,111
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.8,122
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.85,133
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.9,156
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.95,178
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.975,211
2023-04-01,inc hosp,2023-04-08,1,06,California,quantile,0.99,244
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.01,0
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.025,11
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.05,11
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.1,22
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.15,33
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.2,33
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.25,44
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.3,44
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.35,56
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.4,56
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.45,67
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.5,67
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.55,78
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.6,78
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.65,89
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.7,100
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.75,111
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.8,122
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.85,133
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.9,156
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.95,200
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.975,244
2023-04-01,inc hosp,2023-04-15,2,06,California,quantile,0.99,300
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.01,0
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.025,0
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.05,11
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.1,22
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.15,22
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.2,33
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.25,33
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.3,44
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.35,44
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.4,56
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.45,56
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.5,67
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.55,67
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.6,78
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.65,89
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.7,89
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.75,100
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.8,122
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.85,133
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.9,167
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.95,200
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.975,256
2023-04-01,inc hosp,2023-04-22,3,06,California,quantile,0.99,344
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.01,0
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.025,0
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.05,11
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.1,11
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.15,22
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.2,22
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.25,33
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.3,33
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.35,44
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.4,44
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.45,56
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.5,56
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.55,67
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.6,67
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.65,78
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.7,89
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.75,100
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.8,111
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.85,133
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.9,167
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.95,211
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.975,267
2023-04-01,inc hosp,2023-04-29,4,06,California,quantile,0.99,344
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.01,2
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.025,2
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.05,4
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.1,6
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.15,6
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.2,8
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.25,8
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.3,10
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.35,10
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.4,12
2023-04-01,inc hosp,2023-04-08,1,08,Colorado,quantile,0.45,12
