model,date,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,2022-09-17,33.76519230769231,19.83826923076923,2.1653846153846157,11.76153846153846,0.1007692307692308,0.2788461538461539,52.673076923076934,0.7115384615384616,0.9807692307692307,0.4725148781769694,52.74851218230305,0.5274851218230305
COVID-19_forecast_model,2022-09-24,45.48490384615384,22.134903846153847,5.948076923076923,17.401923076923072,0.05269230769230772,0.13269230769230766,79.57692307692307,0.576923076923077,1,0.5291313191897886,47.08686808102114,0.4708686808102114
COVID-19_forecast_model,2022-10-01,58.398012820512825,23.810833333333335,7.820512820512823,26.766666666666673,0.02641025641025643,0.1852564102564103,105.38461538461537,0.5128205128205128,1,0.5796335740228773,42.03664259771227,0.4203664259771227
COVID-19_forecast_model,2022-10-08,61.762692307692305,24.96846153846154,11.377884615384614,25.416346153846156,0.033461538461538466,0.1783653846153846,112.16346153846156,0.5432692307692307,0.9855769230769231,0.5882656890799577,41.17343109200423,0.4117343109200423
COVID-19_forecast_model,2022-10-15,52.089134615384616,23.226634615384615,10.2048076923077,18.65769230769231,0.045000000000000026,0.16225961538461545,90.66826923076921,0.5865384615384615,0.9759615384615385,0.5594580367022043,44.05419632977957,0.4405419632977957
COVID-19_forecast_model,2022-10-22,43.93942307692308,22.233653846153846,8.960576923076921,12.745192307692307,0.06038461538461544,0.053125000000000054,74.9903846153846,0.610576923076923,0.9903846153846154,0.5261615898395412,47.38384101604588,0.4738384101604588
COVID-19_forecast_model,2022-10-29,36.18192307692308,22.43096153846154,6.606730769230769,7.144230769230768,0.10365384615384618,0.04110576923076912,56.1778846153846,0.7067307692307693,1,0.48510015715403904,51.489984284596105,0.514899842845961
COVID-19_forecast_model,2022-11-05,43.137884615384614,24.262884615384618,4.424038461538453,14.45096153846154,0.06807692307692312,0.31081730769230764,65.95192307692307,0.6298076923076922,0.9903846153846154,0.5979717244875702,40.20282755124298,0.4020282755124298
COVID-19_forecast_model,2022-11-12,58.949086538461536,26.38754807692308,4.434615384615379,28.126923076923077,-0.004999999999999988,0.5346153846153846,105.03846153846155,0.44230769230769224,0.9903846153846154,0.8095410124471559,19.04589875528441,0.19045898755284407
COVID-19_forecast_model,2022-11-19,78.32307692307693,28.494230769230768,4.252884615384623,45.575961538461534,-0.05307692307692306,0.6225961538461537,141.1442307692308,0.3653846153846154,0.9519230769230771,1.0291344487386933,-2.913444873869331,-0.029134448738693308
COVID-19_forecast_model,2022-11-26,80.45423076923076,29.744615384615386,7.226923076923077,43.48269230769231,-0.03769230769230767,0.4596153846153845,147.20192307692307,0.4182692307692307,0.9375,0.9317248415374388,6.827515846256116,0.06827515846256116
COVID-19_forecast_model,2022-12-03,68.68951923076922,30.211634615384614,25.95,12.527884615384615,0.06134615384615386,-0.16009615384615394,119.64903846153845,0.6057692307692307,0.9903846153846154,0.5753017715240164,42.46982284759836,0.4246982284759836
COVID-19_forecast_model,2022-12-10,57.434423076923075,31.742115384615385,14.232692307692302,11.459615384615384,0.09211538461538459,0.10336538461538453,92.34615384615387,0.6778846153846155,0.9951923076923077,0.48935608468859265,51.06439153114073,0.5106439153114073
COVID-19_forecast_model,2022-12-17,58.21326923076923,33.71038461538462,10.413461538461537,14.089423076923085,0.07769230769230777,0.13581730769230776,88.28365384615387,0.6682692307692307,0.971153846153846,0.5087137326808231,49.12862673191769,0.4912862673191769
COVID-19_forecast_model,2022-12-24,67.60923076923078,37.12173076923077,8.572115384615383,21.915384615384617,0.045000000000000026,0.26225961538461534,102.1009615384616,0.6009615384615385,0.9615384615384615,0.6049513858414123,39.50486141585877,0.3950486141585877
COVID-19_forecast_model,2022-12-31,91.30403846153845,41.55596153846154,24.156730769230776,25.59134615384615,-0.01173076923076926,0.1651442307692307,156.99038461538458,0.5048076923076922,0.9134615384615385,0.647308200912977,35.2691799087023,0.352691799087023
COVID-19_forecast_model,2023-01-07,129.99091346153844,48.30052884615385,7.791346153846156,73.89903846153847,-0.09634615384615382,0.5204326923076922,225.85576923076914,0.37980769230769235,0.826923076923077,1.0151438479391615,-1.5143847939161459,-0.015143847939161459
COVID-19_forecast_model,2023-01-14,157.66201923076923,47.48413461538462,0.3173076923076923,109.86057692307693,-0.1376923076923077,0.7533653846153846,274.1682692307692,0.32211538461538447,0.7836538461538461,1.5709623802470134,-57.09623802470134,-0.5709623802470134
COVID-19_forecast_model,2023-01-21,148.71639423076923,42.31543269230769,0.23942307692307677,106.16153846153846,-0.13288461538461535,0.7336538461538462,263.3317307692308,0.3076923076923077,0.8076923076923078,1.1437575915996538,-14.375759159965384,-0.14375759159965384
COVID-19_forecast_model,2023-01-28,99.27322115384615,35.06360576923077,1.1990384615384604,63.010576923076925,-0.061730769230769214,0.5521634615384614,174.51923076923075,0.39903846153846145,0.8942307692307693,0.6699199844500233,33.00800155499767,0.3300800155499767
COVID-19_forecast_model,2023-02-04,45.10966346153846,26.349086538461542,5.4980769230769235,13.262500000000001,0.07288461538461541,0.002644230769230723,72.0721153846154,0.6538461538461539,0.9759615384615385,0.31749429808424867,68.25057019157514,0.6825057019157513
COVID-19_forecast_model,2023-02-11,49.58221153846154,20.71778846153846,28.175000000000004,0.6894230769230767,-0.022307692307692244,-0.6415865384615385,85.41826923076921,0.4471153846153845,0.9423076923076922,0.45725701650591394,54.2742983494086,0.542742983494086
