model,location,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis
baseline_flu,Alabama,45.44979566525665,5.6931896431964315,23.39603227232269,16.360573749737497,-0.12000000000000009,0.08199999999999971,64.416,0.3519999999999998,0.7919999999999998,1
baseline_flu,Alaska,7.198303594285944,1.3894601838518383,3.2257078150781577,2.583135595355954,-0.003999999999999911,-0.013599999999999859,11.02799820998209,0.532,0.876,1
baseline_flu,Arizona,137.1684868478385,11.499706064830646,70.11884328323285,55.54993749977503,-0.1287999999999999,-0.018600000000000158,180.52399999999997,0.4199999999999999,0.704,1
baseline_flu,Arkansas,51.22816005706058,5.253514906609065,25.80309935619359,20.171545794257945,-0.14000000000000004,-0.09480000000000037,69.50800000000004,0.38399999999999973,0.7039999999999998,1
baseline_flu,California,329.84207733801344,25.823955794797946,173.9770804236043,130.04104111961124,-0.11519999999999993,0.013200000000000116,434.5160000000003,0.4000000000000001,0.7599999999999997,1
baseline_flu,Colorado,41.473108759617595,6.425146572795728,18.484081287212877,16.563880899609,-0.09519999999999988,-0.05379999999999994,63.31999777997782,0.42400000000000027,0.78,1
baseline_flu,Connecticut,45.82038571625717,4.348489610896108,23.942583254632535,17.529312850728516,-0.1088,-0.05899999999999968,61.883999999999986,0.39599999999999974,0.7760000000000002,1
baseline_flu,Delaware,7.714775724137242,1.4679053462334624,3.6210062312623137,2.6258641466414665,0.0071999999999999035,0.039399999999999796,11.908002640026398,0.4880000000000003,0.924,1
baseline_flu,District of Columbia,8.509363166481664,0.9443366714167141,4.571360661206613,2.9936658338583375,-0.08720000000000008,-0.019000000000000104,11.823999209992095,0.42000000000000004,0.784,1
baseline_flu,Florida,152.18004088910888,21.296458729687295,71.89635645036445,58.98722570905711,-0.1936,-0.05220000000000003,224.748,0.26799999999999974,0.6959999999999998,1
baseline_flu,Georgia,85.47122669030692,6.6768833788737885,46.24512434804346,32.54921896338963,-0.20320000000000002,0.033399999999999916,112.4919999999999,0.2839999999999999,0.6480000000000002,1
baseline_flu,Hawaii,4.326967996809969,0.9089029197591976,1.7235477442774436,1.6945173327733272,-0.08399999999999994,-0.11900000000000015,6.887999999999997,0.37599999999999995,0.8440000000000001,1
baseline_flu,Idaho,30.814375980629805,2.4504105397753975,15.910222051420511,12.453743389433901,-0.07839999999999998,-0.02079999999999992,40.687998399984004,0.41200000000000014,0.7960000000000004,1
baseline_flu,Illinois,116.1125169517995,10.449994344573444,62.09237911059103,43.57014349663496,-0.12480000000000004,-0.06499999999999985,153.84400000000014,0.3759999999999999,0.7479999999999998,1
baseline_flu,Indiana,92.25320947654477,8.495108718737187,47.05183494474949,36.70626581305815,-0.13919999999999996,-0.08219999999999977,124.7519999999999,0.32800000000000024,0.7720000000000005,1
baseline_flu,Iowa,38.30114741852419,2.931777084820848,19.436278663586656,15.9330916701167,-0.11039999999999986,-0.1629999999999999,50.01599762997626,0.3360000000000001,0.8280000000000003,1
baseline_flu,Kansas,32.023668840418395,3.3293727450574497,16.507466610666096,12.18682948469485,-0.11439999999999989,-0.10260000000000034,44.88399729997298,0.3600000000000002,0.7879999999999998,1
baseline_flu,Kentucky,78.02613976582768,7.61401649819498,39.90215364193635,30.509969625696275,-0.06959999999999991,-0.0345999999999997,102.26400000000005,0.4399999999999999,0.8280000000000004,1
baseline_flu,Louisiana,41.638355508165084,4.990077780587805,19.962580016200157,16.68569771137712,-0.1735999999999999,-0.011399999999999615,59.46799999999999,0.29999999999999977,0.7120000000000002,1
baseline_flu,Maine,21.689105539295397,2.0839656530965307,10.656563380433791,8.948576505765066,-0.04879999999999988,-0.07080000000000018,28.636000120001224,0.43200000000000005,0.8480000000000002,1
baseline_flu,Maryland,50.61233910743108,4.811515204792048,26.68258472544727,19.118239177191775,-0.15999999999999992,-0.0036000000000002423,69.50799785997859,0.34000000000000014,0.7080000000000003,1
baseline_flu,Massachusetts,100.69684366705668,8.337473011750117,52.10005217612181,40.25931847918476,-0.11279999999999989,-0.058799999999999714,133.16000000000005,0.38799999999999973,0.772,1
baseline_flu,Michigan,146.04931592120923,10.607303926289262,74.60456492924932,60.83744706567062,-0.1336,-0.15340000000000006,193.40000000000012,0.3639999999999996,0.7440000000000001,1
baseline_flu,Minnesota,43.33050508381085,4.735465812618126,22.37166478344788,16.22337448774488,-0.07600000000000001,-0.11819999999999968,58.423993539935346,0.4440000000000001,0.8080000000000002,1
baseline_flu,Mississippi,39.16104934242342,4.798593446664467,19.703175689356915,14.659280206402066,-0.13999999999999993,0.09139999999999979,54.24000000000001,0.3479999999999999,0.7440000000000002,1
baseline_flu,Missouri,97.05600644467444,8.468975378363782,51.007454396943956,37.57957666936671,-0.11040000000000001,-0.07559999999999986,130.83199999999994,0.36000000000000026,0.8080000000000002,1
baseline_flu,Montana,16.47663503098031,1.933329367523675,8.163380467804677,6.379925195651961,-0.07520000000000003,0.02859999999999969,23.047990289902902,0.4799999999999997,0.748,1
baseline_flu,Nebraska,16.877039150521508,2.7667431827618274,7.714379019390192,6.395916948369483,-0.03759999999999998,-0.09739999999999994,24.923999069990693,0.496,0.8439999999999999,1
baseline_flu,Nevada,38.19521131462315,4.704973908649086,18.77647706717069,14.71376033880339,-0.038400000000000066,-0.019799999999999967,52.03599943999439,0.5160000000000001,0.8160000000000001,1
