model,date,horizon,location,prediction,quantile,disease
2022-10-01,2022-10-15,2,US,21284,0.3,covid
2022-10-01,2022-10-15,2,US,21895,0.35,covid
2022-10-01,2022-10-15,2,US,22503,0.4,covid
2022-10-01,2022-10-15,2,US,22990,0.45,covid
2022-10-01,2022-10-15,2,US,23454,0.5,covid
2022-10-01,2022-10-15,2,US,24009,0.55,covid
2022-10-01,2022-10-15,2,US,24548,0.6,covid
2022-10-01,2022-10-15,2,US,25184,0.65,covid
2022-10-01,2022-10-15,2,US,25852,0.7,covid
2022-10-01,2022-10-15,2,US,26572,0.75,covid
2022-10-01,2022-10-15,2,US,27310,0.8,covid
2022-10-01,2022-10-15,2,US,28334,0.85,covid
2022-10-01,2022-10-15,2,US,29605,0.9,covid
2022-10-01,2022-10-15,2,US,31756,0.95,covid
2022-10-01,2022-10-15,2,US,33845,0.975,covid
2022-10-01,2022-10-15,2,US,36132,0.99,covid
2022-10-01,2022-10-22,3,US,14196,0.01,covid
2022-10-01,2022-10-22,3,US,15296,0.025,covid
2022-10-01,2022-10-22,3,US,16271,0.05,covid
2022-10-01,2022-10-22,3,US,17589,0.1,covid
2022-10-01,2022-10-22,3,US,18541,0.15,covid
2022-10-01,2022-10-22,3,US,19307,0.2,covid
2022-10-01,2022-10-22,3,US,20097,0.25,covid
2022-10-01,2022-10-22,3,US,20799,0.3,covid
2022-10-01,2022-10-22,3,US,21475,0.35,covid
2022-10-01,2022-10-22,3,US,22151,0.4,covid
2022-10-01,2022-10-22,3,US,22811,0.45,covid
2022-10-01,2022-10-22,3,US,23454,0.5,covid
2022-10-01,2022-10-22,3,US,24187,0.55,covid
2022-10-01,2022-10-22,3,US,24801,0.6,covid
2022-10-01,2022-10-22,3,US,25536,0.65,covid
2022-10-01,2022-10-22,3,US,26342,0.7,covid
2022-10-01,2022-10-22,3,US,27187,0.75,covid
2022-10-01,2022-10-22,3,US,28279,0.8,covid
2022-10-01,2022-10-22,3,US,29540,0.85,covid
2022-10-01,2022-10-22,3,US,31310,0.9,covid
2022-10-01,2022-10-22,3,US,34042,0.95,covid
2022-10-01,2022-10-22,3,US,36698,0.975,covid
2022-10-01,2022-10-22,3,US,40332,0.99,covid
2022-10-01,2022-10-29,4,US,13431,0.01,covid
2022-10-01,2022-10-29,4,US,14725,0.025,covid
2022-10-01,2022-10-29,4,US,16106,0.05,covid
2022-10-01,2022-10-29,4,US,17491,0.1,covid
2022-10-01,2022-10-29,4,US,18580,0.15,covid
2022-10-01,2022-10-29,4,US,19423,0.2,covid
2022-10-01,2022-10-29,4,US,20327,0.25,covid
2022-10-01,2022-10-29,4,US,21100,0.3,covid
2022-10-01,2022-10-29,4,US,21916,0.35,covid
2022-10-01,2022-10-29,4,US,22728,0.4,covid
2022-10-01,2022-10-29,4,US,23539,0.45,covid
2022-10-01,2022-10-29,4,US,24394,0.5,covid
2022-10-01,2022-10-29,4,US,25183,0.55,covid
2022-10-01,2022-10-29,4,US,26017,0.6,covid
2022-10-01,2022-10-29,4,US,26905,0.65,covid
2022-10-01,2022-10-29,4,US,27888,0.7,covid
2022-10-01,2022-10-29,4,US,29100,0.75,covid
2022-10-01,2022-10-29,4,US,30237,0.8,covid
2022-10-01,2022-10-29,4,US,31823,0.85,covid
2022-10-01,2022-10-29,4,US,34065,0.9,covid
2022-10-01,2022-10-29,4,US,37114,0.95,covid
2022-10-01,2022-10-29,4,US,40977,0.975,covid
2022-10-01,2022-10-29,4,US,45516,0.99,covid
2022-10-08,2022-11-05,4,US,NA,0.01,covid
2022-10-08,2022-11-05,4,US,NA,0.025,covid
2022-10-08,2022-11-05,4,US,NA,0.05,covid
2022-10-08,2022-11-05,4,US,NA,0.1,covid
2022-10-08,2022-11-05,4,US,NA,0.15,covid
2022-10-08,2022-11-05,4,US,NA,0.2,covid
2022-10-08,2022-11-05,4,US,NA,0.25,covid
2022-10-08,2022-11-05,4,US,NA,0.3,covid
2022-10-08,2022-11-05,4,US,NA,0.35,covid
2022-10-08,2022-11-05,4,US,NA,0.4,covid
2022-10-08,2022-11-05,4,US,NA,0.45,covid
2022-10-08,2022-11-05,4,US,NA,0.5,covid
2022-10-08,2022-11-05,4,US,NA,0.55,covid
2022-10-08,2022-11-05,4,US,NA,0.6,covid
2022-10-08,2022-11-05,4,US,NA,0.65,covid
2022-10-08,2022-11-05,4,US,NA,0.7,covid
2022-10-08,2022-11-05,4,US,NA,0.75,covid
2022-10-08,2022-11-05,4,US,NA,0.8,covid
2022-10-08,2022-11-05,4,US,NA,0.85,covid
2022-10-08,2022-11-05,4,US,NA,0.9,covid
2022-10-08,2022-11-05,4,US,NA,0.95,covid
2022-10-08,2022-11-05,4,US,NA,0.975,covid
2022-10-08,2022-11-05,4,US,NA,0.99,covid
2022-11-05,2022-11-12,1,US,20621,0.01,covid
2022-11-05,2022-11-12,1,US,21335,0.025,covid
2022-11-05,2022-11-12,1,US,22217,0.05,covid
2022-11-05,2022-11-12,1,US,23138,0.1,covid
2022-11-05,2022-11-12,1,US,23866,0.15,covid
2022-11-05,2022-11-12,1,US,24445,0.2,covid
2022-11-05,2022-11-12,1,US,24966,0.25,covid
2022-11-05,2022-11-12,1,US,25402,0.3,covid
2022-11-05,2022-11-12,1,US,25859,0.35,covid
2022-11-05,2022-11-12,1,US,26242,0.4,covid
2022-11-05,2022-11-12,1,US,26659,0.45,covid
2022-11-05,2022-11-12,1,US,27048,0.5,covid
2022-11-05,2022-11-12,1,US,27487,0.55,covid
2022-11-05,2022-11-12,1,US,27946,0.6,covid
2022-11-05,2022-11-12,1,US,28423,0.65,covid
2022-11-05,2022-11-12,1,US,28821,0.7,covid
2022-11-05,2022-11-12,1,US,29344,0.75,covid
2022-11-05,2022-11-12,1,US,29895,0.8,covid
2022-11-05,2022-11-12,1,US,30669,0.85,covid
2022-11-05,2022-11-12,1,US,31512,0.9,covid
2022-11-05,2022-11-12,1,US,32990,0.95,covid
2022-11-05,2022-11-12,1,US,34065,0.975,covid
2022-11-05,2022-11-12,1,US,35488,0.99,covid
2022-11-05,2022-11-19,2,US,20822,0.01,covid
