model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
CU-ensemble,2,49.49261526344369,11.841251613236082,19.118699804766155,18.53266384544145,-0.09447395332982168,-0.045844618674269304,71.16227084818247,0.4141126158232336,0.8047042052744096,0.864243330767194,0.8509423646037437,41.41,80.47,49.49,71.16,0.85
CU-ensemble,3,60.77435215051231,13.049733344101721,24.99505447202063,22.729564334390176,-0.12209506645640884,-0.0604515173945227,86.17832198371576,0.36787564766839176,0.7742413027387112,0.872511589642924,0.855976630420433,36.79,77.42,60.77,86.18,0.86
FluSight-baseline,0,25.520692999800207,3.275702483829445,11.847040797415206,10.397949718555479,-0.14079282190358045,-0.014306569343064679,34.42136706370393,0.27339084273390984,0.9150630391506297,0.908336502500058,1,27.34,91.51,25.52,34.42,1
FluSight-baseline,1,42.3541391139921,5.978096974063734,19.91536772611118,16.460674413817234,-0.1191782459285823,-0.010233676975945624,58.37869383676648,0.294845360824743,0.9017182130584198,0.9815120613955145,1,29.48,90.17,42.35,58.38,1
FluSight-baseline,2,57.934319665951605,8.441078714936006,27.756704504359515,21.736536446656032,-0.13187827326536317,-0.016885245901638955,81.47754777797216,0.27797576621525355,0.8709907341411268,1.015630866104127,1,27.8,87.1,57.93,81.48,1
FluSight-baseline,3,70.71441524558723,10.64453707811892,34.46509462270287,25.604783544765098,-0.14311009558137294,-0.018771280532938597,101.02664671909528,0.28053293856402706,0.860103626943004,1.0193170685213326,1,28.05,86.01,70.71,101.03,1
FluSight-ensemble,0,19.558068519705404,8.506388902325499,7.15635269096321,3.8953269264167023,0.037505553792446834,-0.11063702720636999,30.43763785084948,0.5693430656934303,0.9462508294625087,0.6966131747178145,0.7669109111001184,56.93,94.63,19.56,30.44,0.77
FluSight-ensemble,1,31.5849362983366,11.779221046948003,12.81178685678205,6.993928394606577,0.006774241745106913,-0.13811683848797277,49.433038361106846,0.5298969072164937,0.9347079037800686,0.7276117096561752,0.7413171353408091,52.99,93.47,31.58,49.43,0.74
FluSight-ensemble,2,42.216291182060175,14.647028156057615,18.9615427569577,8.60772026904481,-0.014923920790851936,-0.1668210976478971,66.40710207130734,0.47683535281539474,0.9237348538845335,0.7351029471860857,0.7237894905713901,47.68,92.37,42.22,66.41,0.72
FluSight-ensemble,3,50.45079217968827,16.844597383093486,25.673653726087654,7.932541070507124,-0.025837865671161267,-0.19054774241302874,77.90135868692099,0.4863064396743184,0.8993338267949673,0.7245104434918763,0.7107802526478674,48.63,89.93,50.45,77.9,0.71
