model,location,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis
baseline_rsv,California,13.49519375297599,2.385082989945284,6.271710629798616,4.838400133232103,-0.11692307692307702,0.060384615384615495,21.099999999999987,0.3461538461538458,0.7692307692307688,1
baseline_rsv,Colorado,33.4081576470957,4.031656628239359,16.429744527829914,12.946756491026443,-0.12769230769230747,0.09807692307692306,47.965382682673,0.33076923076923054,0.784615384615384,1
baseline_rsv,Connecticut,6.719123657428883,1.1290712672895957,3.0372632976329728,2.5527890925063086,-0.11769230769230772,0.08538461538461524,10.380769230769232,0.357692307692308,0.7807692307692309,1
baseline_rsv,Georgia,11.082143153268074,3.0149994999084604,3.2067096309424654,4.860434022417147,-0.032307692307692364,0.3028846153846152,18.080769230769224,0.46153846153846145,0.8500000000000002,1
baseline_rsv,Maryland,20.36272706581874,1.9427812386681558,10.822325934413179,7.597619892737391,-0.1684615384615384,0.07749999999999967,27.91922446147538,0.34615384615384587,0.6500000000000002,1
baseline_rsv,Michigan,12.360768714465992,1.5889884216630625,6.16518138950621,4.606598903296725,-0.08076923076923076,0.08153846153846157,17.661538461538473,0.392307692307692,0.8076923076923079,1
baseline_rsv,Minnesota,20.741595075758454,2.891249221915296,10.019637509067397,7.830708344775754,-0.14692307692307696,0.14269230769230776,30.63846153846152,0.32692307692307715,0.7192307692307691,1
baseline_rsv,New Mexico,12.211769235076966,1.4487026047952787,5.920126342801901,4.842940287479799,-0.08076923076923087,0.09480769230769213,16.90769230769232,0.44230769230769235,0.761538461538462,1
baseline_rsv,New York,16.776988565020268,2.058052332581018,8.317157656576569,6.4017785758626795,-0.13538461538461533,0.10519230769230797,23.842306538450018,0.33461538461538454,0.7307692307692313,1
baseline_rsv,Oregon,7.403213004947357,1.449806846655005,3.4023520008276975,2.551054157464652,-0.04307692307692304,0.05730769230769225,11.649998682679142,0.4192307692307694,0.8961538461538461,1
baseline_rsv,Tennessee,5.563843450972972,1.2711480570959552,2.28258938435538,2.0101060095216337,-0.04846153846153839,0.1425000000000001,8.903842951891063,0.45000000000000034,0.8307692307692306,1
baseline_rsv,Utah,12.160867864428644,1.702607084897772,5.774340409942569,4.683920369588312,-0.10307692307692314,0.07153846153846169,17.84615290383672,0.353846153846154,0.7999999999999996,1
rsv_2018,California,7.363149606299212,3.871023622047244,1.975590551181102,1.5165354330708662,0.05937007874015749,0.019488188976377826,11.893700787401556,0.5826771653543308,0.9960629921259843,0.5456127374737005
rsv_2018,Colorado,17.439566929133857,6.521456692913385,6.856692913385831,4.061417322834643,0.018425196850393663,-0.11653543307086651,30.456692913385897,0.531496062992126,0.9566929133858266,0.522015224944616
rsv_2018,Connecticut,4.355393700787402,1.9073622047244094,1.2141732283464575,1.2338582677165375,0.042047244094488186,0.032283464566929265,7.232283464566927,0.5590551181102358,0.968503937007874,0.648208594281776
rsv_2018,Georgia,12.033937007874016,6.129212598425197,0.8307086614173227,5.074015748031494,0.05700787401574794,0.2665354330708663,19.933070866141723,0.6181102362204723,0.9645669291338582,1.0858853600285123
rsv_2018,Maryland,11.599960629921261,4.550354330708661,3.857480314960628,3.1921259842519705,0.02551181102362203,0.006496062992125823,18.8228346456693,0.5669291338582676,0.9330708661417322,0.569666361112956
rsv_2018,Michigan,7.605433070866144,2.5684251968503937,2.7047244094488154,2.3322834645669293,0.019212598425196997,0.022244094488188804,13.090551181102352,0.5078740157480319,0.9448818897637794,0.6152880331759134
rsv_2018,Minnesota,12.138582677165354,5.372440944881889,3.1519685039370096,3.614173228346453,0.025511811023621832,0.06771653543307081,21.1062992125984,0.5078740157480324,0.9803149606299213,0.5852289871067925
rsv_2018,New Mexico,6.939566929133861,2.0505905511811013,2.922834645669289,1.9661417322834658,0.04834645669291353,0.009448818897637512,11.641732283464576,0.5944881889763781,0.9251968503937009,0.568268757421383
rsv_2018,New York,9.468858267716534,3.6444488188976383,3.03779527559055,2.7866141732283434,0.04204724409448816,-0.019488188976377774,16.24803149606295,0.5511811023622051,0.9724409448818898,0.5643955845245636
rsv_2018,Oregon,3.9781496062992123,1.7765748031496065,1.3874015748031512,0.8141732283464568,0.08771653543307083,0.041338582677165225,6.685039370078742,0.6338582677165355,0.9803149606299213,0.5373544707738016
rsv_2018,Tennessee,4.623700787401575,2.20244094488189,0.664566929133859,1.7566929133858278,0.09007874015748045,0.19862204724409457,7.641732283464556,0.6338582677165351,0.9921259842519685,0.8310263989532289
rsv_2018,Utah,6.6796062992125975,2.3780314960629925,2.833858267716537,1.4677165354330692,0.016062992125984284,-0.04192913385826753,11.751968503937023,0.4763779527559056,0.9763779527559056,0.5492705268799849
