location,date,epiweek,epiyear,population,pop_served,count,weekly_rate
California,2019-01-26,4,2019,38886551,3499789.59,59,1.7
Colorado,2019-01-26,4,2019,5803748,2843836.52,34,1.2
Connecticut,2019-01-26,4,2019,3621089,869061.36,13,1.5
Georgia,2019-01-26,4,2019,10855454,4233627.0600000005,17,0.4
Maryland,2019-01-26,4,2019,6133130,2821239.8000000003,31,1.1
Michigan,2019-01-26,4,2019,10032075,1304169.75,18,1.4
Minnesota,2019-01-26,4,2019,5716548,3144101.4000000004,31,1
New Mexico,2019-01-26,4,2019,2100079,672025.28,21,3.1
New York,2019-01-26,4,2019,19657190,1769147.0999999999,55,3.1
Oregon,2019-01-26,4,2019,4238665,1822625.95,18,1
Tennessee,2019-01-26,4,2019,7030607,1827957.82,18,1
Utah,2019-01-26,4,2019,3376238,1215445.68,43,3.5
California,2019-02-02,5,2019,38886551,3499789.59,63,1.8
Colorado,2019-02-02,5,2019,5803748,2843836.52,34,1.2
Connecticut,2019-02-02,5,2019,3621089,869061.36,23,2.7
Georgia,2019-02-02,5,2019,10855454,4233627.0600000005,21,0.5
Maryland,2019-02-02,5,2019,6133130,2821239.8000000003,28,1
Michigan,2019-02-02,5,2019,10032075,1304169.75,27,2.1
Minnesota,2019-02-02,5,2019,5716548,3144101.4000000004,28,0.9
New Mexico,2019-02-02,5,2019,2100079,672025.28,35,5.2
New York,2019-02-02,5,2019,19657190,1769147.0999999999,55,3.1
Oregon,2019-02-02,5,2019,4238665,1822625.95,18,1
Tennessee,2019-02-02,5,2019,7030607,1827957.82,15,0.8
Utah,2019-02-02,5,2019,3376238,1215445.68,61,5
California,2019-02-09,6,2019,38886551,3499789.59,63,1.8
Colorado,2019-02-09,6,2019,5803748,2843836.52,46,1.6
Connecticut,2019-02-09,6,2019,3621089,869061.36,8,0.9
Georgia,2019-02-09,6,2019,10855454,4233627.0600000005,17,0.4
Maryland,2019-02-09,6,2019,6133130,2821239.8000000003,31,1.1
Michigan,2019-02-09,6,2019,10032075,1304169.75,12,0.9
Minnesota,2019-02-09,6,2019,5716548,3144101.4000000004,22,0.7
New Mexico,2019-02-09,6,2019,2100079,672025.28,32,4.7
New York,2019-02-09,6,2019,19657190,1769147.0999999999,42,2.4
Oregon,2019-02-09,6,2019,4238665,1822625.95,26,1.4
Tennessee,2019-02-09,6,2019,7030607,1827957.82,11,0.6
Utah,2019-02-09,6,2019,3376238,1215445.68,66,5.4
California,2019-02-16,7,2019,38886551,3499789.59,45,1.3
Colorado,2019-02-16,7,2019,5803748,2843836.52,48,1.7
Connecticut,2019-02-16,7,2019,3621089,869061.36,10,1.2
Georgia,2019-02-16,7,2019,10855454,4233627.0600000005,17,0.4
Maryland,2019-02-16,7,2019,6133130,2821239.8000000003,28,1
Michigan,2019-02-16,7,2019,10032075,1304169.75,7,0.5
Minnesota,2019-02-16,7,2019,5716548,3144101.4000000004,9,0.3
New Mexico,2019-02-16,7,2019,2100079,672025.28,28,4.1
New York,2019-02-16,7,2019,19657190,1769147.0999999999,46,2.6
Oregon,2019-02-16,7,2019,4238665,1822625.95,42,2.3
Tennessee,2019-02-16,7,2019,7030607,1827957.82,9,0.5
Utah,2019-02-16,7,2019,3376238,1215445.68,38,3.1
California,2019-02-23,8,2019,38886551,3499789.59,66,1.9
Colorado,2019-02-23,8,2019,5803748,2843836.52,40,1.4
Connecticut,2019-02-23,8,2019,3621089,869061.36,12,1.4
Georgia,2019-02-23,8,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-02-23,8,2019,6133130,2821239.8000000003,23,0.8
Michigan,2019-02-23,8,2019,10032075,1304169.75,10,0.8
Minnesota,2019-02-23,8,2019,5716548,3144101.4000000004,16,0.5
New Mexico,2019-02-23,8,2019,2100079,672025.28,28,4.1
New York,2019-02-23,8,2019,19657190,1769147.0999999999,21,1.2
Oregon,2019-02-23,8,2019,4238665,1822625.95,29,1.6
Tennessee,2019-02-23,8,2019,7030607,1827957.82,16,0.9
Utah,2019-02-23,8,2019,3376238,1215445.68,49,4
California,2019-03-02,9,2019,38886551,3499789.59,59,1.7
Colorado,2019-03-02,9,2019,5803748,2843836.52,43,1.5
Connecticut,2019-03-02,9,2019,3621089,869061.36,3,0.4
Georgia,2019-03-02,9,2019,10855454,4233627.0600000005,17,0.4
Maryland,2019-03-02,9,2019,6133130,2821239.8000000003,14,0.5
Michigan,2019-03-02,9,2019,10032075,1304169.75,8,0.6
Minnesota,2019-03-02,9,2019,5716548,3144101.4000000004,13,0.4
New Mexico,2019-03-02,9,2019,2100079,672025.28,30,4.4
New York,2019-03-02,9,2019,19657190,1769147.0999999999,30,1.7
Oregon,2019-03-02,9,2019,4238665,1822625.95,27,1.5
Tennessee,2019-03-02,9,2019,7030607,1827957.82,9,0.5
Utah,2019-03-02,9,2019,3376238,1215445.68,43,3.5
California,2019-03-09,10,2019,38886551,3499789.59,49,1.4
Colorado,2019-03-09,10,2019,5803748,2843836.52,31,1.1
Connecticut,2019-03-09,10,2019,3621089,869061.36,4,0.5
Georgia,2019-03-09,10,2019,10855454,4233627.0600000005,13,0.3
Maryland,2019-03-09,10,2019,6133130,2821239.8000000003,14,0.5
Michigan,2019-03-09,10,2019,10032075,1304169.75,7,0.5
Minnesota,2019-03-09,10,2019,5716548,3144101.4000000004,9,0.3
New Mexico,2019-03-09,10,2019,2100079,672025.28,28,4.1
New York,2019-03-09,10,2019,19657190,1769147.0999999999,12,0.7
Oregon,2019-03-09,10,2019,4238665,1822625.95,27,1.5
Tennessee,2019-03-09,10,2019,7030607,1827957.82,5,0.3
Utah,2019-03-09,10,2019,3376238,1215445.68,19,1.6
California,2019-03-16,11,2019,38886551,3499789.59,35,1
Colorado,2019-03-16,11,2019,5803748,2843836.52,26,0.9
Connecticut,2019-03-16,11,2019,3621089,869061.36,8,0.9
Georgia,2019-03-16,11,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-03-16,11,2019,6133130,2821239.8000000003,6,0.2
Michigan,2019-03-16,11,2019,10032075,1304169.75,5,0.4
Minnesota,2019-03-16,11,2019,5716548,3144101.4000000004,6,0.2
New Mexico,2019-03-16,11,2019,2100079,672025.28,19,2.8
New York,2019-03-16,11,2019,19657190,1769147.0999999999,14,0.8
Oregon,2019-03-16,11,2019,4238665,1822625.95,31,1.7
Tennessee,2019-03-16,11,2019,7030607,1827957.82,9,0.5
Utah,2019-03-16,11,2019,3376238,1215445.68,19,1.6
California,2019-03-23,12,2019,38886551,3499789.59,35,1
Colorado,2019-03-23,12,2019,5803748,2843836.52,20,0.7
Connecticut,2019-03-23,12,2019,3621089,869061.36,3,0.4
Georgia,2019-03-23,12,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-03-23,12,2019,6133130,2821239.8000000003,11,0.4
Michigan,2019-03-23,12,2019,10032075,1304169.75,10,0.8
Minnesota,2019-03-23,12,2019,5716548,3144101.4000000004,13,0.4
New Mexico,2019-03-23,12,2019,2100079,672025.28,19,2.9
New York,2019-03-23,12,2019,19657190,1769147.0999999999,14,0.8
Oregon,2019-03-23,12,2019,4238665,1822625.95,36,2
Tennessee,2019-03-23,12,2019,7030607,1827957.82,9,0.5
Utah,2019-03-23,12,2019,3376238,1215445.68,11,0.9
California,2019-03-30,13,2019,38886551,3499789.59,28,0.8
Colorado,2019-03-30,13,2019,5803748,2843836.52,3,0.1
Connecticut,2019-03-30,13,2019,3621089,869061.36,2,0.2
Georgia,2019-03-30,13,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-03-30,13,2019,6133130,2821239.8000000003,8,0.3
Michigan,2019-03-30,13,2019,10032075,1304169.75,7,0.5
Minnesota,2019-03-30,13,2019,5716548,3144101.4000000004,0,0
New Mexico,2019-03-30,13,2019,2100079,672025.28,13,1.9
New York,2019-03-30,13,2019,19657190,1769147.0999999999,4,0.2
Oregon,2019-03-30,13,2019,4238665,1822625.95,27,1.5
Tennessee,2019-03-30,13,2019,7030607,1827957.82,4,0.2
Utah,2019-03-30,13,2019,3376238,1215445.68,12,1
California,2019-04-06,14,2019,38886551,3499789.59,24,0.7
Colorado,2019-04-06,14,2019,5803748,2843836.52,9,0.3
Connecticut,2019-04-06,14,2019,3621089,869061.36,2,0.2
Georgia,2019-04-06,14,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-04-06,14,2019,6133130,2821239.8000000003,11,0.4
Michigan,2019-04-06,14,2019,10032075,1304169.75,4,0.3
Minnesota,2019-04-06,14,2019,5716548,3144101.4000000004,6,0.2
New Mexico,2019-04-06,14,2019,2100079,672025.28,10,1.5
New York,2019-04-06,14,2019,19657190,1769147.0999999999,9,0.5
Oregon,2019-04-06,14,2019,4238665,1822625.95,16,0.9
Tennessee,2019-04-06,14,2019,7030607,1827957.82,4,0.2
Utah,2019-04-06,14,2019,3376238,1215445.68,11,0.9
California,2019-04-13,15,2019,38886551,3499789.59,14,0.4
Colorado,2019-04-13,15,2019,5803748,2843836.52,9,0.3
Connecticut,2019-04-13,15,2019,3621089,869061.36,2,0.2
Georgia,2019-04-13,15,2019,10855454,4233627.0600000005,4,0.1
Maryland,2019-04-13,15,2019,6133130,2821239.8000000003,6,0.2
Michigan,2019-04-13,15,2019,10032075,1304169.75,4,0.3
Minnesota,2019-04-13,15,2019,5716548,3144101.4000000004,3,0.1
New Mexico,2019-04-13,15,2019,2100079,672025.28,15,2.2
New York,2019-04-13,15,2019,19657190,1769147.0999999999,14,0.8
Oregon,2019-04-13,15,2019,4238665,1822625.95,18,1
Tennessee,2019-04-13,15,2019,7030607,1827957.82,4,0.2
Utah,2019-04-13,15,2019,3376238,1215445.68,6,0.5
California,2019-04-20,16,2019,38886551,3499789.59,14,0.4
Colorado,2019-04-20,16,2019,5803748,2843836.52,6,0.2
Connecticut,2019-04-20,16,2019,3621089,869061.36,0,0
Georgia,2019-04-20,16,2019,10855454,4233627.0600000005,8,0.2
Maryland,2019-04-20,16,2019,6133130,2821239.8000000003,3,0.1
Michigan,2019-04-20,16,2019,10032075,1304169.75,4,0.3
Minnesota,2019-04-20,16,2019,5716548,3144101.4000000004,3,0.1
New Mexico,2019-04-20,16,2019,2100079,672025.28,8,1.2
New York,2019-04-20,16,2019,19657190,1769147.0999999999,9,0.5
Oregon,2019-04-20,16,2019,4238665,1822625.95,5,0.3
Tennessee,2019-04-20,16,2019,7030607,1827957.82,4,0.2
Utah,2019-04-20,16,2019,3376238,1215445.68,10,0.8
California,2019-04-27,17,2019,38886551,3499789.59,3,0.1
Colorado,2019-04-27,17,2019,5803748,2843836.52,0,0
Connecticut,2019-04-27,17,2019,3621089,869061.36,2,0.2
Georgia,2019-04-27,17,2019,10855454,4233627.0600000005,0,0
Maryland,2019-04-27,17,2019,6133130,2821239.8000000003,3,0.1
Michigan,2019-04-27,17,2019,10032075,1304169.75,1,0.1
Minnesota,2019-04-27,17,2019,5716548,3144101.4000000004,3,0.1
New Mexico,2019-04-27,17,2019,2100079,672025.28,4,0.6
New York,2019-04-27,17,2019,19657190,1769147.0999999999,9,0.5
Oregon,2019-04-27,17,2019,4238665,1822625.95,5,0.3
Tennessee,2019-04-27,17,2019,7030607,1827957.82,2,0.1
Utah,2019-04-27,17,2019,3376238,1215445.68,1,0.1
California,2019-05-04,18,2019,38886551,3499789.59,3,0.1
Colorado,2019-05-04,18,2019,5803748,2843836.52,0,0
Connecticut,2019-05-04,18,2019,3621089,869061.36,0,0
Georgia,2019-05-04,18,2019,10855454,4233627.0600000005,4,0.1
Maryland,2019-05-04,18,2019,6133130,2821239.8000000003,0,0
Michigan,2019-05-04,18,2019,10032075,1304169.75,0,0
Minnesota,2019-05-04,18,2019,5716548,3144101.4000000004,3,0.1
New Mexico,2019-05-04,18,2019,2100079,672025.28,1,0.1
New York,2019-05-04,18,2019,19657190,1769147.0999999999,2,0.1
Oregon,2019-05-04,18,2019,4238665,1822625.95,5,0.3
Tennessee,2019-05-04,18,2019,7030607,1827957.82,0,0
Utah,2019-05-04,18,2019,3376238,1215445.68,1,0.1
California,2019-10-05,40,2019,38886551,3499789.59,0,0
Colorado,2019-10-05,40,2019,5803748,2843836.52,0,0
Connecticut,2019-10-05,40,2019,3621089,869061.36,1,0.1
Georgia,2019-10-05,40,2019,10855454,4233627.0600000005,21,0.5
Maryland,2019-10-05,40,2019,6133130,2821239.8000000003,3,0.1
Michigan,2019-10-05,40,2019,10032075,1304169.75,0,0
Minnesota,2019-10-05,40,2019,5716548,3144101.4000000004,3,0.1
New Mexico,2019-10-05,40,2019,2100079,672025.28,0,0
New York,2019-10-05,40,2019,19657190,1769147.0999999999,2,0.1
Oregon,2019-10-05,40,2019,4238665,1822625.95,2,0.1
Tennessee,2019-10-05,40,2019,7030607,1827957.82,2,0.1
Utah,2019-10-05,40,2019,3376238,1215445.68,0,0
California,2019-10-12,41,2019,38886551,3499789.59,0,0
Colorado,2019-10-12,41,2019,5803748,2843836.52,0,0
Connecticut,2019-10-12,41,2019,3621089,869061.36,3,0.4
Georgia,2019-10-12,41,2019,10855454,4233627.0600000005,21,0.5
Maryland,2019-10-12,41,2019,6133130,2821239.8000000003,3,0.1
Michigan,2019-10-12,41,2019,10032075,1304169.75,1,0.1
Minnesota,2019-10-12,41,2019,5716548,3144101.4000000004,6,0.2
New Mexico,2019-10-12,41,2019,2100079,672025.28,0,0
New York,2019-10-12,41,2019,19657190,1769147.0999999999,5,0.3
Oregon,2019-10-12,41,2019,4238665,1822625.95,0,0
Tennessee,2019-10-12,41,2019,7030607,1827957.82,2,0.1
Utah,2019-10-12,41,2019,3376238,1215445.68,0,0
California,2019-10-19,42,2019,38886551,3499789.59,3,0.1
Colorado,2019-10-19,42,2019,5803748,2843836.52,0,0
Connecticut,2019-10-19,42,2019,3621089,869061.36,1,0.1
Georgia,2019-10-19,42,2019,10855454,4233627.0600000005,42,1
Maryland,2019-10-19,42,2019,6133130,2821239.8000000003,6,0.2
Michigan,2019-10-19,42,2019,10032075,1304169.75,4,0.3
Minnesota,2019-10-19,42,2019,5716548,3144101.4000000004,13,0.4
New Mexico,2019-10-19,42,2019,2100079,672025.28,0,0
New York,2019-10-19,42,2019,19657190,1769147.0999999999,2,0.1
Oregon,2019-10-19,42,2019,4238665,1822625.95,2,0.1
Tennessee,2019-10-19,42,2019,7030607,1827957.82,2,0.1
Utah,2019-10-19,42,2019,3376238,1215445.68,0,0
California,2019-10-26,43,2019,38886551,3499789.59,7,0.2
Colorado,2019-10-26,43,2019,5803748,2843836.52,0,0
Connecticut,2019-10-26,43,2019,3621089,869061.36,3,0.4
Georgia,2019-10-26,43,2019,10855454,4233627.0600000005,51,1.2
Maryland,2019-10-26,43,2019,6133130,2821239.8000000003,8,0.3
Michigan,2019-10-26,43,2019,10032075,1304169.75,4,0.3
Minnesota,2019-10-26,43,2019,5716548,3144101.4000000004,9,0.3
New Mexico,2019-10-26,43,2019,2100079,672025.28,1,0.1
New York,2019-10-26,43,2019,19657190,1769147.0999999999,4,0.2
Oregon,2019-10-26,43,2019,4238665,1822625.95,2,0.1
Tennessee,2019-10-26,43,2019,7030607,1827957.82,2,0.1
Utah,2019-10-26,43,2019,3376238,1215445.68,0,0
California,2019-11-02,44,2019,38886551,3499789.59,3,0.1
Colorado,2019-11-02,44,2019,5803748,2843836.52,3,0.1
Connecticut,2019-11-02,44,2019,3621089,869061.36,4,0.5
Georgia,2019-11-02,44,2019,10855454,4233627.0600000005,68,1.6
Maryland,2019-11-02,44,2019,6133130,2821239.8000000003,11,0.4
Michigan,2019-11-02,44,2019,10032075,1304169.75,1,0.1
Minnesota,2019-11-02,44,2019,5716548,3144101.4000000004,6,0.2
New Mexico,2019-11-02,44,2019,2100079,672025.28,1,0.1
New York,2019-11-02,44,2019,19657190,1769147.0999999999,11,0.6
Oregon,2019-11-02,44,2019,4238665,1822625.95,4,0.2
Tennessee,2019-11-02,44,2019,7030607,1827957.82,4,0.2
Utah,2019-11-02,44,2019,3376238,1215445.68,0,0
California,2019-11-09,45,2019,38886551,3499789.59,10,0.3
Colorado,2019-11-09,45,2019,5803748,2843836.52,3,0.1
Connecticut,2019-11-09,45,2019,3621089,869061.36,3,0.4
Georgia,2019-11-09,45,2019,10855454,4233627.0600000005,59,1.4
Maryland,2019-11-09,45,2019,6133130,2821239.8000000003,20,0.7
Michigan,2019-11-09,45,2019,10032075,1304169.75,1,0.1
Minnesota,2019-11-09,45,2019,5716548,3144101.4000000004,19,0.6
New Mexico,2019-11-09,45,2019,2100079,672025.28,2,0.3
New York,2019-11-09,45,2019,19657190,1769147.0999999999,11,0.6
Oregon,2019-11-09,45,2019,4238665,1822625.95,4,0.2
Tennessee,2019-11-09,45,2019,7030607,1827957.82,7,0.4
Utah,2019-11-09,45,2019,3376238,1215445.68,2,0.2
California,2019-11-16,46,2019,38886551,3499789.59,10,0.3
Colorado,2019-11-16,46,2019,5803748,2843836.52,11,0.4
Connecticut,2019-11-16,46,2019,3621089,869061.36,3,0.4
Georgia,2019-11-16,46,2019,10855454,4233627.0600000005,76,1.8
Maryland,2019-11-16,46,2019,6133130,2821239.8000000003,25,0.9
Michigan,2019-11-16,46,2019,10032075,1304169.75,7,0.5
Minnesota,2019-11-16,46,2019,5716548,3144101.4000000004,25,0.8
New Mexico,2019-11-16,46,2019,2100079,672025.28,4,0.6
New York,2019-11-16,46,2019,19657190,1769147.0999999999,12,0.7
Oregon,2019-11-16,46,2019,4238665,1822625.95,7,0.4
Tennessee,2019-11-16,46,2019,7030607,1827957.82,15,0.8
Utah,2019-11-16,46,2019,3376238,1215445.68,2,0.2
California,2019-11-23,47,2019,38886551,3499789.59,14,0.4
Colorado,2019-11-23,47,2019,5803748,2843836.52,9,0.3
Connecticut,2019-11-23,47,2019,3621089,869061.36,7,0.8
Georgia,2019-11-23,47,2019,10855454,4233627.0600000005,85,2
Maryland,2019-11-23,47,2019,6133130,2821239.8000000003,28,1
Michigan,2019-11-23,47,2019,10032075,1304169.75,22,1.7
Minnesota,2019-11-23,47,2019,5716548,3144101.4000000004,9,0.3
New Mexico,2019-11-23,47,2019,2100079,672025.28,5,0.7
New York,2019-11-23,47,2019,19657190,1769147.0999999999,18,1
Oregon,2019-11-23,47,2019,4238665,1822625.95,9,0.5
Tennessee,2019-11-23,47,2019,7030607,1827957.82,26,1.4
Utah,2019-11-23,47,2019,3376238,1215445.68,2,0.2
California,2019-11-30,48,2019,38886551,3499789.59,14,0.4
Colorado,2019-11-30,48,2019,5803748,2843836.52,11,0.4
Connecticut,2019-11-30,48,2019,3621089,869061.36,5,0.6
Georgia,2019-11-30,48,2019,10855454,4233627.0600000005,59,1.4
Maryland,2019-11-30,48,2019,6133130,2821239.8000000003,45,1.6
Michigan,2019-11-30,48,2019,10032075,1304169.75,27,2.1
Minnesota,2019-11-30,48,2019,5716548,3144101.4000000004,38,1.2
New Mexico,2019-11-30,48,2019,2100079,672025.28,5,0.7
New York,2019-11-30,48,2019,19657190,1769147.0999999999,30,1.7
Oregon,2019-11-30,48,2019,4238665,1822625.95,18,1
Tennessee,2019-11-30,48,2019,7030607,1827957.82,40,2.2
Utah,2019-11-30,48,2019,3376238,1215445.68,1,0.1
California,2019-12-07,49,2019,38886551,3499789.59,28,0.8
Colorado,2019-12-07,49,2019,5803748,2843836.52,28,1
Connecticut,2019-12-07,49,2019,3621089,869061.36,10,1.1
Georgia,2019-12-07,49,2019,10855454,4233627.0600000005,89,2.1
Maryland,2019-12-07,49,2019,6133130,2821239.8000000003,65,2.3
Michigan,2019-12-07,49,2019,10032075,1304169.75,33,2.5
Minnesota,2019-12-07,49,2019,5716548,3144101.4000000004,57,1.8
New Mexico,2019-12-07,49,2019,2100079,672025.28,10,1.5
New York,2019-12-07,49,2019,19657190,1769147.0999999999,53,3
Oregon,2019-12-07,49,2019,4238665,1822625.95,22,1.2
Tennessee,2019-12-07,49,2019,7030607,1827957.82,64,3.5
Utah,2019-12-07,49,2019,3376238,1215445.68,4,0.3
California,2019-12-14,50,2019,38886551,3499789.59,28,0.8
Colorado,2019-12-14,50,2019,5803748,2843836.52,20,0.7
Connecticut,2019-12-14,50,2019,3621089,869061.36,28,3.2
Georgia,2019-12-14,50,2019,10855454,4233627.0600000005,64,1.5
Maryland,2019-12-14,50,2019,6133130,2821239.8000000003,51,1.8
Michigan,2019-12-14,50,2019,10032075,1304169.75,52,4
Minnesota,2019-12-14,50,2019,5716548,3144101.4000000004,53,1.7
New Mexico,2019-12-14,50,2019,2100079,672025.28,19,2.9
New York,2019-12-14,50,2019,19657190,1769147.0999999999,53,3
Oregon,2019-12-14,50,2019,4238665,1822625.95,36,2
Tennessee,2019-12-14,50,2019,7030607,1827957.82,62,3.4
Utah,2019-12-14,50,2019,3376238,1215445.68,9,0.7
California,2019-12-21,51,2019,38886551,3499789.59,31,0.9
Colorado,2019-12-21,51,2019,5803748,2843836.52,46,1.6
Connecticut,2019-12-21,51,2019,3621089,869061.36,25,2.9
Georgia,2019-12-21,51,2019,10855454,4233627.0600000005,55,1.3
Maryland,2019-12-21,51,2019,6133130,2821239.8000000003,48,1.7
Michigan,2019-12-21,51,2019,10032075,1304169.75,53,4.1
Minnesota,2019-12-21,51,2019,5716548,3144101.4000000004,50,1.6
New Mexico,2019-12-21,51,2019,2100079,672025.28,15,2.3
New York,2019-12-21,51,2019,19657190,1769147.0999999999,65,3.7
Oregon,2019-12-21,51,2019,4238665,1822625.95,33,1.8
Tennessee,2019-12-21,51,2019,7030607,1827957.82,93,5.1
Utah,2019-12-21,51,2019,3376238,1215445.68,9,0.7
California,2019-12-28,52,2019,38886551,3499789.59,38,1.1
Colorado,2019-12-28,52,2019,5803748,2843836.52,60,2.1
Connecticut,2019-12-28,52,2019,3621089,869061.36,29,3.3
Georgia,2019-12-28,52,2019,10855454,4233627.0600000005,47,1.1
Maryland,2019-12-28,52,2019,6133130,2821239.8000000003,59,2.1
Michigan,2019-12-28,52,2019,10032075,1304169.75,67,5.1
Minnesota,2019-12-28,52,2019,5716548,3144101.4000000004,75,2.4
New Mexico,2019-12-28,52,2019,2100079,672025.28,28,4.1
New York,2019-12-28,52,2019,19657190,1769147.0999999999,85,4.8
Oregon,2019-12-28,52,2019,4238665,1822625.95,36,2
Tennessee,2019-12-28,52,2019,7030607,1827957.82,66,3.6
Utah,2019-12-28,52,2019,3376238,1215445.68,26,2.1
California,2020-01-04,1,2020,38886551,3499789.59,63,1.8
Colorado,2020-01-04,1,2020,5803748,2843836.52,63,2.2
Connecticut,2020-01-04,1,2020,3621089,869061.36,31,3.6
Georgia,2020-01-04,1,2020,10855454,4233627.0600000005,55,1.3
Maryland,2020-01-04,1,2020,6133130,2821239.8000000003,71,2.5
Michigan,2020-01-04,1,2020,10032075,1304169.75,86,6.6
Minnesota,2020-01-04,1,2020,5716548,3144101.4000000004,60,1.9
New Mexico,2020-01-04,1,2020,2100079,672025.28,32,4.8
New York,2020-01-04,1,2020,19657190,1769147.0999999999,111,6.3
Oregon,2020-01-04,1,2020,4238665,1822625.95,62,3.4
Tennessee,2020-01-04,1,2020,7030607,1827957.82,77,4.2
Utah,2020-01-04,1,2020,3376238,1215445.68,34,2.8
California,2020-01-11,2,2020,38886551,3499789.59,59,1.7
Colorado,2020-01-11,2,2020,5803748,2843836.52,65,2.3
Connecticut,2020-01-11,2,2020,3621089,869061.36,20,2.3
Georgia,2020-01-11,2,2020,10855454,4233627.0600000005,34,0.8
Maryland,2020-01-11,2,2020,6133130,2821239.8000000003,59,2.1
Michigan,2020-01-11,2,2020,10032075,1304169.75,51,3.9
Minnesota,2020-01-11,2,2020,5716548,3144101.4000000004,57,1.8
New Mexico,2020-01-11,2,2020,2100079,672025.28,32,4.8
New York,2020-01-11,2,2020,19657190,1769147.0999999999,58,3.3
Oregon,2020-01-11,2,2020,4238665,1822625.95,36,2
Tennessee,2020-01-11,2,2020,7030607,1827957.82,51,2.8
Utah,2020-01-11,2,2020,3376238,1215445.68,33,2.7
California,2020-01-18,3,2020,38886551,3499789.59,52,1.5
Colorado,2020-01-18,3,2020,5803748,2843836.52,65,2.3
Connecticut,2020-01-18,3,2020,3621089,869061.36,18,2.1
Georgia,2020-01-18,3,2020,10855454,4233627.0600000005,25,0.6
Maryland,2020-01-18,3,2020,6133130,2821239.8000000003,34,1.2
Michigan,2020-01-18,3,2020,10032075,1304169.75,40,3.1
Minnesota,2020-01-18,3,2020,5716548,3144101.4000000004,44,1.4
New Mexico,2020-01-18,3,2020,2100079,672025.28,44,6.5
New York,2020-01-18,3,2020,19657190,1769147.0999999999,58,3.3
Oregon,2020-01-18,3,2020,4238665,1822625.95,49,2.7
Tennessee,2020-01-18,3,2020,7030607,1827957.82,38,2.1
Utah,2020-01-18,3,2020,3376238,1215445.68,38,3.1
California,2020-01-25,4,2020,38886551,3499789.59,59,1.7
Colorado,2020-01-25,4,2020,5803748,2843836.52,80,2.8
Connecticut,2020-01-25,4,2020,3621089,869061.36,13,1.5
Georgia,2020-01-25,4,2020,10855454,4233627.0600000005,17,0.4
Maryland,2020-01-25,4,2020,6133130,2821239.8000000003,37,1.3
Michigan,2020-01-25,4,2020,10032075,1304169.75,33,2.5
Minnesota,2020-01-25,4,2020,5716548,3144101.4000000004,44,1.4
New Mexico,2020-01-25,4,2020,2100079,672025.28,44,6.5
New York,2020-01-25,4,2020,19657190,1769147.0999999999,58,3.3
Oregon,2020-01-25,4,2020,4238665,1822625.95,36,2
Tennessee,2020-01-25,4,2020,7030607,1827957.82,31,1.7
Utah,2020-01-25,4,2020,3376238,1215445.68,43,3.5
California,2020-02-01,5,2020,38886551,3499789.59,59,1.7
Colorado,2020-02-01,5,2020,5803748,2843836.52,68,2.4
Connecticut,2020-02-01,5,2020,3621089,869061.36,14,1.6
Georgia,2020-02-01,5,2020,10855454,4233627.0600000005,21,0.5
Maryland,2020-02-01,5,2020,6133130,2821239.8000000003,31,1.1
Michigan,2020-02-01,5,2020,10032075,1304169.75,29,2.2
Minnesota,2020-02-01,5,2020,5716548,3144101.4000000004,35,1.1
New Mexico,2020-02-01,5,2020,2100079,672025.28,47,7
New York,2020-02-01,5,2020,19657190,1769147.0999999999,51,2.9
Oregon,2020-02-01,5,2020,4238665,1822625.95,40,2.2
Tennessee,2020-02-01,5,2020,7030607,1827957.82,31,1.7
Utah,2020-02-01,5,2020,3376238,1215445.68,49,4
California,2020-02-08,6,2020,38886551,3499789.59,56,1.6
Colorado,2020-02-08,6,2020,5803748,2843836.52,54,1.9
Connecticut,2020-02-08,6,2020,3621089,869061.36,6,0.7
Georgia,2020-02-08,6,2020,10855454,4233627.0600000005,21,0.5
Maryland,2020-02-08,6,2020,6133130,2821239.8000000003,20,0.7
Michigan,2020-02-08,6,2020,10032075,1304169.75,18,1.4
Minnesota,2020-02-08,6,2020,5716548,3144101.4000000004,31,1
New Mexico,2020-02-08,6,2020,2100079,672025.28,58,8.7
New York,2020-02-08,6,2020,19657190,1769147.0999999999,34,1.9
Oregon,2020-02-08,6,2020,4238665,1822625.95,29,1.6
Tennessee,2020-02-08,6,2020,7030607,1827957.82,26,1.4
Utah,2020-02-08,6,2020,3376238,1215445.68,60,4.9
California,2020-02-15,7,2020,38886551,3499789.59,56,1.6
Colorado,2020-02-15,7,2020,5803748,2843836.52,63,2.2
Connecticut,2020-02-15,7,2020,3621089,869061.36,16,1.8
Georgia,2020-02-15,7,2020,10855454,4233627.0600000005,17,0.4
Maryland,2020-02-15,7,2020,6133130,2821239.8000000003,23,0.8
Michigan,2020-02-15,7,2020,10032075,1304169.75,25,1.9
Minnesota,2020-02-15,7,2020,5716548,3144101.4000000004,25,0.8
New Mexico,2020-02-15,7,2020,2100079,672025.28,56,8.4
New York,2020-02-15,7,2020,19657190,1769147.0999999999,37,2.1
Oregon,2020-02-15,7,2020,4238665,1822625.95,35,1.9
