model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-08,Arkansas,4,1,22,0.025
flu,2022-10-08,Arkansas,4,4,22,0.25
flu,2022-10-08,Arkansas,4,7,22,0.5
flu,2022-10-08,Arkansas,4,10,22,0.75
flu,2022-10-08,Arkansas,4,23,22,0.975
flu,2022-09-17,California,1,15,21,0.025
flu,2022-09-17,California,1,26,21,0.25
flu,2022-09-17,California,1,34,21,0.5
flu,2022-09-17,California,1,44,21,0.75
flu,2022-09-17,California,1,72,21,0.975
flu,2022-09-24,California,2,12,35,0.025
flu,2022-09-24,California,2,24,35,0.25
flu,2022-09-24,California,2,34,35,0.5
flu,2022-09-24,California,2,47,35,0.75
flu,2022-09-24,California,2,84,35,0.975
flu,2022-10-01,California,3,10,68,0.025
flu,2022-10-01,California,3,23,68,0.25
flu,2022-10-01,California,3,34,68,0.5
flu,2022-10-01,California,3,50,68,0.75
flu,2022-10-01,California,3,100,68,0.975
flu,2022-10-08,California,4,9,92,0.025
flu,2022-10-08,California,4,23,92,0.25
flu,2022-10-08,California,4,35,92,0.5
flu,2022-10-08,California,4,53,92,0.75
flu,2022-10-08,California,4,114,92,0.975
flu,2022-09-17,Colorado,1,0,3,0.025
flu,2022-09-17,Colorado,1,2,3,0.25
flu,2022-09-17,Colorado,1,4,3,0.5
flu,2022-09-17,Colorado,1,6,3,0.75
flu,2022-09-17,Colorado,1,10,3,0.975
flu,2022-09-24,Colorado,2,0,4,0.025
flu,2022-09-24,Colorado,2,2,4,0.25
flu,2022-09-24,Colorado,2,4,4,0.5
flu,2022-09-24,Colorado,2,6,4,0.75
flu,2022-09-24,Colorado,2,12,4,0.975
flu,2022-10-01,Colorado,3,0,3,0.025
flu,2022-10-01,Colorado,3,2,3,0.25
flu,2022-10-01,Colorado,3,4,3,0.5
flu,2022-10-01,Colorado,3,7,3,0.75
flu,2022-10-01,Colorado,3,13,3,0.975
flu,2022-10-08,Colorado,4,0,2,0.025
flu,2022-10-08,Colorado,4,3,2,0.25
flu,2022-10-08,Colorado,4,5,2,0.5
flu,2022-10-08,Colorado,4,7,2,0.75
flu,2022-10-08,Colorado,4,15,2,0.975
flu,2022-09-17,Connecticut,1,0,5,0.025
flu,2022-09-17,Connecticut,1,2,5,0.25
flu,2022-09-17,Connecticut,1,3,5,0.5
flu,2022-09-17,Connecticut,1,5,5,0.75
flu,2022-09-17,Connecticut,1,10,5,0.975
flu,2022-09-24,Connecticut,2,0,3,0.025
flu,2022-09-24,Connecticut,2,2,3,0.25
flu,2022-09-24,Connecticut,2,3,3,0.5
flu,2022-09-24,Connecticut,2,5,3,0.75
flu,2022-09-24,Connecticut,2,11,3,0.975
flu,2022-10-01,Connecticut,3,0,2,0.025
flu,2022-10-01,Connecticut,3,2,2,0.25
flu,2022-10-01,Connecticut,3,3,2,0.5
flu,2022-10-01,Connecticut,3,5,2,0.75
