"","location","location_name"
"1","06","California"
"2","08","Colorado"
"3","09","Connecticut"
"4","13","Georgia"
"5","24","Maryland"
"6","26","Michigan"
"7","27","Minnesota"
"8","35","New Mexico"
"9","36","New York"
"10","41","Oregon"
"11","47","Tennessee"
"12","US","US"
"13","49","Utah"
