model,location,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis
baseline_flu,Alabama,43.16051097066422,5.709474539247272,21.968451383761973,15.482585047654986,-0.1003007518796992,0.11447368421052631,60.94360902255643,0.38721804511278207,0.8045112781954888,1
baseline_flu,Alaska,6.843348393784691,1.3778936678088585,3.0249136589110233,2.440541067064807,0.010977443609022539,0.008082706766917361,10.387218327070475,0.556390977443609,0.8834586466165414,1
baseline_flu,Arizona,129.88796077978637,11.604520194252693,66.0492888000309,52.23415178550278,-0.10631578947368427,-0.028759398496240415,170.53383458646616,0.45488721804511306,0.7218045112781954,1
baseline_flu,Arkansas,48.61093507988652,5.295667081341865,24.262311424993932,19.052956573550695,-0.11909774436090217,-0.07593984962406024,65.85714285714288,0.42105263157894707,0.7218045112781959,1
baseline_flu,California,311.6749751984174,25.848169236748756,163.4777071650413,122.3490987966271,-0.09503759398496243,0.04624060150375939,408.857142857143,0.43609022556391014,0.7744360902255641,1
baseline_flu,Colorado,39.38696505946263,6.404293413949177,17.37000162708394,15.612670018429501,-0.07323308270676697,-0.0355263157894734,59.72556390977447,0.45864661654135325,0.7932330827067671,1
baseline_flu,Connecticut,43.43635930243701,4.389088526721732,22.48739027691026,16.559880498804993,-0.09052631578947361,-0.016165413533834844,58.481203007518786,0.4285714285714287,0.789473684210526,1
baseline_flu,Delaware,7.342546844133856,1.4593983235509045,3.4084639034360285,2.474684617146924,0.02225563909774438,0.03890977443609034,11.251880526324063,0.518796992481203,0.9285714285714284,1
baseline_flu,District of Columbia,8.125204332626033,0.9554233633877691,4.306166034968623,2.863614934269642,-0.07473684210526316,-0.0035714285714284343,11.32330752818806,0.43984962406015043,0.7969924812030078,1
baseline_flu,Florida,144.81272604194086,21.51011123045441,67.54469591199673,55.75791889948977,-0.16872180451127802,-0.022744360902255307,212.68796992481202,0.3120300751879701,0.7142857142857143,1
baseline_flu,Georgia,80.82645494914536,6.648312739151827,43.461207094025866,30.716935115967726,-0.17774436090225568,0.05394736842105289,106.34210526315783,0.32706766917293223,0.6691729323308269,1
baseline_flu,Hawaii,4.142526667005392,0.8989263584459152,1.6176200604111313,1.6259802481483459,-0.06721804511278195,-0.0879699248120303,6.586466165413532,0.4022556390977445,0.8533834586466165,1
baseline_flu,Idaho,29.164590271974152,2.465374632073388,14.980283882913993,11.718931756986738,-0.059699248120300814,-0.025187969924812263,38.4473669172782,0.4473684210526318,0.8082706766917291,1
