model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,1,27.825144230769208,13.558911199095032,5.389536199095017,8.876696832579235,0.04658371040723988,0.13901300904977257,46.672794117647236,0.5845588235294114,0.9739819004524888,0.4837901291823791,51.62098708176208,0.5162098708176208
COVID-19_forecast_model,2,44.16746268656718,18.929919632606204,8.592709529276707,16.64483352468429,0.011331802525832626,0.1837686567164178,75.95752009184876,0.5157864523536169,0.956946039035591,0.5823812686543269,41.76187313456731,0.4176187313456731
COVID-19_forecast_model,3,57.97672785547788,23.29770687645687,11.048951048950974,23.630069930069876,-0.017121212121212502,0.22622377622377654,99.5093240093233,0.47231934731934616,0.9309440559440557,0.6308807739236297,36.911922607637024,0.36911922607637027
COVID-19_forecast_model,4,68.8511479289941,27.108662721893495,12.441952662721837,29.30053254437871,-0.0314201183431949,0.25735207100591706,117.84023668639139,0.45562130177514854,0.911538461538461,0.6505428230906305,34.94571769093695,0.3494571769093695
Influenza_forecast_model,1,17.34803450226244,7.062231334841632,5.948755656108598,4.337047511312179,0.033291855203619915,-0.003648190045248009,29.463518099547628,0.550056561085974,0.9544683257918551,0.41718885361089897,58.281114638910104,0.582811146389101
Influenza_forecast_model,2,30.37514925373134,9.763783008036741,12.628358208955225,7.983008036739353,-0.012146957520092155,0.003315154994259912,51.30941446613098,0.48938002296211436,0.9081515499425924,0.5203580110671255,47.964198893287445,0.47964198893287446
Influenza_forecast_model,3,42.951037296037306,11.855990675990675,19.975291375291413,11.119755244755178,-0.056923076923076875,0.013111888111886625,70.64248251748248,0.4245337995337976,0.8639277389277363,0.5906296408711402,40.937035912885975,0.4093703591288598
Influenza_forecast_model,4,54.5933017751479,13.547207100591725,27.404556213018047,13.641538461538305,-0.09325443786982208,0.026020710059171562,87.05946745562194,0.37721893491124386,0.8230769230769261,0.6323379223963006,36.76620776036994,0.3676620776036994
RSV_forecast_model,1,4.714964285714285,2.27877380952381,1.2961904761904772,1.1400000000000001,0.0859523809523808,0.004940476190475816,7.899999999999989,0.6309523809523816,0.986904761904762,0.5461011442763402,45.38988557236598,0.45389885572365984
RSV_forecast_model,2,6.838035714285712,3.0344642857142867,1.9278571428571412,1.8757142857142841,0.06666666666666654,0.02196428571428564,11.648809523809444,0.5952380952380956,0.979761904761905,0.5715344519744774,42.84655480255226,0.4284655480255226
RSV_forecast_model,3,9.055404761904764,3.644214285714286,2.7409523809523746,2.670238095238093,0.04595238095238119,0.05357142857142855,15.41547619047617,0.5666666666666648,0.9619047619047618,0.6002359977628939,39.976400223710606,0.39976400223710606
RSV_forecast_model,4,11.182273809523807,4.155369047619048,3.623095238095239,3.4038095238095245,0.023095238095238238,0.07946428571428535,18.88452380952391,0.5273809523809528,0.9452380952380949,0.6225398490270765,37.74601509729235,0.3774601509729235
