location,location_number,date,count,disease
North Dakota,38,2022-09-10,65,covid
Ohio,39,2022-09-10,1480,covid
Oklahoma,40,2022-09-10,467,covid
Oregon,41,2022-09-10,302,covid
Pennsylvania,42,2022-09-10,1294,covid
Puerto Rico,72,2022-09-10,193,covid
Rhode Island,44,2022-09-10,73,covid
South Carolina,45,2022-09-10,497,covid
South Dakota,46,2022-09-10,97,covid
Tennessee,47,2022-09-10,714,covid
Texas,48,2022-09-10,2749,covid
US,NA,2022-09-10,32088,covid
Utah,49,2022-09-10,178,covid
Vermont,50,2022-09-10,44,covid
Virginia,51,2022-09-10,787,covid
Washington,53,2022-09-10,433,covid
West Virginia,54,2022-09-10,324,covid
Wisconsin,55,2022-09-10,551,covid
Wyoming,56,2022-09-10,21,covid
Alabama,1,2022-09-17,443,covid
Alaska,2,2022-09-17,53,covid
Arizona,4,2022-09-17,314,covid
Arkansas,5,2022-09-17,327,covid
California,6,2022-09-17,2881,covid
Colorado,8,2022-09-17,321,covid
Connecticut,9,2022-09-17,412,covid
Delaware,10,2022-09-17,94,covid
District of Columbia,11,2022-09-17,97,covid
Florida,12,2022-09-17,2714,covid
Georgia,13,2022-09-17,932,covid
Hawaii,15,2022-09-17,101,covid
Idaho,16,2022-09-17,125,covid
Illinois,17,2022-09-17,1206,covid
Indiana,18,2022-09-17,530,covid
Iowa,19,2022-09-17,290,covid
Kansas,20,2022-09-17,236,covid
Kentucky,21,2022-09-17,544,covid
Louisiana,22,2022-09-17,484,covid
Maine,23,2022-09-17,111,covid
Maryland,24,2022-09-17,478,covid
Massachusetts,25,2022-09-17,743,covid
Michigan,26,2022-09-17,1066,covid
Minnesota,27,2022-09-17,471,covid
Mississippi,28,2022-09-17,157,covid
Missouri,29,2022-09-17,647,covid
Montana,30,2022-09-17,118,covid
Nebraska,31,2022-09-17,148,covid
Nevada,32,2022-09-17,114,covid
New Hampshire,33,2022-09-17,101,covid
New Jersey,34,2022-09-17,804,covid
New Mexico,35,2022-09-17,86,covid
New York,36,2022-09-17,1956,covid
North Carolina,37,2022-09-17,897,covid
North Dakota,38,2022-09-17,67,covid
Ohio,39,2022-09-17,1469,covid
Oklahoma,40,2022-09-17,382,covid
Oregon,41,2022-09-17,249,covid
Pennsylvania,42,2022-09-17,1289,covid
Puerto Rico,72,2022-09-17,163,covid
Rhode Island,44,2022-09-17,90,covid
South Carolina,45,2022-09-17,394,covid
South Dakota,46,2022-09-17,91,covid
Tennessee,47,2022-09-17,549,covid
Texas,48,2022-09-17,2537,covid
US,NA,2022-09-17,29513,covid
Utah,49,2022-09-17,163,covid
Vermont,50,2022-09-17,43,covid
Virginia,51,2022-09-17,704,covid
Washington,53,2022-09-17,421,covid
West Virginia,54,2022-09-17,317,covid
Wisconsin,55,2022-09-17,548,covid
Wyoming,56,2022-09-17,36,covid
Alabama,1,2022-09-24,323,covid
Alaska,2,2022-09-24,40,covid
Arizona,4,2022-09-24,294,covid
Arkansas,5,2022-09-24,276,covid
California,6,2022-09-24,2300,covid
Colorado,8,2022-09-24,265,covid
Connecticut,9,2022-09-24,515,covid
Delaware,10,2022-09-24,111,covid
District of Columbia,11,2022-09-24,87,covid
Florida,12,2022-09-24,2346,covid
Georgia,13,2022-09-24,750,covid
Hawaii,15,2022-09-24,129,covid
Idaho,16,2022-09-24,122,covid
Illinois,17,2022-09-24,1129,covid
Indiana,18,2022-09-24,468,covid
Iowa,19,2022-09-24,222,covid
Kansas,20,2022-09-24,243,covid
Kentucky,21,2022-09-24,498,covid
Louisiana,22,2022-09-24,441,covid
Maine,23,2022-09-24,129,covid
Maryland,24,2022-09-24,479,covid
Massachusetts,25,2022-09-24,804,covid
Michigan,26,2022-09-24,1055,covid
Minnesota,27,2022-09-24,444,covid
Mississippi,28,2022-09-24,144,covid
Missouri,29,2022-09-24,676,covid
Montana,30,2022-09-24,128,covid
Nebraska,31,2022-09-24,110,covid
Nevada,32,2022-09-24,107,covid
New Hampshire,33,2022-09-24,97,covid
New Jersey,34,2022-09-24,913,covid
New Mexico,35,2022-09-24,125,covid
New York,36,2022-09-24,2165,covid
North Carolina,37,2022-09-24,887,covid
North Dakota,38,2022-09-24,71,covid
Ohio,39,2022-09-24,1326,covid
Oklahoma,40,2022-09-24,319,covid
Oregon,41,2022-09-24,272,covid
Pennsylvania,42,2022-09-24,1246,covid
Puerto Rico,72,2022-09-24,150,covid
Rhode Island,44,2022-09-24,72,covid
South Carolina,45,2022-09-24,319,covid
South Dakota,46,2022-09-24,97,covid
Tennessee,47,2022-09-24,450,covid
Texas,48,2022-09-24,2149,covid
US,NA,2022-09-24,27411,covid
Utah,49,2022-09-24,165,covid
Vermont,50,2022-09-24,55,covid
Virginia,51,2022-09-24,617,covid
Washington,53,2022-09-24,450,covid
West Virginia,54,2022-09-24,249,covid
Wisconsin,55,2022-09-24,545,covid
Wyoming,56,2022-09-24,37,covid
Alabama,1,2022-10-01,289,covid
Alaska,2,2022-10-01,44,covid
Arizona,4,2022-10-01,296,covid
Arkansas,5,2022-10-01,235,covid
California,6,2022-10-01,2172,covid
Colorado,8,2022-10-01,271,covid
Connecticut,9,2022-10-01,498,covid
Delaware,10,2022-10-01,125,covid
District of Columbia,11,2022-10-01,95,covid
Florida,12,2022-10-01,1832,covid
Georgia,13,2022-10-01,594,covid
Hawaii,15,2022-10-01,123,covid
Idaho,16,2022-10-01,125,covid
Illinois,17,2022-10-01,909,covid
Indiana,18,2022-10-01,355,covid
Iowa,19,2022-10-01,238,covid
Kansas,20,2022-10-01,171,covid
Kentucky,21,2022-10-01,383,covid
Louisiana,22,2022-10-01,361,covid
Maine,23,2022-10-01,131,covid
Maryland,24,2022-10-01,418,covid
Massachusetts,25,2022-10-01,835,covid
Michigan,26,2022-10-01,967,covid
Minnesota,27,2022-10-01,434,covid
Mississippi,28,2022-10-01,122,covid
Missouri,29,2022-10-01,598,covid
Montana,30,2022-10-01,133,covid
Nebraska,31,2022-10-01,123,covid
Nevada,32,2022-10-01,140,covid
New Hampshire,33,2022-10-01,125,covid
New Jersey,34,2022-10-01,1015,covid
New Mexico,35,2022-10-01,101,covid
New York,36,2022-10-01,2323,covid
North Carolina,37,2022-10-01,770,covid
North Dakota,38,2022-10-01,67,covid
Ohio,39,2022-10-01,1077,covid
Oklahoma,40,2022-10-01,255,covid
Oregon,41,2022-10-01,265,covid
Pennsylvania,42,2022-10-01,1285,covid
Puerto Rico,72,2022-10-01,133,covid
Rhode Island,44,2022-10-01,87,covid
South Carolina,45,2022-10-01,280,covid
South Dakota,46,2022-10-01,77,covid
Tennessee,47,2022-10-01,388,covid
Texas,48,2022-10-01,1658,covid
US,NA,2022-10-01,24798,covid
Utah,49,2022-10-01,149,covid
Vermont,50,2022-10-01,45,covid
Virginia,51,2022-10-01,521,covid
Washington,53,2022-10-01,427,covid
West Virginia,54,2022-10-01,196,covid
Wisconsin,55,2022-10-01,487,covid
Wyoming,56,2022-10-01,50,covid
Alabama,1,2022-10-08,274,covid
Alaska,2,2022-10-08,32,covid
Arizona,4,2022-10-08,289,covid
Arkansas,5,2022-10-08,179,covid
California,6,2022-10-08,2041,covid
Colorado,8,2022-10-08,236,covid
Connecticut,9,2022-10-08,504,covid
Delaware,10,2022-10-08,118,covid
District of Columbia,11,2022-10-08,71,covid
Florida,12,2022-10-08,1446,covid
Georgia,13,2022-10-08,528,covid
Hawaii,15,2022-10-08,115,covid
Idaho,16,2022-10-08,106,covid
Illinois,17,2022-10-08,968,covid
Indiana,18,2022-10-08,388,covid
Iowa,19,2022-10-08,200,covid
Kansas,20,2022-10-08,166,covid
Kentucky,21,2022-10-08,349,covid
Louisiana,22,2022-10-08,354,covid
Maine,23,2022-10-08,160,covid
Maryland,24,2022-10-08,376,covid
Massachusetts,25,2022-10-08,909,covid
Michigan,26,2022-10-08,1036,covid
Minnesota,27,2022-10-08,466,covid
Mississippi,28,2022-10-08,98,covid
Missouri,29,2022-10-08,503,covid
Montana,30,2022-10-08,101,covid
Nebraska,31,2022-10-08,123,covid
Nevada,32,2022-10-08,124,covid
New Hampshire,33,2022-10-08,125,covid
New Jersey,34,2022-10-08,1113,covid
New Mexico,35,2022-10-08,98,covid
New York,36,2022-10-08,2446,covid
North Carolina,37,2022-10-08,686,covid
North Dakota,38,2022-10-08,68,covid
Ohio,39,2022-10-08,976,covid
Oklahoma,40,2022-10-08,217,covid
Oregon,41,2022-10-08,236,covid
Pennsylvania,42,2022-10-08,1360,covid
Puerto Rico,72,2022-10-08,126,covid
Rhode Island,44,2022-10-08,100,covid
South Carolina,45,2022-10-08,277,covid
South Dakota,46,2022-10-08,92,covid
Tennessee,47,2022-10-08,325,covid
Texas,48,2022-10-08,1449,covid
US,NA,2022-10-08,23902,covid
Utah,49,2022-10-08,129,covid
Vermont,50,2022-10-08,49,covid
Virginia,51,2022-10-08,590,covid
Washington,53,2022-10-08,397,covid
West Virginia,54,2022-10-08,196,covid
Wisconsin,55,2022-10-08,550,covid
Wyoming,56,2022-10-08,37,covid
Alabama,1,2022-10-15,232,covid
Alaska,2,2022-10-15,40,covid
Arizona,4,2022-10-15,251,covid
Arkansas,5,2022-10-15,132,covid
California,6,2022-10-15,1982,covid
Colorado,8,2022-10-15,265,covid
Connecticut,9,2022-10-15,510,covid
Delaware,10,2022-10-15,104,covid
District of Columbia,11,2022-10-15,71,covid
Florida,12,2022-10-15,1355,covid
Georgia,13,2022-10-15,533,covid
Hawaii,15,2022-10-15,104,covid
Idaho,16,2022-10-15,124,covid
Illinois,17,2022-10-15,1005,covid
Indiana,18,2022-10-15,374,covid
Iowa,19,2022-10-15,200,covid
Kansas,20,2022-10-15,178,covid
Kentucky,21,2022-10-15,339,covid
Louisiana,22,2022-10-15,312,covid
Maine,23,2022-10-15,152,covid
Maryland,24,2022-10-15,388,covid
Massachusetts,25,2022-10-15,889,covid
Michigan,26,2022-10-15,1004,covid
Minnesota,27,2022-10-15,393,covid
Mississippi,28,2022-10-15,87,covid
Missouri,29,2022-10-15,532,covid
Montana,30,2022-10-15,101,covid
Nebraska,31,2022-10-15,92,covid
Nevada,32,2022-10-15,130,covid
New Hampshire,33,2022-10-15,139,covid
New Jersey,34,2022-10-15,1149,covid
New Mexico,35,2022-10-15,101,covid
New York,36,2022-10-15,2586,covid
North Carolina,37,2022-10-15,553,covid
North Dakota,38,2022-10-15,48,covid
Ohio,39,2022-10-15,1114,covid
Oklahoma,40,2022-10-15,164,covid
Oregon,41,2022-10-15,284,covid
Pennsylvania,42,2022-10-15,1329,covid
Puerto Rico,72,2022-10-15,88,covid
Rhode Island,44,2022-10-15,94,covid
South Carolina,45,2022-10-15,228,covid
South Dakota,46,2022-10-15,70,covid
Tennessee,47,2022-10-15,303,covid
Texas,48,2022-10-15,1252,covid
US,NA,2022-10-15,23228,covid
Utah,49,2022-10-15,156,covid
Vermont,50,2022-10-15,59,covid
Virginia,51,2022-10-15,517,covid
Washington,53,2022-10-15,330,covid
West Virginia,54,2022-10-15,157,covid
Wisconsin,55,2022-10-15,595,covid
Wyoming,56,2022-10-15,33,covid
Alabama,1,2022-10-22,247,covid
Alaska,2,2022-10-22,19,covid
Arizona,4,2022-10-22,344,covid
Arkansas,5,2022-10-22,128,covid
California,6,2022-10-22,1872,covid
Colorado,8,2022-10-22,301,covid
Connecticut,9,2022-10-22,512,covid
Delaware,10,2022-10-22,85,covid
District of Columbia,11,2022-10-22,77,covid
Florida,12,2022-10-22,1207,covid
Georgia,13,2022-10-22,512,covid
Hawaii,15,2022-10-22,132,covid
Idaho,16,2022-10-22,110,covid
Illinois,17,2022-10-22,1100,covid
Indiana,18,2022-10-22,417,covid
Iowa,19,2022-10-22,189,covid
Kansas,20,2022-10-22,185,covid
Kentucky,21,2022-10-22,326,covid
Louisiana,22,2022-10-22,225,covid
Maine,23,2022-10-22,155,covid
Maryland,24,2022-10-22,427,covid
Massachusetts,25,2022-10-22,914,covid
Michigan,26,2022-10-22,994,covid
Minnesota,27,2022-10-22,484,covid
Mississippi,28,2022-10-22,77,covid
Missouri,29,2022-10-22,515,covid
Montana,30,2022-10-22,119,covid
Nebraska,31,2022-10-22,96,covid
Nevada,32,2022-10-22,153,covid
New Hampshire,33,2022-10-22,161,covid
New Jersey,34,2022-10-22,1164,covid
New Mexico,35,2022-10-22,150,covid
New York,36,2022-10-22,2594,covid
North Carolina,37,2022-10-22,571,covid
North Dakota,38,2022-10-22,48,covid
Ohio,39,2022-10-22,1141,covid
Oklahoma,40,2022-10-22,223,covid
Oregon,41,2022-10-22,208,covid
Pennsylvania,42,2022-10-22,1277,covid
Puerto Rico,72,2022-10-22,99,covid
Rhode Island,44,2022-10-22,78,covid
South Carolina,45,2022-10-22,217,covid
South Dakota,46,2022-10-22,66,covid
Tennessee,47,2022-10-22,342,covid
Texas,48,2022-10-22,1135,covid
US,NA,2022-10-22,23093,covid
Utah,49,2022-10-22,131,covid
Vermont,50,2022-10-22,79,covid
Virginia,51,2022-10-22,462,covid
Washington,53,2022-10-22,273,covid
West Virginia,54,2022-10-22,164,covid
Wisconsin,55,2022-10-22,546,covid
Wyoming,56,2022-10-22,42,covid
Alabama,1,2022-10-29,257,covid
Alaska,2,2022-10-29,31,covid
Arizona,4,2022-10-29,350,covid
Arkansas,5,2022-10-29,135,covid
California,6,2022-10-29,1773,covid
Colorado,8,2022-10-29,378,covid
Connecticut,9,2022-10-29,462,covid
Delaware,10,2022-10-29,78,covid
District of Columbia,11,2022-10-29,71,covid
Florida,12,2022-10-29,1460,covid
Georgia,13,2022-10-29,577,covid
Hawaii,15,2022-10-29,122,covid
Idaho,16,2022-10-29,105,covid
Illinois,17,2022-10-29,1167,covid
Indiana,18,2022-10-29,455,covid
Iowa,19,2022-10-29,201,covid
Kansas,20,2022-10-29,244,covid
Kentucky,21,2022-10-29,308,covid
Louisiana,22,2022-10-29,256,covid
Maine,23,2022-10-29,117,covid
Maryland,24,2022-10-29,424,covid
Massachusetts,25,2022-10-29,778,covid
Michigan,26,2022-10-29,1065,covid
Minnesota,27,2022-10-29,505,covid
Mississippi,28,2022-10-29,70,covid
Missouri,29,2022-10-29,537,covid
Montana,30,2022-10-29,101,covid
Nebraska,31,2022-10-29,109,covid
Nevada,32,2022-10-29,170,covid
New Hampshire,33,2022-10-29,139,covid
New Jersey,34,2022-10-29,1097,covid
New Mexico,35,2022-10-29,134,covid
New York,36,2022-10-29,2633,covid
North Carolina,37,2022-10-29,569,covid
North Dakota,38,2022-10-29,83,covid
Ohio,39,2022-10-29,1261,covid
Oklahoma,40,2022-10-29,236,covid
Oregon,41,2022-10-29,251,covid
Pennsylvania,42,2022-10-29,1311,covid
Puerto Rico,72,2022-10-29,115,covid
Rhode Island,44,2022-10-29,95,covid
South Carolina,45,2022-10-29,253,covid
South Dakota,46,2022-10-29,62,covid
Tennessee,47,2022-10-29,338,covid
Texas,48,2022-10-29,1124,covid
US,NA,2022-10-29,23822,covid
Utah,49,2022-10-29,176,covid
Vermont,50,2022-10-29,44,covid
Virginia,51,2022-10-29,484,covid
Washington,53,2022-10-29,324,covid
West Virginia,54,2022-10-29,148,covid
Wisconsin,55,2022-10-29,610,covid
Wyoming,56,2022-10-29,29,covid
Alabama,1,2022-11-05,226,covid
Alaska,2,2022-11-05,25,covid
Arizona,4,2022-11-05,510,covid
Arkansas,5,2022-11-05,144,covid
California,6,2022-11-05,1966,covid
Colorado,8,2022-11-05,502,covid
Connecticut,9,2022-11-05,437,covid
Delaware,10,2022-11-05,87,covid
District of Columbia,11,2022-11-05,101,covid
Florida,12,2022-11-05,1405,covid
Georgia,13,2022-11-05,524,covid
Hawaii,15,2022-11-05,112,covid
Idaho,16,2022-11-05,88,covid
Illinois,17,2022-11-05,1220,covid
Indiana,18,2022-11-05,505,covid
Iowa,19,2022-11-05,219,covid
Kansas,20,2022-11-05,190,covid
Kentucky,21,2022-11-05,413,covid
Louisiana,22,2022-11-05,309,covid
Maine,23,2022-11-05,100,covid
Maryland,24,2022-11-05,422,covid
Massachusetts,25,2022-11-05,676,covid
Michigan,26,2022-11-05,979,covid
Minnesota,27,2022-11-05,456,covid
Mississippi,28,2022-11-05,67,covid
Missouri,29,2022-11-05,554,covid
Montana,30,2022-11-05,105,covid
Nebraska,31,2022-11-05,141,covid
Nevada,32,2022-11-05,190,covid
New Hampshire,33,2022-11-05,123,covid
New Jersey,34,2022-11-05,1134,covid
New Mexico,35,2022-11-05,167,covid
New York,36,2022-11-05,2571,covid
North Carolina,37,2022-11-05,543,covid
North Dakota,38,2022-11-05,62,covid
Ohio,39,2022-11-05,1317,covid
Oklahoma,40,2022-11-05,204,covid
Oregon,41,2022-11-05,178,covid
Pennsylvania,42,2022-11-05,1356,covid
Puerto Rico,72,2022-11-05,117,covid
Rhode Island,44,2022-11-05,68,covid
South Carolina,45,2022-11-05,244,covid
South Dakota,46,2022-11-05,86,covid
Tennessee,47,2022-11-05,350,covid
Texas,48,2022-11-05,1024,covid
US,NA,2022-11-05,24137,covid
Utah,49,2022-11-05,170,covid
Vermont,50,2022-11-05,38,covid
Virginia,51,2022-11-05,564,covid
Washington,53,2022-11-05,306,covid
West Virginia,54,2022-11-05,164,covid
Wisconsin,55,2022-11-05,624,covid
Wyoming,56,2022-11-05,54,covid
Alabama,1,2022-11-12,223,covid
Alaska,2,2022-11-12,35,covid
Arizona,4,2022-11-12,704,covid
Arkansas,5,2022-11-12,117,covid
California,6,2022-11-12,2358,covid
Colorado,8,2022-11-12,596,covid
Connecticut,9,2022-11-12,460,covid
Delaware,10,2022-11-12,70,covid
District of Columbia,11,2022-11-12,91,covid
Florida,12,2022-11-12,1414,covid
Georgia,13,2022-11-12,572,covid
Hawaii,15,2022-11-12,96,covid
Idaho,16,2022-11-12,97,covid
Illinois,17,2022-11-12,1170,covid
Indiana,18,2022-11-12,491,covid
Iowa,19,2022-11-12,203,covid
Kansas,20,2022-11-12,224,covid
Kentucky,21,2022-11-12,386,covid
Louisiana,22,2022-11-12,360,covid
Maine,23,2022-11-12,86,covid
Maryland,24,2022-11-12,410,covid
Massachusetts,25,2022-11-12,609,covid
Michigan,26,2022-11-12,879,covid
Minnesota,27,2022-11-12,463,covid
Mississippi,28,2022-11-12,75,covid
Missouri,29,2022-11-12,495,covid
Montana,30,2022-11-12,88,covid
Nebraska,31,2022-11-12,152,covid
Nevada,32,2022-11-12,193,covid
New Hampshire,33,2022-11-12,103,covid
New Jersey,34,2022-11-12,1103,covid
New Mexico,35,2022-11-12,173,covid
New York,36,2022-11-12,2458,covid
North Carolina,37,2022-11-12,522,covid
North Dakota,38,2022-11-12,69,covid
Ohio,39,2022-11-12,1164,covid
Oklahoma,40,2022-11-12,232,covid
Oregon,41,2022-11-12,270,covid
Pennsylvania,42,2022-11-12,1338,covid
Puerto Rico,72,2022-11-12,98,covid
Rhode Island,44,2022-11-12,56,covid
South Carolina,45,2022-11-12,264,covid
South Dakota,46,2022-11-12,94,covid
Tennessee,47,2022-11-12,351,covid
Texas,48,2022-11-12,1100,covid
US,NA,2022-11-12,24291,covid
Utah,49,2022-11-12,207,covid
Vermont,50,2022-11-12,50,covid
Virginia,51,2022-11-12,540,covid
Washington,53,2022-11-12,276,covid
West Virginia,54,2022-11-12,136,covid
Wisconsin,55,2022-11-12,531,covid
Wyoming,56,2022-11-12,39,covid
Alabama,1,2022-11-19,242,covid
Alaska,2,2022-11-19,29,covid
Arizona,4,2022-11-19,885,covid
Arkansas,5,2022-11-19,144,covid
California,6,2022-11-19,2739,covid
Colorado,8,2022-11-19,693,covid
Connecticut,9,2022-11-19,411,covid
Delaware,10,2022-11-19,82,covid
District of Columbia,11,2022-11-19,79,covid
Florida,12,2022-11-19,1453,covid
Georgia,13,2022-11-19,472,covid
Hawaii,15,2022-11-19,101,covid
Idaho,16,2022-11-19,123,covid
Illinois,17,2022-11-19,1205,covid
Indiana,18,2022-11-19,466,covid
Iowa,19,2022-11-19,192,covid
Kansas,20,2022-11-19,196,covid
Kentucky,21,2022-11-19,316,covid
Louisiana,22,2022-11-19,354,covid
Maine,23,2022-11-19,71,covid
Maryland,24,2022-11-19,426,covid
Massachusetts,25,2022-11-19,617,covid
Michigan,26,2022-11-19,849,covid
Minnesota,27,2022-11-19,505,covid
Mississippi,28,2022-11-19,83,covid
Missouri,29,2022-11-19,525,covid
Montana,30,2022-11-19,107,covid
Nebraska,31,2022-11-19,140,covid
Nevada,32,2022-11-19,224,covid
New Hampshire,33,2022-11-19,108,covid
New Jersey,34,2022-11-19,1054,covid
New Mexico,35,2022-11-19,215,covid
New York,36,2022-11-19,2423,covid
North Carolina,37,2022-11-19,452,covid
North Dakota,38,2022-11-19,68,covid
Ohio,39,2022-11-19,1182,covid
Oklahoma,40,2022-11-19,185,covid
Oregon,41,2022-11-19,251,covid
Pennsylvania,42,2022-11-19,1242,covid
Puerto Rico,72,2022-11-19,137,covid
Rhode Island,44,2022-11-19,78,covid
South Carolina,45,2022-11-19,205,covid
South Dakota,46,2022-11-19,103,covid
Tennessee,47,2022-11-19,347,covid
Texas,48,2022-11-19,1209,covid
US,NA,2022-11-19,24740,covid
Utah,49,2022-11-19,242,covid
Vermont,50,2022-11-19,36,covid
Virginia,51,2022-11-19,482,covid
Washington,53,2022-11-19,352,covid
West Virginia,54,2022-11-19,115,covid
Wisconsin,55,2022-11-19,477,covid
Wyoming,56,2022-11-19,48,covid
Alabama,1,2022-11-26,246,covid
Alaska,2,2022-11-26,44,covid
Arizona,4,2022-11-26,1078,covid
Arkansas,5,2022-11-26,145,covid
California,6,2022-11-26,3537,covid
Colorado,8,2022-11-26,788,covid
Connecticut,9,2022-11-26,410,covid
Delaware,10,2022-11-26,104,covid
District of Columbia,11,2022-11-26,77,covid
Florida,12,2022-11-26,1518,covid
Georgia,13,2022-11-26,483,covid
Hawaii,15,2022-11-26,91,covid
Idaho,16,2022-11-26,149,covid
Illinois,17,2022-11-26,1322,covid
Indiana,18,2022-11-26,577,covid
Iowa,19,2022-11-26,224,covid
Kansas,20,2022-11-26,246,covid
Kentucky,21,2022-11-26,318,covid
Louisiana,22,2022-11-26,460,covid
Maine,23,2022-11-26,77,covid
Maryland,24,2022-11-26,410,covid
Massachusetts,25,2022-11-26,661,covid
Michigan,26,2022-11-26,831,covid
Minnesota,27,2022-11-26,501,covid
Mississippi,28,2022-11-26,88,covid
Missouri,29,2022-11-26,620,covid
Montana,30,2022-11-26,93,covid
Nebraska,31,2022-11-26,204,covid
Nevada,32,2022-11-26,268,covid
New Hampshire,33,2022-11-26,67,covid
New Jersey,34,2022-11-26,1061,covid
New Mexico,35,2022-11-26,237,covid
New York,36,2022-11-26,2491,covid
North Carolina,37,2022-11-26,473,covid
North Dakota,38,2022-11-26,89,covid
Ohio,39,2022-11-26,1208,covid
Oklahoma,40,2022-11-26,263,covid
Oregon,41,2022-11-26,347,covid
Pennsylvania,42,2022-11-26,1140,covid
Puerto Rico,72,2022-11-26,120,covid
Rhode Island,44,2022-11-26,67,covid
South Carolina,45,2022-11-26,216,covid
South Dakota,46,2022-11-26,77,covid
Tennessee,47,2022-11-26,373,covid
Texas,48,2022-11-26,1545,covid
US,NA,2022-11-26,27121,covid
Utah,49,2022-11-26,254,covid
Vermont,50,2022-11-26,34,covid
Virginia,51,2022-11-26,435,covid
Washington,53,2022-11-26,400,covid
West Virginia,54,2022-11-26,125,covid
Wisconsin,55,2022-11-26,484,covid
Wyoming,56,2022-11-26,45,covid
Alabama,1,2022-12-03,422,covid
Alaska,2,2022-12-03,44,covid
Arizona,4,2022-12-03,1220,covid
Arkansas,5,2022-12-03,242,covid
California,6,2022-12-03,4856,covid
Colorado,8,2022-12-03,851,covid
Connecticut,9,2022-12-03,528,covid
Delaware,10,2022-12-03,119,covid
District of Columbia,11,2022-12-03,118,covid
Florida,12,2022-12-03,1728,covid
Georgia,13,2022-12-03,723,covid
Hawaii,15,2022-12-03,112,covid
Idaho,16,2022-12-03,168,covid
Illinois,17,2022-12-03,1646,covid
Indiana,18,2022-12-03,769,covid
Iowa,19,2022-12-03,285,covid
Kansas,20,2022-12-03,326,covid
Kentucky,21,2022-12-03,478,covid
Louisiana,22,2022-12-03,499,covid
Maine,23,2022-12-03,81,covid
Maryland,24,2022-12-03,515,covid
Massachusetts,25,2022-12-03,767,covid
Michigan,26,2022-12-03,899,covid
Minnesota,27,2022-12-03,583,covid
Mississippi,28,2022-12-03,177,covid
Missouri,29,2022-12-03,777,covid
Montana,30,2022-12-03,114,covid
Nebraska,31,2022-12-03,266,covid
Nevada,32,2022-12-03,329,covid
New Hampshire,33,2022-12-03,104,covid
New Jersey,34,2022-12-03,1335,covid
New Mexico,35,2022-12-03,254,covid
New York,36,2022-12-03,2976,covid
North Carolina,37,2022-12-03,598,covid
North Dakota,38,2022-12-03,85,covid
Ohio,39,2022-12-03,1623,covid
Oklahoma,40,2022-12-03,359,covid
Oregon,41,2022-12-03,403,covid
Pennsylvania,42,2022-12-03,1294,covid
Puerto Rico,72,2022-12-03,182,covid
Rhode Island,44,2022-12-03,89,covid
South Carolina,45,2022-12-03,319,covid
South Dakota,46,2022-12-03,88,covid
Tennessee,47,2022-12-03,515,covid
Texas,48,2022-12-03,2167,covid
US,NA,2022-12-03,34352,covid
Utah,49,2022-12-03,338,covid
Vermont,50,2022-12-03,31,covid
Virginia,51,2022-12-03,605,covid
Washington,53,2022-12-03,493,covid
West Virginia,54,2022-12-03,163,covid
Wisconsin,55,2022-12-03,619,covid
Wyoming,56,2022-12-03,70,covid
Alabama,1,2022-12-10,424,covid
Alaska,2,2022-12-10,50,covid
Arizona,4,2022-12-10,1225,covid
Arkansas,5,2022-12-10,249,covid
California,6,2022-12-10,5052,covid
Colorado,8,2022-12-10,695,covid
Connecticut,9,2022-12-10,508,covid
Delaware,10,2022-12-10,104,covid
District of Columbia,11,2022-12-10,128,covid
Florida,12,2022-12-10,1794,covid
Georgia,13,2022-12-10,804,covid
Hawaii,15,2022-12-10,121,covid
Idaho,16,2022-12-10,154,covid
Illinois,17,2022-12-10,1707,covid
Indiana,18,2022-12-10,865,covid
Iowa,19,2022-12-10,323,covid
Kansas,20,2022-12-10,371,covid
Kentucky,21,2022-12-10,417,covid
Louisiana,22,2022-12-10,519,covid
Maine,23,2022-12-10,91,covid
Maryland,24,2022-12-10,565,covid
Massachusetts,25,2022-12-10,867,covid
Michigan,26,2022-12-10,1042,covid
Minnesota,27,2022-12-10,555,covid
Mississippi,28,2022-12-10,191,covid
Missouri,29,2022-12-10,828,covid
Montana,30,2022-12-10,122,covid
Nebraska,31,2022-12-10,231,covid
Nevada,32,2022-12-10,329,covid
New Hampshire,33,2022-12-10,88,covid
New Jersey,34,2022-12-10,1299,covid
New Mexico,35,2022-12-10,216,covid
New York,36,2022-12-10,3213,covid
North Carolina,37,2022-12-10,649,covid
North Dakota,38,2022-12-10,61,covid
Ohio,39,2022-12-10,1635,covid
Oklahoma,40,2022-12-10,403,covid
Oregon,41,2022-12-10,350,covid
Pennsylvania,42,2022-12-10,1329,covid
Puerto Rico,72,2022-12-10,184,covid
Rhode Island,44,2022-12-10,79,covid
South Carolina,45,2022-12-10,368,covid
South Dakota,46,2022-12-10,74,covid
Tennessee,47,2022-12-10,605,covid
Texas,48,2022-12-10,2403,covid
US,NA,2022-12-10,35565,covid
Utah,49,2022-12-10,280,covid
Vermont,50,2022-12-10,53,covid
Virginia,51,2022-12-10,681,covid
Washington,53,2022-12-10,430,covid
West Virginia,54,2022-12-10,166,covid
Wisconsin,55,2022-12-10,618,covid
Wyoming,56,2022-12-10,50,covid
Alabama,1,2022-12-17,437,covid
Alaska,2,2022-12-17,44,covid
Arizona,4,2022-12-17,972,covid
Arkansas,5,2022-12-17,284,covid
California,6,2022-12-17,4987,covid
