location,location_number,date,count,disease
Ohio,39,2020-11-07,2454,covid
Oklahoma,40,2020-11-07,1576,covid
Oregon,41,2020-11-07,202,covid
Pennsylvania,42,2020-11-07,1724,covid
Puerto Rico,72,2020-11-07,1083,covid
Rhode Island,44,2020-11-07,106,covid
South Carolina,45,2020-11-07,473,covid
South Dakota,46,2020-11-07,524,covid
Tennessee,47,2020-11-07,1293,covid
Texas,48,2020-11-07,6046,covid
US,NA,2020-11-07,55452,covid
Utah,49,2020-11-07,452,covid
Vermont,50,2020-11-07,4,covid
Virginia,51,2020-11-07,639,covid
Washington,53,2020-11-07,300,covid
West Virginia,54,2020-11-07,252,covid
Wisconsin,55,2020-11-07,2850,covid
Wyoming,56,2020-11-07,176,covid
Alabama,1,2020-11-14,1300,covid
Alaska,2,2020-11-14,121,covid
Arizona,4,2020-11-14,1220,covid
Arkansas,5,2020-11-14,824,covid
California,6,2020-11-14,3477,covid
Colorado,8,2020-11-14,1548,covid
Connecticut,9,2020-11-14,658,covid
Delaware,10,2020-11-14,144,covid
District of Columbia,11,2020-11-14,130,covid
Florida,12,2020-11-14,3409,covid
Georgia,13,2020-11-14,2534,covid
Hawaii,15,2020-11-14,55,covid
Idaho,16,2020-11-14,369,covid
Illinois,17,2020-11-14,4234,covid
Indiana,18,2020-11-14,2231,covid
Iowa,19,2020-11-14,1452,covid
Kansas,20,2020-11-14,1115,covid
Kentucky,21,2020-11-14,2270,covid
Louisiana,22,2020-11-14,766,covid
Maine,23,2020-11-14,51,covid
Maryland,24,2020-11-14,963,covid
Massachusetts,25,2020-11-14,641,covid
Michigan,26,2020-11-14,2628,covid
Minnesota,27,2020-11-14,1486,covid
Mississippi,28,2020-11-14,617,covid
Missouri,29,2020-11-14,2215,covid
Montana,30,2020-11-14,583,covid
Nebraska,31,2020-11-14,877,covid
Nevada,32,2020-11-14,804,covid
New Hampshire,33,2020-11-14,69,covid
New Jersey,34,2020-11-14,1664,covid
New Mexico,35,2020-11-14,726,covid
New York,36,2020-11-14,2592,covid
North Carolina,37,2020-11-14,1224,covid
North Dakota,38,2020-11-14,415,covid
Ohio,39,2020-11-14,3283,covid
Oklahoma,40,2020-11-14,1793,covid
Oregon,41,2020-11-14,308,covid
Pennsylvania,42,2020-11-14,2372,covid
Puerto Rico,72,2020-11-14,1099,covid
Rhode Island,44,2020-11-14,117,covid
South Carolina,45,2020-11-14,521,covid
South Dakota,46,2020-11-14,510,covid
Tennessee,47,2020-11-14,1645,covid
Texas,48,2020-11-14,6993,covid
US,NA,2020-11-14,69830,covid
Utah,49,2020-11-14,553,covid
Vermont,50,2020-11-14,24,covid
Virginia,51,2020-11-14,789,covid
Washington,53,2020-11-14,458,covid
