model,date,location,horizon,prediction,true_value,quantile
covid,2022-10-08,Missouri,4,624,503,0.5
covid,2022-10-08,Missouri,4,767,503,0.75
covid,2022-10-08,Missouri,4,1155,503,0.975
covid,2022-09-17,Montana,1,79,118,0.025
covid,2022-09-17,Montana,1,107,118,0.25
covid,2022-09-17,Montana,1,124,118,0.5
covid,2022-09-17,Montana,1,142,118,0.75
covid,2022-09-17,Montana,1,186,118,0.975
covid,2022-09-24,Montana,2,69,128,0.025
covid,2022-09-24,Montana,2,100,128,0.25
covid,2022-09-24,Montana,2,121,128,0.5
covid,2022-09-24,Montana,2,145,128,0.75
covid,2022-09-24,Montana,2,205,128,0.975
covid,2022-10-01,Montana,3,60,133,0.025
covid,2022-10-01,Montana,3,94,133,0.25
covid,2022-10-01,Montana,3,118,133,0.5
covid,2022-10-01,Montana,3,146,133,0.75
covid,2022-10-01,Montana,3,218,133,0.975
covid,2022-10-08,Montana,4,54,101,0.025
covid,2022-10-08,Montana,4,89,101,0.25
covid,2022-10-08,Montana,4,114,101,0.5
covid,2022-10-08,Montana,4,147,101,0.75
covid,2022-10-08,Montana,4,233,101,0.975
covid,2022-09-17,Nebraska,1,102,148,0.025
covid,2022-09-17,Nebraska,1,132,148,0.25
covid,2022-09-17,Nebraska,1,150,148,0.5
covid,2022-09-17,Nebraska,1,171,148,0.75
covid,2022-09-17,Nebraska,1,216,148,0.975
