model,date,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent,epiweek
COVID-19_forecast_model,2022-09-17,33.31846153846154,19.556923076923077,2.1653846153846157,11.596153846153847,0.1007692307692308,0.2788461538461539,51.76923076923077,0.7115384615384616,0.9807692307692307,0.4662632645898941,53.37367354101059,0.5337367354101059,37
COVID-19_forecast_model,2022-09-24,44.856730769230765,22.099038461538463,6.098076923076924,16.659615384615382,0.05461538461538464,0.12788461538461537,78.15384615384613,0.576923076923077,1,0.521823706756528,47.8176293243472,0.478176293243472,38
COVID-19_forecast_model,2022-10-01,57.5075641025641,23.729358974358973,8.066666666666668,25.71153846153846,0.03025641025641026,0.17980769230769228,103.07051282051285,0.5192307692307693,1,0.5707953627903299,42.92046372096701,0.42920463720967006,39
COVID-19_forecast_model,2022-10-08,60.910192307692306,24.845769230769232,11.536538461538461,24.52788461538461,0.04307692307692308,0.1786057692307692,110.39903846153845,0.5625,0.9903846153846154,0.5801459572288544,41.985404277114554,0.4198540427711455,40
COVID-19_forecast_model,2022-10-15,51.792788461538464,23.078365384615385,10.27500000000001,18.43942307692308,0.043076923076923165,0.17355769230769222,89.48557692307692,0.5817307692307689,0.9759615384615385,0.5562751610672144,44.372483893278556,0.4437248389327856,41
COVID-19_forecast_model,2022-10-22,44.10394230769231,22.403942307692308,8.437499999999998,13.262500000000001,0.061346153846153856,0.06850961538461542,75.28846153846153,0.610576923076923,0.9903846153846154,0.5281316589473939,47.18683410526061,0.4718683410526061,42
COVID-19_forecast_model,2022-10-29,36.341153846153844,22.621923076923075,6.108653846153845,7.610576923076923,0.10846153846153847,0.05216346153846158,56,0.7163461538461539,1,0.4872350041883822,51.27649958116179,0.5127649958116178,43
COVID-19_forecast_model,2022-11-05,43.034134615384616,24.270673076923078,4.413461538461534,14.35,0.07192307692307695,0.31033653846153836,65.66346153846153,0.639423076923077,0.9903846153846154,0.5965335555330948,40.34664444669052,0.40346644446690516,44
COVID-19_forecast_model,2022-11-12,57.77355769230769,26.39375,4.601923076923081,26.777884615384615,0.0017307692307692221,0.5278846153846153,102.6201923076923,0.451923076923077,0.9903846153846154,0.7933976102647434,20.660238973525658,0.20660238973525658,45
COVID-19_forecast_model,2022-11-19,76.13923076923078,28.372884615384613,4.500961538461548,43.26538461538461,-0.046346153846153836,0.6151442307692306,137.78365384615387,0.375,0.9567307692307693,1.0004395685582852,-0.043956855828519714,-4.3956855828519714e-4,46
COVID-19_forecast_model,2022-11-26,76.62850961538462,29.56889423076923,7.922115384615386,39.137499999999996,-0.022307692307692268,0.43341346153846155,140.4807692307692,0.4326923076923077,0.9567307692307693,0.8874199068963018,11.258009310369822,0.11258009310369822,47
COVID-19_forecast_model,2022-12-03,67.46067307692307,30.226057692307695,26.279807692307685,10.954807692307698,0.06807692307692312,-0.16730769230769227,117.32692307692314,0.625,0.9903846153846154,0.5650097011011173,43.49902988988828,0.43499029889888274,48
COVID-19_forecast_model,2022-12-10,56.70423076923077,31.680192307692305,14.32403846153847,10.700000000000001,0.0959615384615385,0.09374999999999997,90.61057692307688,0.6875,0.9951923076923077,0.4831346580663828,51.68653419336172,0.5168653419336172,49
COVID-19_forecast_model,2022-12-17,58.33677884615384,33.964663461538464,10.109615384615386,14.262499999999992,0.07288461538461538,0.13100961538461542,87.55288461538458,0.6634615384615385,0.966346153846154,0.5097930576920194,49.02069423079806,0.49020694230798056,50
COVID-19_forecast_model,2022-12-24,67.80201923076923,37.58567307692308,7.910576923076924,22.305769230769222,0.04307692307692311,0.2661057692307692,100.92788461538457,0.5913461538461539,0.9615384615384615,0.6066764113394838,39.33235886605162,0.3933235886605162,51
COVID-19_forecast_model,2022-12-31,91.36793269230769,41.94389423076923,23.943269230769225,25.480769230769226,-0.005961538461538481,0.1564903846153846,156.3605769230769,0.5048076923076922,0.923076923076923,0.6477611848145092,35.223881518549085,0.35223881518549083,52
COVID-19_forecast_model,2023-01-07,129.36048076923078,48.77490384615385,7.593269230769228,72.99230769230769,-0.0867307692307692,0.5240384615384616,223.54326923076917,0.38942307692307704,0.8413461538461539,1.010220581750058,-1.0220581750058022,-0.010220581750058022,1
COVID-19_forecast_model,2023-01-14,158.2245673076923,47.91591346153846,0.31634615384615355,109.99230769230769,-0.14153846153846153,0.7509615384615385,274.9278846153845,0.3173076923076922,0.7788461538461539,1.5765676735842304,-57.656767358423046,-0.5765676735842304,2
COVID-19_forecast_model,2023-01-21,149.02221153846153,42.61163461538462,0.23173076923076935,106.17884615384615,-0.14057692307692304,0.7471153846153846,264.0144230769232,0.2884615384615385,0.8076923076923078,1.1461095909815973,-14.610959098159725,-0.14610959098159726,3
COVID-19_forecast_model,2023-01-28,98.92302884615385,35.043221153846154,1.25576923076923,62.624038461538454,-0.057884615384615354,0.5478365384615385,173.78365384615387,0.40865384615384615,0.8942307692307693,0.6675568010799564,33.244319892004356,0.33244319892004354,4
COVID-19_forecast_model,2023-02-04,45.49884615384615,26.4575,5.648076923076923,13.393269230769231,0.0805769230769231,-0.004086538461538408,72.8125,0.6682692307692307,0.9807692307692307,0.32023347360095633,67.97665263990437,0.6797665263990438,5
COVID-19_forecast_model,2023-02-11,50.596826923076925,20.563173076923075,29.38173076923077,0.651923076923077,-0.02711538461538458,-0.6466346153846154,87.60096153846158,0.4423076923076922,0.9326923076923078,0.4666140013856696,53.33859986143303,0.5333859986143303,6
