model,reference_date,wis,rel_wis,mae,cov_50,cov_95
UM-DeepOutbreak,2023-12-02,65.4,0.86,77.97,31.25,39.42
UM-DeepOutbreak,2023-12-09,80.85,0.7,96.19,33.82,43.63
UM-DeepOutbreak,2023-12-16,96.04,0.69,117.31,34.62,50
UM-DeepOutbreak,2023-12-23,76.91,0.67,103.72,33.65,37.98
UM-DeepOutbreak,2023-12-30,104.31,1.65,150.14,67.31,77.4
UM-DeepOutbreak,2024-01-06,110.24,1.36,145.27,72.34,78.19
UM-DeepOutbreak,2024-01-13,69.54,0.72,77.3,85.58,90.38
UM-DeepOutbreak,2024-01-20,69.14,1.16,53.49,92.31,95.67
UM-DeepOutbreak,2024-01-27,76.78,1.72,83.65,93.75,96.15
UM-DeepOutbreak,2024-02-03,45.18,1.03,56.74,66.83,94.71
UM-DeepOutbreak,2024-02-10,43.85,1.2,54.26,70.19,96.15
UM-DeepOutbreak,2024-02-17,42.54,1.29,50.84,70.19,94.23
UM-DeepOutbreak,2024-02-24,38.58,1.29,43.64,76.92,97.12
UM-DeepOutbreak,2024-03-02,38.02,1.19,44.95,84.13,99.04
UM-DeepOutbreak,2024-03-09,43.57,0.95,63.21,74.04,96.63
UM-DeepOutbreak,2024-03-16,43.3,1.03,61.81,64.9,95.67
UM-DeepOutbreak,2024-03-23,30.05,1.1,36.66,77.4,99.04
UM-DeepOutbreak,2024-03-30,26.45,1.26,25.52,87.5,99.52
UM-DeepOutbreak,2024-04-06,25.57,1.09,27.35,90.38,100
UM-DeepOutbreak,2024-04-13,25.37,1.04,32.81,83.97,99.36
UM-DeepOutbreak,2024-04-20,16.96,0.9,19.92,89.42,100
UM-DeepOutbreak,2024-04-27,13.44,1.34,17.16,82.69,100
UMass-flusion,2023-10-14,11.25,1.18,16.27,68.75,100
UMass-flusion,2023-10-21,9.73,0.82,13.68,64.42,96.15
UMass-flusion,2023-10-28,10.9,0.69,15.3,67.31,97.12
UMass-flusion,2023-11-04,12.96,0.66,18.84,65.87,98.08
UMass-flusion,2023-11-11,16.54,0.63,26.5,66.83,98.56
UMass-flusion,2023-11-18,18.78,0.56,25.45,66.83,98.56
UMass-flusion,2023-11-25,22.05,0.51,33.39,73.56,100
UMass-flusion,2023-12-02,31.47,0.41,48.6,65.87,99.04
UMass-flusion,2023-12-09,46.62,0.4,70.67,55.39,96.08
UMass-flusion,2023-12-16,57.06,0.42,82.37,50,92.16
UMass-flusion,2023-12-23,52.99,0.46,77.81,47.12,88.46
UMass-flusion,2023-12-30,59.9,0.94,99.36,61.06,94.23
UMass-flusion,2024-01-06,75.63,0.79,122.23,43.27,93.75
UMass-flusion,2024-01-13,53.9,0.55,82.66,46.15,98.56
UMass-flusion,2024-01-20,32.16,0.53,50.18,60.58,99.52
UMass-flusion,2024-01-27,43.24,0.95,68.89,32.69,96.63
UMass-flusion,2024-02-03,43.07,0.94,67.06,38.46,90.38
UMass-flusion,2024-02-10,45.42,1.19,72.2,33.65,93.27
UMass-flusion,2024-02-17,36.33,0.99,59.68,37.02,92.31
UMass-flusion,2024-02-24,23.7,0.77,35.44,57.21,94.23
UMass-flusion,2024-03-02,20.86,0.63,30.65,64.9,95.19
UMass-flusion,2024-03-09,21.2,0.46,34.72,63.46,99.52
UMass-flusion,2024-03-16,17.48,0.41,25.84,72.6,100
UMass-flusion,2024-03-23,14.65,0.53,21.17,74.52,100
UMass-flusion,2024-03-30,13.95,0.65,22.13,61.06,99.52
UMass-flusion,2024-04-06,10.23,0.43,13.35,72.6,99.04
UMass-flusion,2024-04-13,9.63,0.4,14.21,64.74,99.36
UMass-flusion,2024-04-20,8.55,0.45,13.09,58.65,99.04
UMass-flusion,2024-04-27,6.3,0.6,8.79,61.54,98.08
UMass-trends_ensemble,2023-10-14,8.36,0.83,12.01,77.88,97.12
UMass-trends_ensemble,2023-10-21,9.51,0.79,15.13,73.56,98.08
UMass-trends_ensemble,2023-10-28,12.12,0.79,18.83,71.63,98.08
UMass-trends_ensemble,2023-11-04,17.61,0.92,29.02,61.54,94.71
UMass-trends_ensemble,2023-11-11,23.51,0.92,36.05,56.73,90.38
UMass-trends_ensemble,2023-11-18,24.73,0.77,42.14,60.1,94.23
UMass-trends_ensemble,2023-11-25,33.61,0.78,53.87,45.19,87.98
UMass-trends_ensemble,2023-12-02,60.11,0.8,89.03,36.06,71.15
UMass-trends_ensemble,2023-12-09,85.83,0.75,127.25,32.35,66.67
UMass-trends_ensemble,2023-12-16,100.91,0.75,150.53,20.59,67.16
UMass-trends_ensemble,2023-12-23,79.35,0.69,119.75,31.73,73.56
UMass-trends_ensemble,2023-12-30,72.96,1.16,108.38,53.37,86.54
UMass-trends_ensemble,2024-01-06,132.66,1.39,204.79,36.54,92.31
UMass-trends_ensemble,2024-01-13,95.45,0.98,156.8,46.15,99.04
UMass-trends_ensemble,2024-01-20,55.46,0.92,87.18,72.12,98.56
UMass-trends_ensemble,2024-01-27,39.01,0.87,52.99,80.29,99.04
UMass-trends_ensemble,2024-02-03,39.46,0.89,54.97,79.33,96.63
UMass-trends_ensemble,2024-02-10,35.14,0.94,51.52,80.77,98.56
UMass-trends_ensemble,2024-02-17,33.71,0.95,47.6,75.48,97.12
UMass-trends_ensemble,2024-02-24,30.09,0.97,41.27,75,98.08
UMass-trends_ensemble,2024-03-02,33.46,1,46.4,73.56,97.12
UMass-trends_ensemble,2024-03-09,41.05,0.88,67.03,62.98,97.12
UMass-trends_ensemble,2024-03-16,34.68,0.8,58.34,60.1,95.67
UMass-trends_ensemble,2024-03-23,42.29,1.49,71.49,61.06,93.27
UMass-trends_ensemble,2024-03-30,19.84,0.92,27.16,86.06,100
UMass-trends_ensemble,2024-04-06,20.18,0.84,31.67,82.69,99.52
UMass-trends_ensemble,2024-04-13,21.15,0.84,35.46,66.03,98.08
UMass-trends_ensemble,2024-04-20,15.7,0.83,26.58,71.15,98.08
UMass-trends_ensemble,2024-04-27,9.13,0.86,14.21,78.85,100
UNC_IDD-InfluPaint,2023-11-11,29.58,1.16,36.59,25.49,58.33
UNC_IDD-InfluPaint,2023-11-18,30.47,0.93,42.25,26.96,70.1
UNC_IDD-InfluPaint,2023-11-25,34.07,0.76,48.83,27.45,78.92
UNC_IDD-InfluPaint,2023-12-09,49.6,0.42,80.73,42.5,90
UNC_IDD-InfluPaint,2023-12-16,66.66,0.46,96.82,39.22,77.94
UNC_IDD-InfluPaint,2023-12-23,68.31,0.59,103.53,34.31,79.9
UNC_IDD-InfluPaint,2023-12-30,143.79,2.23,213.5,15.2,54.9
UNC_IDD-InfluPaint,2024-01-06,290.24,2.95,390.21,2.94,24.02
UNC_IDD-InfluPaint,2024-01-13,141.05,1.4,198.43,5.88,39.71
UNC_IDD-InfluPaint,2024-01-20,50.81,0.82,74.57,30.39,76.96
UNC_IDD-InfluPaint,2024-01-27,78.15,1.65,103.15,21.08,60.78
UNC_IDD-InfluPaint,2024-02-03,82.11,1.71,105.74,12.75,45.59
UNC_IDD-InfluPaint,2024-02-10,49.72,1.37,73.44,38.24,74.02
UNC_IDD-InfluPaint,2024-02-17,36.41,0.95,53.34,28.43,75.49
UNC_IDD-InfluPaint,2024-02-24,29.79,0.92,45.8,36.76,85.29
UNC_IDD-InfluPaint,2024-03-02,31.2,0.89,45.91,42.16,87.25
UNC_IDD-InfluPaint,2024-03-09,34.74,0.71,51.42,27.94,77.94
UNC_IDD-InfluPaint,2024-03-16,22.65,0.51,34.7,34.8,86.76
UNC_IDD-InfluPaint,2024-03-23,20.31,0.73,29.44,30.88,87.25
UNC_IDD-InfluPaint,2024-03-30,24.91,1.14,33.53,25.49,69.12
UNC_IDD-InfluPaint,2024-04-13,10.85,0.45,17.72,40.52,94.77
UNC_IDD-InfluPaint,2024-04-20,10.75,0.57,16.52,51.96,93.14
UNC_IDD-InfluPaint,2024-04-27,8.61,0.8,13.85,47.06,96.08
UVAFluX-Ensemble,2023-10-14,9.38,0.88,12.35,28.85,62.02
UVAFluX-Ensemble,2023-10-21,12.13,1,15.85,32.69,70.67
UVAFluX-Ensemble,2023-10-28,14.99,0.97,19.3,35.58,69.71
UVAFluX-Ensemble,2023-11-04,21.23,1.1,27.12,23.56,58.65
UVAFluX-Ensemble,2023-11-11,25.99,1.02,32.9,32.21,60.1
UVAFluX-Ensemble,2023-11-18,27.83,0.85,37.81,27.88,58.65
UVAFluX-Ensemble,2023-11-25,36.92,0.82,45.58,25,48.56
UVAFluX-Ensemble,2023-12-02,60.68,0.8,72.37,16.35,38.94
UVAFluX-Ensemble,2023-12-09,69.83,0.6,88.71,23.04,47.06
UVAFluX-Ensemble,2023-12-16,75.22,0.53,105.55,30.29,76.44
UVAFluX-Ensemble,2023-12-23,68.69,0.6,100.58,36.06,79.33
UVAFluX-Ensemble,2023-12-30,140.65,2.24,202.24,33.17,77.4
UVAFluX-Ensemble,2024-01-06,273.88,2.88,375.15,15.87,46.63
UVAFluX-Ensemble,2024-01-13,117.81,1.2,184.48,10.1,74.04
UVAFluX-Ensemble,2024-01-20,51.67,0.84,77.08,56.25,92.79
UVAFluX-Ensemble,2024-01-27,42.7,0.97,66.36,50,96.63
UVAFluX-Ensemble,2024-02-03,38.67,0.85,54.67,70.19,95.67
UVAFluX-Ensemble,2024-02-10,35.19,0.94,54.33,47.12,94.23
UVAFluX-Ensemble,2024-02-17,34.22,0.96,52.8,45.67,93.27
UVAFluX-Ensemble,2024-02-24,31.19,1.01,44.66,62.02,94.23
UVAFluX-Ensemble,2024-03-02,38.44,1.16,56.13,61.06,88.94
UVAFluX-Ensemble,2024-03-09,47.83,0.99,72.43,42.79,85.1
UVAFluX-Ensemble,2024-03-16,40.52,0.92,60.73,41.83,84.13
UVAFluX-Ensemble,2024-03-23,21.74,0.76,35,53.85,98.56
UVAFluX-Ensemble,2024-03-30,17.06,0.78,26.46,58.17,97.12
UVAFluX-Ensemble,2024-04-06,15.35,0.64,24.29,51.92,100
UVAFluX-Ensemble,2024-04-13,16.78,0.68,27.74,50,99.36
UVAFluX-Ensemble,2024-04-27,8.15,0.77,13.37,67.31,98.08
VTSanghani-Ensemble,2023-10-14,37.41,3.78,51.46,29.81,67.31
VTSanghani-Ensemble,2023-10-21,19.5,1.66,24.3,11.54,62.98
VTSanghani-Ensemble,2023-10-28,28.39,1.66,33.25,18.75,63.94
VTSanghani-Ensemble,2023-11-04,34.69,1.72,39.78,18.75,63.94
VTSanghani-Ensemble,2023-11-11,33.82,1.3,49.24,57.21,91.83
VTSanghani-Ensemble,2023-11-18,43.97,1.36,63.08,72.6,89.9
VTSanghani-Ensemble,2023-11-25,65.38,1.51,85.64,34.62,69.71
VTSanghani-Ensemble,2023-12-02,75.3,1,88.23,13.46,29.33
VTSanghani-Ensemble,2023-12-09,125,1.09,142.07,8.82,20.59
VTSanghani-Ensemble,2023-12-16,126.67,0.9,147.13,7.21,23.56
VTSanghani-Ensemble,2023-12-23,124.95,1.07,147.93,8.65,20.67
VTSanghani-Ensemble,2023-12-30,80.08,1.25,105.45,21.63,48.56
VTSanghani-Ensemble,2024-01-06,82.95,0.9,118.55,18.75,49.52
VTSanghani-Ensemble,2024-01-13,162.09,1.71,216.31,4.33,25.48
VTSanghani-Ensemble,2024-01-27,77.11,1.73,101.48,15.38,35.58
VTSanghani-Ensemble,2024-02-10,56.34,1.54,72.64,27.88,51.92
VTSanghani-Ensemble,2024-02-17,55.5,1.6,72.84,23.08,51.44
VTSanghani-Ensemble,2024-02-24,42.51,1.4,57.86,25.48,54.81
VTSanghani-Ensemble,2024-03-02,37.22,1.15,51.51,27.4,59.62
VTSanghani-Ensemble,2024-03-16,77,1.84,96.2,7.21,18.27
VTSanghani-Ensemble,2024-03-23,87.91,3.23,111.91,8.17,23.08
VTSanghani-Ensemble,2024-04-06,25.34,1.11,39.62,24.04,64.42
VTSanghani-Ensemble,2024-04-13,27.58,1.12,37.4,26.28,55.77
VTSanghani-Ensemble,2024-04-20,19.71,1.04,27.12,14.42,49.04
VTSanghani-Ensemble,2024-04-27,11.17,1.07,15.94,7.69,36.54
cfarenewal-cfaepimlight,2023-10-14,20.79,1.93,18.5,61.06,98.08
cfarenewal-cfaepimlight,2023-10-21,11.28,0.95,16.09,55.77,97.12
cfarenewal-cfaepimlight,2023-10-28,14.2,0.92,20.3,48.08,96.63
cfarenewal-cfaepimlight,2023-11-04,19.72,1.03,27.74,40.38,92.31
cfarenewal-cfaepimlight,2023-11-11,25.56,0.98,34.94,48.08,94.23
cfarenewal-cfaepimlight,2023-11-18,28.94,0.9,42.92,50.48,97.12
cfarenewal-cfaepimlight,2023-11-25,35.73,0.83,52.1,54.81,96.15
cfarenewal-cfaepimlight,2023-12-02,46.64,0.62,74,42.79,95.19
cfarenewal-cfaepimlight,2023-12-09,67.09,0.58,99.61,45.1,89.71
cfarenewal-cfaepimlight,2023-12-16,90.98,0.67,140.3,36.54,87.98
cfarenewal-cfaepimlight,2023-12-23,71.73,0.63,105.66,40.38,89.9
cfarenewal-cfaepimlight,2023-12-30,99.85,1.6,152.08,44.71,91.83
cfarenewal-cfaepimlight,2024-01-06,145.27,1.46,221.26,32.21,84.13
cfarenewal-cfaepimlight,2024-01-13,62.88,0.64,100.81,49.52,98.08
cfarenewal-cfaepimlight,2024-01-20,68.8,1.13,109.7,24.52,90.38
cfarenewal-cfaepimlight,2024-01-27,75.28,1.66,117.28,15.87,79.81
cfarenewal-cfaepimlight,2024-02-03,53.59,1.17,83.63,39.42,90.87
cfarenewal-cfaepimlight,2024-02-10,51.08,1.36,83.67,38.46,92.79
cfarenewal-cfaepimlight,2024-02-17,43.2,1.23,70.37,34,92.5
cfarenewal-cfaepimlight,2024-02-24,37.18,1.22,60.36,47.6,94.23
cfarenewal-cfaepimlight,2024-03-02,29.18,0.87,44.33,50.51,95.41
cfarenewal-cfaepimlight,2024-03-09,25.42,0.5,37.12,60,99.44
cfarenewal-cfaepimlight,2024-03-16,20.39,0.49,32.4,61.06,98.08
cfarenewal-cfaepimlight,2024-03-23,20.98,0.76,32.47,52.88,98.56
cfarenewal-cfaepimlight,2024-03-30,18.82,0.86,31.14,37.75,97.06
cfarenewal-cfaepimlight,2024-04-06,10.96,0.45,16.14,61.5,99.5
cfarenewal-cfaepimlight,2024-04-13,13.39,0.55,21.19,58.17,98.04
cfarenewal-cfaepimlight,2024-04-20,9.77,0.5,15.57,54,96
cfarenewal-cfaepimlight,2024-04-27,6.26,0.59,9.76,56.86,96.08
fjordhest-ensemble,2023-10-14,11.12,1.14,12.58,83.65,95.19
fjordhest-ensemble,2023-10-21,10.08,0.84,16.05,67.79,93.75
fjordhest-ensemble,2023-10-28,11.15,0.72,18.43,55.77,96.63
fjordhest-ensemble,2023-11-04,16.45,0.86,27.24,40.87,94.23
fjordhest-ensemble,2023-11-11,23.02,0.9,35.95,35.1,87.02
fjordhest-ensemble,2023-11-18,22.84,0.7,37.06,40.38,88.94
fjordhest-ensemble,2023-11-25,30.21,0.69,45.83,37.02,88.46
fjordhest-ensemble,2023-12-02,49.84,0.66,81.2,26.44,84.62
fjordhest-ensemble,2023-12-09,71.02,0.61,114.22,26.96,79.9
fjordhest-ensemble,2023-12-16,90.17,0.64,134.4,23.08,72.6
fjordhest-ensemble,2023-12-23,66.47,0.58,101.5,35.1,80.77
fjordhest-ensemble,2023-12-30,95.6,1.52,147.44,37.02,85.58
fjordhest-ensemble,2024-01-06,202,2.11,311.48,18.27,65.38
fjordhest-ensemble,2024-01-13,97.78,1,152.13,13.94,75
fjordhest-ensemble,2024-01-20,43.38,0.72,71.35,40.87,91.35
fjordhest-ensemble,2024-01-27,36.83,0.83,60.21,46.63,93.75
fjordhest-ensemble,2024-02-03,34.69,0.79,53.24,62.98,95.19
fjordhest-ensemble,2024-02-10,31.46,0.85,50.04,58.17,98.08
fjordhest-ensemble,2024-02-17,28.97,0.84,45.97,57.69,98.08
fjordhest-ensemble,2024-02-24,25.86,0.85,36.19,67.31,95.19
fjordhest-ensemble,2024-03-02,28.08,0.86,40.65,62.5,96.63
fjordhest-ensemble,2024-03-09,30.97,0.67,51.1,49.04,95.67
fjordhest-ensemble,2024-03-16,22.82,0.54,34.51,50.96,92.79
fjordhest-ensemble,2024-03-23,15.51,0.57,21.71,69.23,98.08
fjordhest-ensemble,2024-03-30,15.1,0.7,24.69,48.56,98.08
fjordhest-ensemble,2024-04-06,11.16,0.47,17.93,53.85,98.56
fjordhest-ensemble,2024-04-13,13.45,0.55,20.84,59.62,99.36
fjordhest-ensemble,2024-04-20,11.33,0.6,17.76,45.19,94.23
fjordhest-ensemble,2024-04-27,7.03,0.66,11.2,28.85,88.46
