reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.01,507
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.025,549
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.05,580
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.1,617
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.15,645
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.2,668
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.25,689
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.3,707
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.35,726
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.4,741
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.45,758
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.5,775
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.55,792
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.6,809
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.65,828
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.7,850
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.75,873
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.8,902
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.85,929
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.9,970
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.95,1030
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.975,1086
2023-01-07,inc hosp,1,2023-01-14,Alabama,quantile,0.99,1163
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.01,407
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.025,451
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.05,488
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.1,538
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.15,575
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.2,600
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.25,626
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.3,650
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.35,672
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.4,696
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.45,718
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.5,739
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.55,761
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.6,785
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.65,809
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.7,836
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.75,871
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.8,906
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.85,948
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.9,1007
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.95,1114
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.975,1212
2023-01-07,inc hosp,2,2023-01-21,Alabama,quantile,0.99,1329
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.01,329
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.025,363
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.05,404
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.1,449
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.15,487
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.2,518
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.25,546
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.3,573
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.35,595
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.4,623
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.45,647
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.5,671
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.55,693
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.6,721
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.65,750
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.7,781
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.75,821
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.8,859
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.85,911
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.9,978
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.95,1098
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.975,1207
2023-01-07,inc hosp,3,2023-01-28,Alabama,quantile,0.99,1330
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.01,259
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.025,293
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.05,327
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.1,373
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.15,409
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.2,437
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.25,463
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.3,488
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.35,509
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.4,533
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.45,558
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.5,582
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.55,607
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.6,631
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.65,662
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.7,694
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.75,730
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.8,780
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.85,831
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.9,899
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.95,1019
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.975,1138
2023-01-07,inc hosp,4,2023-02-04,Alabama,quantile,0.99,1279
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.01,15
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.025,17
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.05,20
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.1,23
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.15,26
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.2,28
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.25,30
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.3,32
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.35,34
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.4,35
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.45,37
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.5,39
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.55,40
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.6,42
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.65,45
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.7,47
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.75,49
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.8,52
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.85,56
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.9,61
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.95,70
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.975,78
2023-01-07,inc hosp,1,2023-01-14,Alaska,quantile,0.99,88
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.01,11
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.025,13
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.05,16
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.1,20
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.15,22
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.2,24
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.25,27
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.3,29
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.35,31
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.4,33
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.45,35
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.5,37
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.55,40
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.6,42
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.65,45
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.7,48
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.75,51
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.8,56
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.85,61
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.9,68
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.95,81
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.975,92
2023-01-07,inc hosp,2,2023-01-21,Alaska,quantile,0.99,109
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.01,8
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.025,10
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.05,13
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.1,16
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.15,19
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.2,21
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.25,23
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.3,25
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.35,27
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.4,30
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.45,31
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.5,34
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.55,37
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.6,39
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.65,43
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.7,46
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.75,50
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.8,55
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.85,61
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.9,70
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.95,86
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.975,101
2023-01-07,inc hosp,3,2023-01-28,Alaska,quantile,0.99,126
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.01,6
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.025,8
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.05,10
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.1,13
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.15,15
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.2,17
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.25,20
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.3,22
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.35,24
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.4,26
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.45,28
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.5,31
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.55,33
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.6,36
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.65,38
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.7,42
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.75,45
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.8,50
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.85,57
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.9,66
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.95,83
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.975,102
2023-01-07,inc hosp,4,2023-02-04,Alaska,quantile,0.99,130
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.01,480
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.025,515
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.05,543
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.1,578
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.15,602
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.2,623
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.25,640
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.3,655
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.35,672
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.4,687
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.45,702
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.5,718
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.55,734
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.6,750
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.65,768
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.7,785
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.75,803
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.8,826
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.85,854
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.9,890
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.95,944
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.975,1000
2023-01-07,inc hosp,1,2023-01-14,Arizona,quantile,0.99,1065
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.01,399
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.025,435
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.05,465
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.1,507
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.15,537
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.2,563
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.25,587
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.3,608
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.35,628
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.4,650
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.45,669
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.5,691
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.55,712
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.6,733
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.65,753
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.7,779
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.75,808
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.8,841
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.85,883
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.9,930
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.95,1021
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.975,1097
2023-01-07,inc hosp,2,2023-01-21,Arizona,quantile,0.99,1203
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.01,335
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.025,368
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.05,396
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.1,438
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.15,468
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.2,494
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.25,519
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.3,542
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.35,564
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.4,584
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.45,604
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.5,628
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.55,652
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.6,676
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.65,701
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.7,729
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.75,764
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.8,799
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.85,845
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.9,910
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.95,1014
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.975,1118
2023-01-07,inc hosp,3,2023-01-28,Arizona,quantile,0.99,1239
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.01,272
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.025,300
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.05,325
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.1,364
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.15,394
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.2,420
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.25,444
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.3,467
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.35,488
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.4,510
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.45,532
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.5,552
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.55,576
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.6,599
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.65,627
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.7,656
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.75,688
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.8,727
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.85,779
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.9,843
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.95,950
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.975,1065
2023-01-07,inc hosp,4,2023-02-04,Arizona,quantile,0.99,1195
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.01,311
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.025,329
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.05,349
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.1,371
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.15,387
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.2,400
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.25,412
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.3,423
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.35,433
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.4,442
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.45,453
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.5,462
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.55,473
2023-01-07,inc hosp,1,2023-01-14,Arkansas,quantile,0.6,483
