reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.01,298
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.025,319
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.05,336
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.1,358
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.15,375
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.2,388
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.25,400
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.3,412
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.35,421
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.4,431
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.45,441
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.5,451
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.55,461
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.6,472
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.65,482
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.7,494
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.75,509
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.8,525
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.85,542
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.9,566
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.95,602
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.975,633
2023-08-26,inc hosp,1,2023-09-02,Alabama,quantile,0.99,671
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.01,251
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.025,278
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.05,302
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.1,331
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.15,351
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.2,367
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.25,381
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.3,396
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.35,410
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.4,423
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.45,437
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.5,450
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.55,465
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.6,480
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.65,495
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.7,511
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.75,530
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.8,552
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.85,575
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.9,605
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.95,661
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.975,722
2023-08-26,inc hosp,2,2023-09-09,Alabama,quantile,0.99,776
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.01,220
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.025,246
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.05,268
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.1,302
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.15,325
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.2,346
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.25,363
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.3,379
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.35,395
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.4,411
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.45,424
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.5,440
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.55,456
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.6,474
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.65,493
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.7,513
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.75,535
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.8,561
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.85,595
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.9,637
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.95,701
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.975,771
2023-08-26,inc hosp,3,2023-09-16,Alabama,quantile,0.99,863
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.01,198
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.025,221
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.05,246
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.1,278
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.15,301
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.2,323
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.25,344
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.3,360
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.35,378
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.4,395
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.45,411
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.5,428
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.55,445
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.6,464
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.65,486
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.7,507
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.75,534
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.8,564
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.85,599
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.9,650
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.95,737
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.975,811
2023-08-26,inc hosp,4,2023-09-23,Alabama,quantile,0.99,917
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.01,9
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.025,11
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.05,14
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.1,16
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.15,17
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.2,19
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.25,20
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.3,22
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.35,23
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.4,24
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.45,26
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.5,27
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.55,28
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.6,30
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.65,31
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.7,33
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.75,35
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.8,37
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.85,39
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.9,43
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.95,49
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.975,55
2023-08-26,inc hosp,1,2023-09-02,Alaska,quantile,0.99,62
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.01,8
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.025,10
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.05,12
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.1,14
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.15,16
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.2,18
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.25,20
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.3,21
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.35,23
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.4,24
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.45,26
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.5,28
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.55,29
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.6,31
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.65,33
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.7,35
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.75,37
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.8,40
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.85,44
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.9,48
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.95,57
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.975,67
2023-08-26,inc hosp,2,2023-09-09,Alaska,quantile,0.99,78
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.01,6
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.025,8
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.05,10
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.1,13
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.15,15
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.2,17
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.25,18
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.3,20
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.35,22
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.4,24
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.45,25
2023-08-26,inc hosp,3,2023-09-16,Alaska,quantile,0.5,27
