reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.01,179
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.025,192
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.05,205
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.1,221
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.15,231
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.2,240
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.25,247
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.3,254
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.35,261
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.4,268
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.45,274
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.5,280
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.55,287
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.6,295
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.65,302
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.7,309
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.75,318
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.8,328
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.85,340
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.9,353
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.95,378
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.975,402
2022-11-26,inc hosp,1,2022-12-03,Alabama,quantile,0.99,428
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.01,174
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.025,191
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.05,210
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.1,230
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.15,244
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.2,257
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.25,268
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.3,277
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.35,287
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.4,297
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.45,307
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.5,316
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.55,327
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.6,337
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.65,347
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.7,360
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.75,375
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.8,390
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.85,409
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.9,434
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.95,476
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.975,510
2022-11-26,inc hosp,2,2022-12-10,Alabama,quantile,0.99,547
2022-11-26,inc hosp,3,2022-12-17,Alabama,quantile,0.01,169
2022-11-26,inc hosp,3,2022-12-17,Alabama,quantile,0.025,190
