reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.01,323
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.025,340
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.05,356
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.1,379
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.15,398
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.2,412
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.25,424
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.3,434
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.35,446
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.4,457
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.45,468
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.5,477
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.55,487
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.6,497
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.65,509
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.7,521
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.75,537
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.8,552
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.85,571
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.9,595
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.95,633
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.975,667
2023-09-02,inc hosp,1,2023-09-09,Alabama,quantile,0.99,711
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.01,263
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.025,290
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.05,313
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.1,341
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.15,360
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.2,376
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.25,394
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.3,408
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.35,423
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.4,437
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.45,451
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.5,465
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.55,478
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.6,492
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.65,507
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.7,525
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.75,543
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.8,568
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.85,593
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.9,632
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.95,688
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.975,738
2023-09-02,inc hosp,2,2023-09-16,Alabama,quantile,0.99,814
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.01,223
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.025,254
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.05,278
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.1,310
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.15,332
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.2,352
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.25,369
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.3,386
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.35,403
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.4,420
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.45,435
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.5,449
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.55,468
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.6,485
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.65,504
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.7,525
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.75,547
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.8,573
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.85,607
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.9,653
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.95,723
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.975,796
2023-09-02,inc hosp,3,2023-09-23,Alabama,quantile,0.99,873
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.01,201
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.025,229
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.05,252
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.1,284
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.15,307
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.2,327
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.25,344
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.3,364
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.35,380
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.4,397
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.45,415
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.5,432
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.55,453
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.6,474
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.65,495
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.7,518
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.75,544
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.8,574
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.85,614
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.9,667
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.95,754
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.975,839
2023-09-02,inc hosp,4,2023-09-30,Alabama,quantile,0.99,932
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.01,12
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.025,15
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.05,17
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.1,20
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.15,22
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.2,24
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.25,25
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.3,27
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.35,28
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.4,30
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.45,31
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.5,33
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.55,35
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.6,36
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.65,38
2023-09-02,inc hosp,1,2023-09-09,Alaska,quantile,0.7,40
