reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.01,190
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.025,202
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.05,215
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.1,233
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.15,245
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.2,253
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.25,260
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.3,267
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.35,273
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.4,280
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.45,286
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.5,293
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.55,299
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.6,306
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.65,314
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.7,321
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.75,329
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.8,339
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.85,351
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.9,366
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.95,388
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.975,408
2024-02-10,inc hosp,1,2024-02-17,Alabama,quantile,0.99,437
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.01,145
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.025,159
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.05,173
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.1,189
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.15,201
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.2,210
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.25,220
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.3,229
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.35,235
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.4,242
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.45,250
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.5,257
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.55,265
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.6,273
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.65,282
2024-02-10,inc hosp,2,2024-02-24,Alabama,quantile,0.7,293
