reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2023-10-14,inc hosp,1,2023-10-21,California,quantile,0.025,12,33.1436
2023-10-14,inc hosp,1,2023-10-21,California,quantile,0.25,23,33.1436
2023-10-14,inc hosp,1,2023-10-21,California,quantile,0.5,31,33.1436
2023-10-14,inc hosp,1,2023-10-21,California,quantile,0.75,41,33.1436
2023-10-14,inc hosp,1,2023-10-21,California,quantile,0.975,66,33.1436
2023-10-14,inc hosp,2,2023-10-28,California,quantile,0.025,12,40.1546
2023-10-14,inc hosp,2,2023-10-28,California,quantile,0.25,25,40.1546
2023-10-14,inc hosp,2,2023-10-28,California,quantile,0.5,36,40.1546
2023-10-14,inc hosp,2,2023-10-28,California,quantile,0.75,50,40.1546
2023-10-14,inc hosp,2,2023-10-28,California,quantile,0.975,95,40.1546
2023-10-14,inc hosp,3,2023-11-04,California,quantile,0.025,12,47.948
2023-10-14,inc hosp,3,2023-11-04,California,quantile,0.25,27,47.948
2023-10-14,inc hosp,3,2023-11-04,California,quantile,0.5,41,47.948
2023-10-14,inc hosp,3,2023-11-04,California,quantile,0.75,60,47.948
2023-10-14,inc hosp,3,2023-11-04,California,quantile,0.975,127,47.948
2023-10-14,inc hosp,4,2023-11-11,California,quantile,0.025,12,57.602
2023-10-14,inc hosp,4,2023-11-11,California,quantile,0.25,30,57.602
2023-10-14,inc hosp,4,2023-11-11,California,quantile,0.5,47,57.602
2023-10-14,inc hosp,4,2023-11-11,California,quantile,0.75,72,57.602
2023-10-14,inc hosp,4,2023-11-11,California,quantile,0.975,166,57.602
2023-10-14,inc hosp,1,2023-10-21,Colorado,quantile,0.025,7,19.5858
2023-10-14,inc hosp,1,2023-10-21,Colorado,quantile,0.25,13,19.5858
2023-10-14,inc hosp,1,2023-10-21,Colorado,quantile,0.5,18,19.5858
2023-10-14,inc hosp,1,2023-10-21,Colorado,quantile,0.75,24,19.5858
2023-10-14,inc hosp,1,2023-10-21,Colorado,quantile,0.975,41,19.5858
2023-10-14,inc hosp,2,2023-10-28,Colorado,quantile,0.025,6,24.1098
2023-10-14,inc hosp,2,2023-10-28,Colorado,quantile,0.25,15,24.1098
2023-10-14,inc hosp,2,2023-10-28,Colorado,quantile,0.5,22,24.1098
2023-10-14,inc hosp,2,2023-10-28,Colorado,quantile,0.75,31,24.1098
2023-10-14,inc hosp,2,2023-10-28,Colorado,quantile,0.975,56,24.1098
2023-10-14,inc hosp,3,2023-11-04,Colorado,quantile,0.025,6,29.5934
2023-10-14,inc hosp,3,2023-11-04,Colorado,quantile,0.25,17,29.5934
2023-10-14,inc hosp,3,2023-11-04,Colorado,quantile,0.5,25,29.5934
2023-10-14,inc hosp,3,2023-11-04,Colorado,quantile,0.75,38,29.5934
2023-10-14,inc hosp,3,2023-11-04,Colorado,quantile,0.975,81,29.5934
2023-10-14,inc hosp,4,2023-11-11,Colorado,quantile,0.025,7,35.5518
2023-10-14,inc hosp,4,2023-11-11,Colorado,quantile,0.25,18,35.5518
2023-10-14,inc hosp,4,2023-11-11,Colorado,quantile,0.5,29,35.5518
2023-10-14,inc hosp,4,2023-11-11,Colorado,quantile,0.75,45,35.5518
2023-10-14,inc hosp,4,2023-11-11,Colorado,quantile,0.975,102,35.5518
2023-10-14,inc hosp,1,2023-10-21,Connecticut,quantile,0.025,4,14.6732
2023-10-14,inc hosp,1,2023-10-21,Connecticut,quantile,0.25,10,14.6732
2023-10-14,inc hosp,1,2023-10-21,Connecticut,quantile,0.5,14,14.6732
2023-10-14,inc hosp,1,2023-10-21,Connecticut,quantile,0.75,18,14.6732
2023-10-14,inc hosp,1,2023-10-21,Connecticut,quantile,0.975,32,14.6732
2023-10-14,inc hosp,2,2023-10-28,Connecticut,quantile,0.025,4,17.5844
2023-10-14,inc hosp,2,2023-10-28,Connecticut,quantile,0.25,10,17.5844
2023-10-14,inc hosp,2,2023-10-28,Connecticut,quantile,0.5,16,17.5844
2023-10-14,inc hosp,2,2023-10-28,Connecticut,quantile,0.75,22,17.5844
2023-10-14,inc hosp,2,2023-10-28,Connecticut,quantile,0.975,43,17.5844
2023-10-14,inc hosp,3,2023-11-04,Connecticut,quantile,0.025,4,21.378
2023-10-14,inc hosp,3,2023-11-04,Connecticut,quantile,0.25,12,21.378
2023-10-14,inc hosp,3,2023-11-04,Connecticut,quantile,0.5,18,21.378
2023-10-14,inc hosp,3,2023-11-04,Connecticut,quantile,0.75,28,21.378
2023-10-14,inc hosp,3,2023-11-04,Connecticut,quantile,0.975,56,21.378
2023-10-14,inc hosp,4,2023-11-11,Connecticut,quantile,0.025,5,25.3978
2023-10-14,inc hosp,4,2023-11-11,Connecticut,quantile,0.25,13,25.3978
2023-10-14,inc hosp,4,2023-11-11,Connecticut,quantile,0.5,21,25.3978
2023-10-14,inc hosp,4,2023-11-11,Connecticut,quantile,0.75,32,25.3978
2023-10-14,inc hosp,4,2023-11-11,Connecticut,quantile,0.975,74,25.3978
2023-10-14,inc hosp,1,2023-10-21,Georgia,quantile,0.025,69,147.1794
2023-10-14,inc hosp,1,2023-10-21,Georgia,quantile,0.25,110,147.1794
2023-10-14,inc hosp,1,2023-10-21,Georgia,quantile,0.5,140,147.1794
2023-10-14,inc hosp,1,2023-10-21,Georgia,quantile,0.75,175,147.1794
2023-10-14,inc hosp,1,2023-10-21,Georgia,quantile,0.975,270,147.1794
2023-10-14,inc hosp,2,2023-10-28,Georgia,quantile,0.025,63,176.256
2023-10-14,inc hosp,2,2023-10-28,Georgia,quantile,0.25,117,176.256
2023-10-14,inc hosp,2,2023-10-28,Georgia,quantile,0.5,159,176.256
2023-10-14,inc hosp,2,2023-10-28,Georgia,quantile,0.75,215,176.256
2023-10-14,inc hosp,2,2023-10-28,Georgia,quantile,0.975,389,176.256
2023-10-14,inc hosp,3,2023-11-04,Georgia,quantile,0.025,59,207.2942
2023-10-14,inc hosp,3,2023-11-04,Georgia,quantile,0.25,125,207.2942
2023-10-14,inc hosp,3,2023-11-04,Georgia,quantile,0.5,178,207.2942
2023-10-14,inc hosp,3,2023-11-04,Georgia,quantile,0.75,258,207.2942
2023-10-14,inc hosp,3,2023-11-04,Georgia,quantile,0.975,522,207.2942
2023-10-14,inc hosp,4,2023-11-11,Georgia,quantile,0.025,59,242.4206
2023-10-14,inc hosp,4,2023-11-11,Georgia,quantile,0.25,131,242.4206
2023-10-14,inc hosp,4,2023-11-11,Georgia,quantile,0.5,200,242.4206
2023-10-14,inc hosp,4,2023-11-11,Georgia,quantile,0.75,304,242.4206
2023-10-14,inc hosp,4,2023-11-11,Georgia,quantile,0.975,684,242.4206
2023-10-14,inc hosp,1,2023-10-21,Maryland,quantile,0.025,12,31.051
2023-10-14,inc hosp,1,2023-10-21,Maryland,quantile,0.25,22,31.051
2023-10-14,inc hosp,1,2023-10-21,Maryland,quantile,0.5,29,31.051
2023-10-14,inc hosp,1,2023-10-21,Maryland,quantile,0.75,38,31.051
2023-10-14,inc hosp,1,2023-10-21,Maryland,quantile,0.975,62,31.051
2023-10-14,inc hosp,2,2023-10-28,Maryland,quantile,0.025,11,37.6534
2023-10-14,inc hosp,2,2023-10-28,Maryland,quantile,0.25,24,37.6534
2023-10-14,inc hosp,2,2023-10-28,Maryland,quantile,0.5,34,37.6534
2023-10-14,inc hosp,2,2023-10-28,Maryland,quantile,0.75,47,37.6534
2023-10-14,inc hosp,2,2023-10-28,Maryland,quantile,0.975,89,37.6534
2023-10-14,inc hosp,3,2023-11-04,Maryland,quantile,0.025,11,45.4438
