reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.01,3
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.025,11
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.05,15.98118981189812
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.1,21
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.15,24.434471844718445
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.2,28
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.25,28.977364773647725
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.3,31
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.35,32
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.4,32
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.45,35
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.5,35
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.55,35
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.6,38
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.65,38
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.7,39
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.75,41.315768157681596
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.8,42
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.85,45.538124381243804
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.9,49
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.95,54.039519395193665
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.975,59
2023-10-28,1,wk inc hosp,2023-11-04,06,quantile,0.99,67.86378813788146
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.01,0
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.025,0
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.05,0
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.1,3
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.15,9
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.2,13.918339183391836
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.25,17
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.3,17.96950469504695
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.35,20
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.4,20
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.45,23
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.5,23
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.55,23
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.6,26
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.65,26
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.7,28.74577745777458
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.75,29.37712627126271
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.8,32.874100741007474
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.85,37.328086280862806
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.9,45.83405334053344
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.95,67.01227762277608
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.975,84.3262142621426
2023-10-28,1,wk inc hosp,2023-11-04,08,quantile,0.99,102.56657006570148
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.01,0
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.025,0
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.05,2
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.1,4.640524405244054
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.15,6
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.2,7
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.25,8
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.3,9
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.35,9
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.4,10
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.45,11
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.5,11
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.55,11
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.6,12
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.65,13
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.7,13
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.75,14
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.8,15
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.85,16
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.9,17.491398913989165
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.95,20
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.975,23.066212912129053
2023-10-28,1,wk inc hosp,2023-11-04,09,quantile,0.99,28
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.01,83.46840608406085
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.025,89
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.05,94
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.1,102
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.15,106
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.2,107
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.25,110.45139201392014
2023-10-28,1,wk inc hosp,2023-11-04,13,quantile,0.3,112.32145621456213
