reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,location_name,pop_served,population,percentage_participation,unscaled_value
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.01,1,California,3499789.59,38886551,9,11.111111111111112
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.025,2,California,3499789.59,38886551,9,22.222222222222225
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.05,3,California,3499789.59,38886551,9,33.333333333333336
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.1,4,California,3499789.59,38886551,9,44.44444444444445
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.15,4,California,3499789.59,38886551,9,44.44444444444445
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.2,5,California,3499789.59,38886551,9,55.55555555555556
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.25,5,California,3499789.59,38886551,9,55.55555555555556
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.3,6,California,3499789.59,38886551,9,66.66666666666667
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.35,7,California,3499789.59,38886551,9,77.77777777777779
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.4,7,California,3499789.59,38886551,9,77.77777777777779
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.45,8,California,3499789.59,38886551,9,88.8888888888889
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.5,8,California,3499789.59,38886551,9,88.8888888888889
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.55,9,California,3499789.59,38886551,9,100
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.6,10,California,3499789.59,38886551,9,111.11111111111111
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.65,10,California,3499789.59,38886551,9,111.11111111111111
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.7,11,California,3499789.59,38886551,9,122.22222222222223
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.75,12,California,3499789.59,38886551,9,133.33333333333334
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.8,13,California,3499789.59,38886551,9,144.44444444444446
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.85,15,California,3499789.59,38886551,9,166.66666666666666
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.9,16,California,3499789.59,38886551,9,177.7777777777778
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.95,19,California,3499789.59,38886551,9,211.11111111111111
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.975,23,California,3499789.59,38886551,9,255.55555555555557
2023-09-23,inc hosp,1,2023-09-30,06,quantile,0.99,26,California,3499789.59,38886551,9,288.8888888888889
2023-09-23,inc hosp,2,2023-10-07,06,quantile,0.01,1,California,3499789.59,38886551,9,11.111111111111112
