reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,location_name,pop_served,population,percentage_participation,unscaled_value
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.01,6,California,3499789.59,38886551,9,66.66666666666667
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.025,8,California,3499789.59,38886551,9,88.8888888888889
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.05,9,California,3499789.59,38886551,9,100
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.1,11,California,3499789.59,38886551,9,122.22222222222223
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.15,13,California,3499789.59,38886551,9,144.44444444444446
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.2,15,California,3499789.59,38886551,9,166.66666666666666
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.25,16,California,3499789.59,38886551,9,177.7777777777778
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.3,17,California,3499789.59,38886551,9,188.88888888888891
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.35,18,California,3499789.59,38886551,9,200
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.4,19,California,3499789.59,38886551,9,211.11111111111111
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.45,20,California,3499789.59,38886551,9,222.22222222222223
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.5,22,California,3499789.59,38886551,9,244.44444444444446
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.55,23,California,3499789.59,38886551,9,255.55555555555557
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.6,24,California,3499789.59,38886551,9,266.6666666666667
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.65,26,California,3499789.59,38886551,9,288.8888888888889
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.7,28,California,3499789.59,38886551,9,311.11111111111114
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.75,30,California,3499789.59,38886551,9,333.3333333333333
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.8,32,California,3499789.59,38886551,9,355.5555555555556
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.85,34,California,3499789.59,38886551,9,377.77777777777783
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.9,38,California,3499789.59,38886551,9,422.22222222222223
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.95,44,California,3499789.59,38886551,9,488.8888888888889
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.975,49,California,3499789.59,38886551,9,544.4444444444445
2023-02-04,inc hosp,1,2023-02-11,06,quantile,0.99,57,California,3499789.59,38886551,9,633.3333333333333
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.01,4,California,3499789.59,38886551,9,44.44444444444445
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.025,6,California,3499789.59,38886551,9,66.66666666666667
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.05,7,California,3499789.59,38886551,9,77.77777777777779
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.1,9,California,3499789.59,38886551,9,100
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.15,11,California,3499789.59,38886551,9,122.22222222222223
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.2,12,California,3499789.59,38886551,9,133.33333333333334
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.25,14,California,3499789.59,38886551,9,155.55555555555557
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.3,15,California,3499789.59,38886551,9,166.66666666666666
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.35,16,California,3499789.59,38886551,9,177.7777777777778
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.4,18,California,3499789.59,38886551,9,200
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.45,19,California,3499789.59,38886551,9,211.11111111111111
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.5,20,California,3499789.59,38886551,9,222.22222222222223
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.55,22,California,3499789.59,38886551,9,244.44444444444446
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.6,23,California,3499789.59,38886551,9,255.55555555555557
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.65,25,California,3499789.59,38886551,9,277.77777777777777
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.7,28,California,3499789.59,38886551,9,311.11111111111114
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.75,30,California,3499789.59,38886551,9,333.3333333333333
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.8,33,California,3499789.59,38886551,9,366.6666666666667
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.85,37,California,3499789.59,38886551,9,411.11111111111114
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.9,43,California,3499789.59,38886551,9,477.77777777777777
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.95,51,California,3499789.59,38886551,9,566.6666666666666
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.975,61,California,3499789.59,38886551,9,677.7777777777778
2023-02-04,inc hosp,2,2023-02-18,06,quantile,0.99,76,California,3499789.59,38886551,9,844.4444444444445
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.01,3,California,3499789.59,38886551,9,33.333333333333336
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.025,4,California,3499789.59,38886551,9,44.44444444444445
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.05,6,California,3499789.59,38886551,9,66.66666666666667
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.1,7,California,3499789.59,38886551,9,77.77777777777779
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.15,9,California,3499789.59,38886551,9,100
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.2,10,California,3499789.59,38886551,9,111.11111111111111
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.25,12,California,3499789.59,38886551,9,133.33333333333334
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.3,13,California,3499789.59,38886551,9,144.44444444444446
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.35,14,California,3499789.59,38886551,9,155.55555555555557
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.4,16,California,3499789.59,38886551,9,177.7777777777778
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.45,17,California,3499789.59,38886551,9,188.88888888888891
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.5,19,California,3499789.59,38886551,9,211.11111111111111
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.55,21,California,3499789.59,38886551,9,233.33333333333334
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.6,22,California,3499789.59,38886551,9,244.44444444444446
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.65,25,California,3499789.59,38886551,9,277.77777777777777
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.7,27,California,3499789.59,38886551,9,300
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.75,30,California,3499789.59,38886551,9,333.3333333333333
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.8,34,California,3499789.59,38886551,9,377.77777777777783
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.85,39,California,3499789.59,38886551,9,433.33333333333337
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.9,45,California,3499789.59,38886551,9,500
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.95,57,California,3499789.59,38886551,9,633.3333333333333
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.975,71,California,3499789.59,38886551,9,788.8888888888889
2023-02-04,inc hosp,3,2023-02-25,06,quantile,0.99,87,California,3499789.59,38886551,9,966.6666666666667
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.01,2,California,3499789.59,38886551,9,22.222222222222225
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.025,3,California,3499789.59,38886551,9,33.333333333333336
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.05,4,California,3499789.59,38886551,9,44.44444444444445
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.1,6,California,3499789.59,38886551,9,66.66666666666667
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.15,8,California,3499789.59,38886551,9,88.8888888888889
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.2,9,California,3499789.59,38886551,9,100
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.25,11,California,3499789.59,38886551,9,122.22222222222223
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.3,12,California,3499789.59,38886551,9,133.33333333333334
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.35,13,California,3499789.59,38886551,9,144.44444444444446
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.4,15,California,3499789.59,38886551,9,166.66666666666666
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.45,16,California,3499789.59,38886551,9,177.7777777777778
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.5,18,California,3499789.59,38886551,9,200
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.55,20,California,3499789.59,38886551,9,222.22222222222223
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.6,22,California,3499789.59,38886551,9,244.44444444444446
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.65,24,California,3499789.59,38886551,9,266.6666666666667
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.7,27,California,3499789.59,38886551,9,300
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.75,30,California,3499789.59,38886551,9,333.3333333333333
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.8,34,California,3499789.59,38886551,9,377.77777777777783
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.85,39,California,3499789.59,38886551,9,433.33333333333337
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.9,47,California,3499789.59,38886551,9,522.2222222222223
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.95,61,California,3499789.59,38886551,9,677.7777777777778
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.975,77,California,3499789.59,38886551,9,855.5555555555555
2023-02-04,inc hosp,4,2023-03-04,06,quantile,0.99,97,California,3499789.59,38886551,9,1077.7777777777778
2023-02-04,inc hosp,1,2023-02-11,08,quantile,0.01,6,Colorado,2843836.52,5803748,49,12.244897959183673
2023-02-04,inc hosp,1,2023-02-11,08,quantile,0.025,8,Colorado,2843836.52,5803748,49,16.3265306122449
2023-02-04,inc hosp,1,2023-02-11,08,quantile,0.05,9,Colorado,2843836.52,5803748,49,18.367346938775512
2023-02-04,inc hosp,1,2023-02-11,08,quantile,0.1,12,Colorado,2843836.52,5803748,49,24.489795918367346
