reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,location_name,pop_served,population,percentage_participation,unscaled_value
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.01,19,California,3499789.59,38886551,9,211.11111111111111
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.025,23,California,3499789.59,38886551,9,255.55555555555557
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.05,27,California,3499789.59,38886551,9,300
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.1,31,California,3499789.59,38886551,9,344.44444444444446
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.15,34,California,3499789.59,38886551,9,377.77777777777783
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.2,38,California,3499789.59,38886551,9,422.22222222222223
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.25,41,California,3499789.59,38886551,9,455.5555555555556
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.3,43,California,3499789.59,38886551,9,477.77777777777777
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.35,46,California,3499789.59,38886551,9,511.11111111111114
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.4,48,California,3499789.59,38886551,9,533.3333333333334
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.45,51,California,3499789.59,38886551,9,566.6666666666666
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.5,54,California,3499789.59,38886551,9,600
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.55,57,California,3499789.59,38886551,9,633.3333333333333
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.6,60,California,3499789.59,38886551,9,666.6666666666666
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.65,63,California,3499789.59,38886551,9,700
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.7,67,California,3499789.59,38886551,9,744.4444444444445
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.75,71,California,3499789.59,38886551,9,788.8888888888889
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.8,76,California,3499789.59,38886551,9,844.4444444444445
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.85,82,California,3499789.59,38886551,9,911.1111111111112
2023-01-07,inc hosp,1,2023-01-14,06,quantile,0.9,91,California,3499789.59,38886551,9,1011.1111111111112
