reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,location_name,pop_served,population,percentage_participation,unscaled_value
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.01,16,California,3499789.59,38886551,9,177.7777777777778
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.025,20,California,3499789.59,38886551,9,222.22222222222223
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.05,23,California,3499789.59,38886551,9,255.55555555555557
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.1,27,California,3499789.59,38886551,9,300
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.15,30,California,3499789.59,38886551,9,333.3333333333333
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.2,33,California,3499789.59,38886551,9,366.6666666666667
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.25,35,California,3499789.59,38886551,9,388.88888888888886
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.3,37,California,3499789.59,38886551,9,411.11111111111114
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.35,40,California,3499789.59,38886551,9,444.44444444444446
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.4,42,California,3499789.59,38886551,9,466.6666666666667
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.45,44,California,3499789.59,38886551,9,488.8888888888889
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.5,47,California,3499789.59,38886551,9,522.2222222222223
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.55,49,California,3499789.59,38886551,9,544.4444444444445
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.6,52,California,3499789.59,38886551,9,577.7777777777778
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.65,55,California,3499789.59,38886551,9,611.1111111111112
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.7,59,California,3499789.59,38886551,9,655.5555555555555
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.75,63,California,3499789.59,38886551,9,700
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.8,67,California,3499789.59,38886551,9,744.4444444444445
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.85,73,California,3499789.59,38886551,9,811.1111111111111
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.9,81,California,3499789.59,38886551,9,900.0000000000001
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.95,93,California,3499789.59,38886551,9,1033.3333333333333
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.975,104,California,3499789.59,38886551,9,1155.5555555555557
2022-10-29,inc hosp,1,2022-11-05,06,quantile,0.99,120,California,3499789.59,38886551,9,1333.3333333333333
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.01,12,California,3499789.59,38886551,9,133.33333333333334
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.025,15,California,3499789.59,38886551,9,166.66666666666666
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.05,19,California,3499789.59,38886551,9,211.11111111111111
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.1,23,California,3499789.59,38886551,9,255.55555555555557
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.15,27,California,3499789.59,38886551,9,300
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.2,30,California,3499789.59,38886551,9,333.3333333333333
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.25,34,California,3499789.59,38886551,9,377.77777777777783
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.3,37,California,3499789.59,38886551,9,411.11111111111114
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.35,40,California,3499789.59,38886551,9,444.44444444444446
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.4,43,California,3499789.59,38886551,9,477.77777777777777
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.45,47,California,3499789.59,38886551,9,522.2222222222223
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.5,50,California,3499789.59,38886551,9,555.5555555555555
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.55,54,California,3499789.59,38886551,9,600
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.6,58,California,3499789.59,38886551,9,644.4444444444445
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.65,61,California,3499789.59,38886551,9,677.7777777777778
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.7,66,California,3499789.59,38886551,9,733.3333333333334
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.75,72,California,3499789.59,38886551,9,800
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.8,80,California,3499789.59,38886551,9,888.8888888888889
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.85,88,California,3499789.59,38886551,9,977.7777777777778
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.9,101,California,3499789.59,38886551,9,1122.2222222222224
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.95,123,California,3499789.59,38886551,9,1366.6666666666667
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.975,147,California,3499789.59,38886551,9,1633.3333333333333
2022-10-29,inc hosp,2,2022-11-12,06,quantile,0.99,174,California,3499789.59,38886551,9,1933.3333333333335
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.01,10,California,3499789.59,38886551,9,111.11111111111111
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.025,13,California,3499789.59,38886551,9,144.44444444444446
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.05,16,California,3499789.59,38886551,9,177.7777777777778
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.1,21,California,3499789.59,38886551,9,233.33333333333334
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.15,25,California,3499789.59,38886551,9,277.77777777777777
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.2,29,California,3499789.59,38886551,9,322.22222222222223
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.25,32,California,3499789.59,38886551,9,355.5555555555556
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.3,36,California,3499789.59,38886551,9,400
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.35,40,California,3499789.59,38886551,9,444.44444444444446
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.4,43,California,3499789.59,38886551,9,477.77777777777777
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.45,47,California,3499789.59,38886551,9,522.2222222222223
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.5,52,California,3499789.59,38886551,9,577.7777777777778
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.55,56,California,3499789.59,38886551,9,622.2222222222223
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.6,61,California,3499789.59,38886551,9,677.7777777777778
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.65,67,California,3499789.59,38886551,9,744.4444444444445
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.7,74,California,3499789.59,38886551,9,822.2222222222223
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.75,82,California,3499789.59,38886551,9,911.1111111111112
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.8,92,California,3499789.59,38886551,9,1022.2222222222223
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.85,104,California,3499789.59,38886551,9,1155.5555555555557
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.9,122,California,3499789.59,38886551,9,1355.5555555555557
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.95,155,California,3499789.59,38886551,9,1722.2222222222224
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.975,193,California,3499789.59,38886551,9,2144.4444444444443
2022-10-29,inc hosp,3,2022-11-19,06,quantile,0.99,240,California,3499789.59,38886551,9,2666.6666666666665
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.01,9,California,3499789.59,38886551,9,100
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.025,12,California,3499789.59,38886551,9,133.33333333333334
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.05,15,California,3499789.59,38886551,9,166.66666666666666
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.1,20,California,3499789.59,38886551,9,222.22222222222223
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.15,24,California,3499789.59,38886551,9,266.6666666666667
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.2,28,California,3499789.59,38886551,9,311.11111111111114
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.25,32,California,3499789.59,38886551,9,355.5555555555556
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.3,36,California,3499789.59,38886551,9,400
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.35,40,California,3499789.59,38886551,9,444.44444444444446
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.4,44,California,3499789.59,38886551,9,488.8888888888889
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.45,49,California,3499789.59,38886551,9,544.4444444444445
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.5,54,California,3499789.59,38886551,9,600
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.55,60,California,3499789.59,38886551,9,666.6666666666666
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.6,66,California,3499789.59,38886551,9,733.3333333333334
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.65,73,California,3499789.59,38886551,9,811.1111111111111
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.7,81,California,3499789.59,38886551,9,900.0000000000001
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.75,91,California,3499789.59,38886551,9,1011.1111111111112
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.8,104,California,3499789.59,38886551,9,1155.5555555555557
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.85,121,California,3499789.59,38886551,9,1344.4444444444443
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.9,146,California,3499789.59,38886551,9,1622.2222222222222
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.95,191,California,3499789.59,38886551,9,2122.222222222222
2022-10-29,inc hosp,4,2022-11-26,06,quantile,0.975,242,California,3499789.59,38886551,9,2688.8888888888887
